Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,5.695068493150686,1.7759562841530059,1.3945205479452054,11.775068493150686,7.72876712328767,1.2010928961748635,3.611506849315068,5.776712328767124,23.92808219178082,0.6595901639344262,80.79517808219178,6.628027397260274,5.705726027397261,1.4272131147540983,23.50578082191781,12.950328767123287,11.425260273972603,2.976092896174863,2.9904657534246577,67.62616438356166,10.559945205479453,17.62327868852459,6.285452054794519,10.178493150684933,63.53832876712329,10.122131147540983,4.037917808219178,15.705397260273976,3.6184383561643836,3.1551092896174864,1.0923835616438355,0.919972602739726,12.70495890410959,6.606420765027322,31.019150684931507,2.386082191780822,52.32958904109588,12.218633879781422,25.7673698630137,81.4249315068493,8.276712328767124,19.508360655737704,13.092109589041094,3.6342739726027395,6.525643835616439,1.704890710382514,27.18082191780822,12.15490410958904,1.1101095890410957,7.116338797814208,2.5730136986301364,10.489643835616437,31.35290410958904,2.0689071038251368,1.6817260273972603,0.2720547945205479,0.07287878787878789
Std,30.558059319578366,5.259965409332893,6.299369188052562,69.40188270951622,41.46277577770625,7.154985949824776,17.30922563981281,30.084678303802296,108.99548000503275,0.7769923070077036,387.22177590510745,22.423814235672793,17.082058514799122,3.4105571221640387,92.73158229428243,64.89876228974808,54.52585148098815,19.1989918702233,20.627396957990747,281.99415251700026,35.37568011443231,47.74613031742419,17.897498581661573,43.229581585192044,151.27941288361896,16.736683862552965,5.131913103593392,59.90745048154151,13.677084125061462,9.558749796163273,2.6832996586963445,2.3452258119077642,83.56285321601369,41.543544046496265,156.81095264582007,11.47628474289889,339.7569097410933,43.687789315690786,84.9866704886926,229.61469419307397,11.78469311993078,50.795387139873235,78.8681126611238,9.864710305142825,26.5687859691245,9.845749401249698,119.1825841114751,50.45632905496726,0.9325008290663447,37.37453496225444,18.86593662175962,60.712112416878746,153.6591246948163,2.527763738160761,7.747601840640975,0.420803402846122,0.18031760827239313
CV,5.365705321424978,2.961765138178213,4.517229378465983,5.893968493676776,5.364733484176811,5.957062915459208,4.792798785109753,5.207923917897954,4.555128118143633,1.17799256188567,4.792634722720609,3.38318067981158,2.993844855637297,2.38966212327138,3.9450543250116366,5.011360209982092,4.772394691541615,6.451072778977946,6.897720508709527,4.169897185319983,3.349987090470528,2.709264896804595,2.847448111231622,4.247149449845927,2.3809158317348698,1.6534743147068278,1.27093055067822,3.814449866421045,3.7798306282491,3.029609727820915,2.4563713268061944,2.5492344064633667,6.577184062278561,6.288358783687683,5.055294847966155,4.809677043997262,6.4926347782756855,3.5755052279602566,3.2982283772268843,2.8199556320628805,1.423837467320336,2.603775275444969,6.024095057006038,2.7143551585567627,4.0714428550504405,5.775003254631306,4.384804273832114,4.151108770587677,0.8400079039690413,5.2519330549206105,7.332233260865956,5.787814473808673,4.900953486086186,1.2217869683405596,4.6069346102894215,1.5467597385582532,2.474212504361319
SP_Tim,56.0,45.0,37.0,50.0,45.0,27.0,108.0,3.0,115.0,74.0,61.0,68.0,359.0,1.0,47.0,12.0,77.0,273.0,275.0,40.0,92.0,54.0,339.0,100.0,64.0,276.0,340.0,72.0,65.0,61.0,362.0,49.0,81.0,45.0,16.0,49.0,71.0,22.0,16.0,41.0,99.0,57.0,63.0,1.0,124.0,57.0,53.0,95.0,111.0,26.0,358.0,58.0,82.0,106.0,359.0,60.0,nan
SP_Mag,324.0,62.0,12.0,630.0,518.0,24.0,70.0,132.0,171.0,9.0,1520.0,134.0,167.0,17.0,1310.0,707.0,86.0,279.0,369.0,3700.0,34.0,83.0,9.0,23.0,268.0,21.0,11.0,109.0,223.0,63.0,9.8,15.0,29.0,23.0,809.0,8.4,490.0,16.0,224.0,282.0,45.0,53.0,22.0,35.9,272.0,184.0,249.0,625.0,4.88,261.0,1.69,698.0,238.0,15.7,139.0,3.25,nan
SP_Dur,22.0,108.0,78.0,45.0,94.0,24.0,21.0,71.0,60.0,60.0,79.0,42.0,136.0,108.0,72.0,120.0,71.0,nan,nan,99.0,54.0,58.0,161.0,58.0,134.0,230.0,172.0,27.0,57.0,93.0,138.0,88.0,29.0,64.0,105.0,38.0,48.0,101.0,85.0,149.0,67.0,73.0,29.0,103.0,26.0,26.0,94.0,73.0,77.0,54.0,97.0,77.0,43.0,87.0,39.0,110.0,nan
SP_ROC,0.11320754716981125,0.20000000000000004,0.16666666666666666,0.15662650602409645,0.2466216216216217,0.11111111111111108,0.29912734324499035,0.17391304347826084,0.08108108108108109,0.10668563300142245,0.1206060606060606,0.11024305555555557,0.11428571428571425,0.11396103896103899,0.33114035087719296,0.12244897959183683,0.125,nan,0.1333333333333333,0.112227602905569,0.058823529411764705,0.09090909090909091,0.10940170940170942,0.09090909090909091,0.08770739064856711,0.07692307692307693,0.07692307692307698,0.16326530612244897,0.13114754098360654,0.1388888888888889,0.1333333333333333,0.07692307692307698,0.19579081632653067,0.17647058823529416,0.09523809523809523,0.11538461538461549,0.09307359307359307,0.14476190476190473,0.07142857142857142,0.06593406593406594,0.04285714285714283,0.09512273901808786,0.1681451612903226,0.0658205500411942,0.2900196243341744,0.09087964762274907,0.11673384580369006,0.11979166666666671,0.15575757575757576,0.12359550561797755,0.10185185185185193,0.13725509028044564,0.05882352941176466,0.08831168831168831,0.06153846153846159,0.20000000000000004,nan
SU_Tim,78.0,153.0,115.0,95.0,139.0,51.0,129.0,74.0,175.0,134.0,140.0,110.0,130.0,109.0,119.0,132.0,148.0,138.0,90.0,139.0,146.0,112.0,135.0,158.0,198.0,141.0,147.0,99.0,122.0,154.0,135.0,137.0,110.0,109.0,121.0,87.0,119.0,123.0,101.0,190.0,166.0,130.0,92.0,104.0,150.0,83.0,147.0,168.0,188.0,80.0,90.0,135.0,125.0,193.0,33.0,170.0,nan
SU_Mag_10,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.86,0.4,0.28,0.19,0.0,0.42,0.34,0.2,0.04,0.675,0.46,0.96,0.31,0.37,4.5,1.6,0.518,0.6240000000000001,0.266,0.11,0.07,0.05,0.06,0.020000000000000004,0.07,0.15,1.2,1.0,1.1,4.4,2.0300000000000002,0.67,0.76,0.1,0.08800000000000001,0.04,0.19100000000000003,0.07,0.02200000000000003,0.01,0.0,0.0,0.59,0.08,nan,nan,nan
SU_Mag_50,0.7,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.19,0.2,2.4,0.52,0.46,0.36,0.35,1.6,0.9,0.42,0.2,1.5,1.95,1.6,0.97,0.95,8.3,2.1,1.4,2.3,0.56,0.21,0.11,0.06,0.08,0.07,1.0,1.1,2.1,1.9,2.2,8.7,2.9,2.0,1.2,0.41,0.41,0.32,0.625,0.275,0.44,0.15,0.02,0.445,1.565,0.62,nan,nan,nan
SU_Dur_Fl,298.0,nan,223.0,nan,186.0,311.0,nan,267.0,nan,nan,nan,nan,nan,275.0,nan,207.0,nan,137.0,274.0,nan,232.0,nan,nan,199.0,77.0,181.0,nan,nan,218.0,nan,nan,292.0,nan,nan,nan,303.0,nan,223.0,nan,217.0,225.0,248.0,239.0,nan,nan,nan,222.0,122.0,183.0,nan,nan,233.0,192.0,nan,nan,nan,nan
SU_Dur_Wet,299.0,174.0,287.0,300.0,237.0,311.0,191.0,357.0,156.0,247.0,241.0,219.0,215.0,275.0,247.0,260.0,485.0,167.0,278.0,236.0,232.0,281.0,306.0,233.0,127.0,189.0,259.0,308.0,237.0,189.0,230.0,296.0,292.0,263.0,274.0,341.0,275.0,228.0,293.0,252.0,234.0,280.0,240.0,241.0,259.0,277.0,302.0,138.0,193.0,325.0,290.0,280.0,248.0,147.0,nan,nan,nan
SU_No_Flow,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,14.0,34.0,102.0,0.0,0.0,nan,nan,nan
FA_Tim,nan,10.0,nan,336.0,nan,324.0,362.0,nan,340.0,nan,nan,nan,nan,nan,19.0,nan,338.0,nan,275.0,362.0,nan,12.0,nan,nan,356.0,274.0,322.0,nan,nan,339.0,nan,nan,63.0,nan,nan,nan,24.0,nan,346.0,nan,41.0,25.0,13.0,329.0,nan,nan,nan,2.0,289.0,5.0,nan,nan,2.0,316.0,nan,nan,nan
FA_Mag,nan,17.92080437030134,nan,125.95087181677512,nan,111.68122227580824,52.90237972864737,nan,1739.6501441041803,nan,nan,nan,nan,nan,359.9638814701018,nan,132.977416901678,nan,369.0001878163558,410.976012446257,nan,143.90339858967926,nan,nan,895.8067130969091,39.999930860608494,12.998613102454646,nan,nan,13.96848208399583,nan,nan,467.936882954679,nan,nan,nan,1829.931524193635,nan,274.9954797564673,nan,57.933012137043825,117.9995887947395,143.984125929105,19.97785150062138,nan,nan,nan,341.8784089770646,1.8488240961216778,90.91748859858626,nan,nan,791.9210047304016,3.999717582625212,nan,nan,nan
FA_Tim_Wet,41.0,11.0,327.0,35.0,29.0,10.0,362.0,318.0,65.0,330.0,16.0,14.0,328.0,344.0,19.0,364.0,26.0,267.0,305.0,1.0,9.0,12.0,28.0,74.0,25.0,324.0,330.0,39.0,41.0,358.0,343.0,363.0,67.0,36.0,7.0,28.0,62.0,28.0,351.0,27.0,76.0,34.0,45.0,330.0,344.0,43.0,360.0,82.0,305.0,15.0,40.0,13.0,49.0,7.0,340.0,nan,nan
FA_Dur,nan,5.0,nan,5.0,nan,3.0,5.0,nan,22.0,nan,nan,nan,nan,nan,3.0,nan,10.0,nan,6.0,2.0,nan,4.0,nan,nan,3.0,10.0,2.0,nan,nan,2.0,nan,nan,6.0,nan,nan,nan,2.0,nan,3.0,nan,5.0,2.0,3.0,2.0,nan,nan,nan,3.0,6.0,2.0,nan,nan,5.0,2.0,nan,nan,nan
Tim_2,49.0,nan,nan,55.5,63.5,nan,7.0,327.0,84.0,nan,47.0,62.0,355.0,nan,42.0,79.5,49.5,273.0,275.0,69.0,33.5,47.0,80.5,101.0,57.0,344.0,nan,50.0,65.0,nan,nan,nan,77.0,64.5,47.5,51.0,64.0,58.0,8.0,86.5,102.0,59.5,52.0,3.0,354.0,57.0,8.0,88.0,nan,39.0,56.5,38.5,49.0,nan,359.0,nan,nan
Dur_2,1.0,nan,nan,1.5,2.0,nan,2.0,2.0,1.5,nan,3.0,1.5,1.0,nan,2.0,1.0,1.0,1.0,1.0,2.0,1.5,2.0,1.0,2.0,2.0,1.5,nan,3.0,1.0,nan,nan,nan,3.0,1.0,1.5,1.0,2.0,2.0,2.0,2.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,2.0,nan,4.0,1.5,3.0,2.0,nan,1.0,nan,nan
Fre_2,3.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,10.0,0.0,7.0,2.0,1.0,0.0,5.0,4.0,4.0,1.0,1.0,13.0,2.0,5.0,2.0,1.0,11.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,8.0,1.0,5.0,6.0,6.0,8.0,1.0,6.0,5.0,1.0,3.0,1.0,7.0,3.0,0.0,2.0,2.0,2.0,5.0,0.0,1.0,0.0,nan
Tim_5,49.5,37.0,364.5,45.0,44.0,355.5,55.0,364.0,70.0,nan,57.0,60.0,348.5,361.0,27.5,42.0,53.0,273.0,322.0,52.0,67.0,59.0,60.5,88.5,22.0,348.5,351.0,55.5,54.0,17.0,nan,nan,77.0,63.5,40.0,51.0,43.5,58.0,8.0,19.0,97.0,75.0,49.5,365.0,363.0,57.0,28.0,91.0,nan,23.0,56.5,50.0,2.0,nan,359.0,nan,nan
Dur_5,3.5,1.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,nan,5.0,3.0,2.0,1.0,3.0,2.0,1.5,1.0,1.5,3.0,2.5,9.0,2.5,3.5,8.0,3.0,1.0,11.5,2.5,1.0,nan,nan,4.0,3.0,3.0,1.0,3.0,2.5,3.0,2.0,1.0,5.5,3.0,1.0,2.0,1.0,4.0,2.0,nan,3.0,2.0,2.5,2.0,nan,1.0,nan,nan
Fre_5,2.0,2.0,2.0,5.0,5.0,2.0,4.0,4.0,7.0,0.0,4.0,3.0,4.0,1.0,8.0,8.0,8.0,1.0,2.0,10.0,4.0,5.0,4.0,4.0,7.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,3.0,4.0,9.0,1.0,6.0,6.0,6.0,9.0,5.0,4.0,6.0,3.0,5.0,1.0,6.0,5.0,0.0,3.0,2.0,4.0,7.0,0.0,1.0,0.0,nan
Tim_10,44.5,33.0,364.0,40.0,96.0,355.5,6.0,363.0,55.5,nan,72.5,36.5,355.5,360.0,48.5,17.0,66.0,105.5,322.0,2.5,31.0,47.0,71.0,34.0,19.0,356.5,346.0,5.0,64.0,32.5,360.0,48.0,69.0,66.0,24.0,38.0,21.0,31.0,353.5,334.0,40.0,33.0,38.5,350.5,48.0,56.0,83.5,74.0,nan,39.0,56.5,36.0,49.0,91.5,360.0,nan,nan
Dur_10,6.0,1.0,2.5,4.0,2.0,1.5,6.0,3.0,13.0,nan,16.0,3.5,4.0,3.0,9.0,2.0,5.0,1.0,2.0,2.0,5.0,3.0,6.5,2.0,3.0,3.5,1.0,1.0,4.0,3.5,2.0,1.0,9.0,2.0,9.0,2.0,3.0,1.0,3.0,3.0,2.0,7.0,4.5,2.0,2.0,3.0,3.0,1.5,nan,3.0,2.5,2.0,4.0,1.5,2.0,nan,nan
Fre_10,2.0,3.0,2.0,3.0,8.0,2.0,3.0,7.0,4.0,0.0,4.0,4.0,4.0,1.0,6.0,7.0,7.0,2.0,2.0,6.0,7.0,5.0,6.0,10.0,5.0,8.0,3.0,5.0,3.0,4.0,1.0,1.0,2.0,5.0,6.0,3.0,7.0,5.0,6.0,3.0,7.0,4.0,4.0,4.0,7.0,1.0,6.0,10.0,0.0,4.0,2.0,7.0,9.0,2.0,2.0,0.0,nan
Tim_20,10.0,33.5,2.0,61.0,82.0,355.0,6.0,347.0,21.0,74.0,20.0,359.0,47.0,14.5,34.5,3.0,76.5,156.0,14.0,364.0,25.0,45.0,46.0,349.0,109.0,90.0,338.0,24.0,59.0,17.0,359.0,31.0,68.0,42.0,3.5,38.0,62.0,21.0,341.0,114.5,274.0,18.0,11.0,354.0,42.0,56.0,68.5,63.0,344.0,39.0,46.0,65.5,49.0,86.0,338.0,nan,nan
Dur_20,5.0,4.5,3.0,2.5,3.0,4.5,6.0,5.0,18.0,1.0,2.0,1.0,4.0,5.0,4.0,5.0,6.0,2.0,4.5,2.0,1.0,10.0,2.5,5.0,8.0,14.0,4.0,2.0,5.0,4.0,2.0,3.5,12.0,4.0,59.5,4.0,4.0,3.0,4.0,10.0,219.0,3.0,2.0,3.0,5.0,2.0,20.0,6.0,1.0,4.5,3.0,4.5,22.0,5.0,2.0,nan,nan
Fre_20,3.0,4.0,4.0,4.0,9.0,2.0,5.0,5.0,3.0,1.0,5.0,5.0,9.0,2.0,6.0,9.0,6.0,4.0,4.0,7.0,7.0,5.0,6.0,10.0,8.0,3.0,9.0,10.0,6.0,9.0,3.0,2.0,2.0,5.0,2.0,3.0,7.0,5.0,5.0,4.0,1.0,3.0,7.0,9.0,7.0,3.0,4.0,5.0,1.0,4.0,5.0,8.0,3.0,3.0,3.0,0.0,nan
