Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,2.4027397260273977,0.48876712328767125,0.6926229508196722,2.297808219178082,0.26301369863013696,2.5356164383561643,0.5827322404371584,13.285260273972606,2.8367123287671236,1.6695890410958905,0.3990437158469945,4.007424657534247,2.3093150684931505,1.2798904109589044,0.3564754098360656,0.22386301369863015,33.51597260273972,4.835068493150684,3.1869398907103825,1.3469315068493153,4.35758904109589,55.573846153846155
Std,6.476485868604213,3.4106537135844817,0.7250967185669361,6.3992333116490405,0.38744220932388385,11.317371419763534,0.6036090630386627,30.67839956266914,1.9964829725572455,1.3088876782980465,0.40632756611519677,7.396190277966431,3.471100385617393,1.3415909545610782,0.6300705860333388,1.0814379736368582,135.57048086764382,5.47399108694618,3.997214457921464,1.1297030320018477,11.174179590902542,324.6017177693255
CV,2.695458770855801,6.978075142703676,1.0468852031380615,2.7849292461570285,1.4730875667001835,4.4633609597122526,1.0358257552145094,2.3092057611224788,0.7038017046391679,0.7839579956986986,1.0182532639381172,1.8456217920556686,1.5030865354731862,1.0482076770588096,1.767500839182969,4.830802354393015,4.044951416882403,1.1321434421664527,1.2542484624742853,0.8387234438107405,2.56430321572783,5.840907913242575
SP_Tim,55.0,224.0,82.0,111.0,1.0,116.0,93.0,101.0,73.0,24.0,160.0,92.0,100.0,90.0,269.0,288.0,66.0,92.0,58.0,97.0,106.0,nan
SP_Mag,21.0,65.0,2.9,40.0,1.9,12.0,3.7,70.0,7.6,6.3,3.2,35.0,10.0,4.8,8.0,19.0,965.0,40.0,12.0,6.0,68.0,nan
SP_Dur,109.0,23.0,115.0,133.0,157.0,63.0,108.0,49.0,134.0,198.0,19.0,83.0,98.0,106.0,nan,283.0,68.0,82.0,105.0,91.0,52.0,nan
SP_ROC,0.09232954545454553,nan,0.16666666666666663,0.1250000000000001,0.14285714285714282,0.1464285714285714,0.1250000000000001,0.05357142857142854,0.08831168831168831,0.08333333333333323,0.2330316742081448,0.09523809523809532,0.06451612903225812,0.09375000000000008,nan,0.27272727272727276,0.08333333333333333,0.0555555555555556,0.04166666666666667,0.07142857142857148,0.06458333333333331,nan
SU_Tim,164.0,247.0,197.0,244.0,158.0,179.0,201.0,150.0,207.0,222.0,179.0,175.0,198.0,196.0,176.0,206.0,134.0,174.0,163.0,188.0,158.0,nan
SU_Mag_10,0.0,nan,0.0,nan,0.0,nan,0.0,1.5,0.276,nan,0.0,0.0,0.18,0.0,0.0,0.0,1.3,1.1,0.605,0.04,nan,nan
SU_Mag_50,0.0,nan,0.0,nan,0.0,nan,0.0,2.0,0.94,nan,0.0,0.0,1.0,0.01,0.0,0.0,2.5,1.6,1.3,0.7,nan,nan
SU_Dur_Fl,nan,nan,165.0,nan,nan,nan,190.0,nan,108.0,nan,160.0,nan,84.0,nan,nan,nan,247.0,204.0,nan,184.0,nan,nan
SU_Dur_Wet,415.0,nan,262.0,nan,176.0,nan,199.0,160.0,119.0,nan,207.0,161.0,204.0,434.0,111.0,198.0,266.0,205.0,226.0,261.0,nan,nan
SU_No_Flow,231.0,nan,164.0,nan,175.0,nan,128.0,0.0,0.0,nan,130.0,93.0,0.0,213.0,105.0,152.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,nan,nan,362.0,nan,nan,nan,26.0,nan,314.0,nan,339.0,nan,281.0,nan,nan,nan,15.0,12.0,nan,5.0,nan
FA_Mag,nan,nan,nan,5.419276250936054,nan,nan,nan,81.95556714639235,nan,1.460685629942014,nan,9.937082493744644,nan,1.9150282798385403,nan,nan,nan,6.387376083449661,7.994281759421741,nan,11.868581789237226,nan
FA_Tim_Wet,35.0,213.0,nan,94.0,nan,333.0,nan,35.0,308.0,325.0,nan,21.0,334.0,36.0,264.0,287.0,37.0,34.0,13.0,24.0,82.0,nan
FA_Dur,nan,nan,nan,30.0,nan,nan,nan,2.0,nan,0.0,nan,5.0,nan,9.0,nan,nan,nan,2.0,8.0,nan,5.0,nan
Tim_2,42.0,220.0,nan,102.0,nan,340.0,nan,51.0,nan,nan,nan,82.0,92.0,nan,nan,nan,65.0,71.0,48.0,nan,95.0,nan
Dur_2,2.0,1.0,nan,7.0,nan,2.0,nan,5.0,nan,nan,nan,3.0,1.0,nan,nan,nan,23.5,2.0,1.0,nan,5.5,nan
Fre_2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,nan
Tim_5,62.0,220.0,nan,100.0,nan,43.5,nan,32.0,16.0,nan,nan,89.0,56.5,81.0,nan,288.0,40.0,52.0,48.0,nan,78.0,nan
Dur_5,4.0,1.0,nan,2.0,nan,4.0,nan,48.5,1.0,nan,nan,6.0,2.0,1.0,nan,1.0,86.0,21.0,4.0,nan,5.0,nan
Fre_5,5.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,nan
Tim_10,42.0,220.0,nan,97.0,nan,115.0,nan,87.0,38.0,5.5,nan,70.0,21.0,81.0,268.0,41.5,145.0,23.5,74.5,87.0,39.0,nan
Dur_10,53.0,1.0,nan,2.0,nan,6.0,nan,61.5,7.5,1.0,nan,3.0,3.0,2.0,2.0,1.0,4.0,52.5,5.5,2.0,2.0,nan
Fre_10,1.0,1.0,0.0,3.0,0.0,4.0,0.0,2.0,4.0,4.0,0.0,6.0,5.0,3.0,1.0,2.0,3.0,2.0,4.0,3.0,4.0,nan
Tim_20,42.0,239.0,52.5,83.5,nan,88.0,93.0,23.0,25.5,50.0,160.0,30.0,28.5,57.0,268.0,4.0,13.0,348.0,333.5,80.0,26.0,nan
