Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994
Avg,125.17185792349727,65.10027397260274,223.80109589041095,279.40712328767125,134.196174863388,391.1953424657534,165.40356164383562,433.65123287671236,126.33907103825136,549.4021917808219,288.34520547945203,237.41095890410958,166.61420765027324,286.7783561643836,322.9890410958904,314.33698630136985,76.86147540983606,31.02,412.8005479452055,278.4438356164384,478.1693989071038,116.02027397260274,605.5301369863014,771.0904109589042,nan,nan,nan,68.76648351648352,82.02950819672132,164.89479452054795,97.04794520547945,125.13369863013698,99.751912568306,384.60027397260274,85.70493150684932,669.4901960784314
Std,179.8649545028068,76.44342970543916,342.9682125114798,693.5397269664987,151.43578320019267,693.7533950593609,194.97602371299692,582.7967373098686,154.11270050537863,790.7475564789232,475.8454235721373,248.98889426828563,181.6116802991853,383.9642829387133,348.0366299260947,463.9787357866204,78.4548808207566,39.13758884083143,474.08866866138493,383.039810151152,850.6455014388883,158.84704911840058,1129.9426725044757,769.7451668980098,nan,nan,nan,94.1467829178894,86.87746067296266,269.25187444233546,118.3579260555092,198.6071598228409,133.7060889939086,451.3267330576903,112.6767439768051,892.7568352272972
CV,1.4369440342791504,1.1742412902534045,1.532468869944326,2.4821834132426392,1.128465720832614,1.773419363038798,1.17878975383154,1.3439296216080596,1.2198340484767243,1.439287225840525,1.6502629991052404,1.0487674849451765,1.0900131679069776,1.3388886388574668,1.0775493457772396,1.4760551764716032,1.0207308720321107,1.2616888730119737,1.1484690876047836,1.3756447841739852,1.7789626508578547,1.3691318222185118,1.8660387047425153,0.9982554003502372,nan,nan,nan,1.3690795007035972,1.0591001041310046,1.63287067505811,1.2195819891385662,1.5871596699932333,1.340386219686286,1.1734956098597082,1.3147054900545632,1.3334875409030036
SP_Tim,137.0,135.0,129.0,143.0,139.0,142.0,120.0,147.0,124.0,138.0,25.0,163.0,153.0,142.0,151.0,156.0,127.0,166.0,154.0,142.0,146.0,125.0,117.0,166.0,nan,nan,nan,134.0,142.0,102.0,118.0,148.0,125.0,143.0,146.0,nan
SP_Mag,576.0,284.0,1180.0,1250.0,608.0,1140.0,515.0,2790.0,462.0,2040.0,4640.0,535.0,354.0,1700.0,870.0,1840.0,328.0,151.0,1290.0,1450.0,1360.0,709.0,1850.0,2300.0,nan,nan,nan,288.0,349.0,875.0,399.0,740.0,372.0,1230.0,326.0,nan
SP_Dur,57.0,72.0,80.0,68.0,77.0,70.0,69.0,79.0,76.0,85.0,177.0,53.0,47.0,60.0,36.0,59.0,119.0,41.0,68.0,60.0,75.0,67.0,96.0,66.0,nan,nan,nan,55.0,57.0,94.0,90.0,65.0,95.0,78.0,57.0,nan
SP_ROC,0.06976744186046512,0.07462686567164178,0.07514450867052024,0.050863900951676984,0.05660377358490566,0.08484848484848485,0.061553030303030304,0.05954240425778086,0.06385869565217392,0.058823529411764705,0.0625,0.06711409395973154,0.07124746450304259,0.061224489795918366,0.0684931506849315,0.057432432432432436,0.0662280701754386,0.07142857142857145,0.06887351778656126,0.056777885235332046,0.06325,0.06896551724137931,0.04567067067067067,0.05343511450381679,nan,nan,nan,0.0754985754985755,0.07229965156794424,0.07796739913544669,0.07142857142857142,0.08163265306122448,0.08582589285714286,0.06698717948717949,0.0625,nan
SU_BFL_Tim,194.0,207.0,209.0,211.0,216.0,212.0,189.0,226.0,200.0,223.0,202.0,216.0,200.0,202.0,187.0,215.0,246.0,207.0,222.0,202.0,221.0,192.0,213.0,232.0,nan,nan,nan,189.0,199.0,196.0,208.0,213.0,220.0,221.0,203.0,nan
SU_BFL_Mag_10,7.5,4.0,10.0,19.0,8.0,18.0,8.5,21.0,6.7,19.0,14.0,14.0,7.9,13.0,13.0,27.0,7.800000000000001,1.4100000000000001,19.0,16.0,19.5,6.3100000000000005,29.0,nan,nan,nan,nan,4.5,3.0,6.1,4.18,3.9,3.6,12.0,nan,nan
SU_BFL_Mag_50,15.0,13.0,18.0,42.5,13.0,100.0,19.0,34.5,14.0,31.0,22.0,18.0,16.0,22.0,37.0,46.0,11.0,3.05,38.0,27.0,26.0,20.0,63.0,nan,nan,nan,nan,7.65,8.2,31.0,7.6,21.0,11.5,20.0,nan,nan
SU_BFL_Dur_Fl,143.0,200.0,189.0,100.0,nan,108.0,145.0,114.0,nan,134.0,109.0,101.0,153.0,116.0,152.0,70.0,74.0,152.0,155.0,nan,118.0,128.0,87.0,nan,nan,nan,nan,153.0,nan,103.0,222.0,87.0,124.0,185.0,nan,nan
SU_BFL_Dur_Wet,211.0,244.0,245.0,196.0,135.0,211.0,245.0,178.0,179.0,145.0,181.0,142.0,188.0,158.0,249.0,213.0,178.0,172.0,201.0,169.0,196.0,212.0,131.0,nan,nan,nan,nan,178.0,222.0,228.0,225.0,199.0,160.0,203.0,nan,nan
