Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,0.1928767123287671,8.932513661202186,1.5706849315068492,1.269041095890411,1.0216438356164383,2.2510928961748635,1.6926027397260273,14.791232876712327,1.2315068493150687,0.6439890710382514,0.3813698630136987,11.463561643835616,0.9778082191780821,0.8800546448087432,1.7846575342465756,10.585479452054795,14.26849315068493,2.5076502732240438,35.09123287671233,2.5423835616438355,3.678739726027397,2.0053825136612025,7.564493150684932,2.8992054794520548,2.8408767123287673,0.5711748633879782,0.7216164383561645,28.807808219178078,5.977041095890411,18.54896174863388,1.9173972602739726,2.3866301369863017,26.122383561643836
Std,0.6451111817779511,39.261864417098735,2.584694851636129,5.694828262864177,4.442268645913031,21.220909021055032,13.215881897233961,54.91766419783136,10.106971372876489,3.3692038981018024,1.7368632686214198,79.88375570584333,5.761751599771261,6.011892676098478,10.816721464421722,71.14405784909853,61.54416851783216,11.915673493623972,186.43763119867504,16.134600735499355,22.027098952760962,15.599904519853533,39.05619753080197,21.66666746628942,17.951400870237908,5.478385545262175,4.10869507208143,146.19289356120848,19.875345173491567,113.14278745953403,8.237252572191451,14.583074497331085,113.90525105369949
CV,3.344681553252162,4.395388118758797,1.645584547090855,4.487504999882177,4.348157832550969,9.426936159371454,7.808023458223367,3.7128523805676164,8.206995664293476,5.231771857043952,4.554275093727142,6.968493578852066,5.892517046557889,6.831272025619506,6.060950774507105,6.720910297104061,4.313291380378022,4.751728588653709,5.312940467315443,6.346249629252308,5.987675289153337,7.779016927485309,5.163095101390316,7.473312126322411,6.318965125213937,9.591433195723301,5.693738187895218,5.074766273398204,3.3252816660666946,6.099683043869932,4.296059425376694,6.110320267616224,4.360446311681507
SP_Tim,19.0,80.0,5.0,84.0,125.0,30.0,18.0,97.0,51.0,122.0,32.0,46.0,44.0,26.0,104.0,2.0,115.0,338.0,61.0,64.0,340.0,363.0,47.0,12.0,71.0,44.0,12.0,67.0,92.0,54.0,69.0,95.0,65.0
SP_Mag,5.7,92.0,8.5,13.0,24.0,397.0,208.0,659.0,155.0,48.0,3.1,539.0,91.0,46.0,114.0,1110.0,138.0,80.0,1500.0,142.0,9.2,94.0,557.0,76.0,207.0,92.0,28.0,1860.0,48.0,341.0,90.0,242.0,1120.0
SP_Dur,116.0,189.0,200.0,51.0,48.0,125.0,136.0,52.0,26.0,22.0,30.0,51.0,94.0,104.0,29.0,99.0,60.0,140.0,39.0,23.0,192.0,109.0,66.0,86.0,58.0,48.0,141.0,68.0,79.0,49.0,41.0,36.0,108.0
SP_ROC,0.4285714285714286,0.09523809523809532,0.09999999999999998,0.19999999999999996,0.33333333333333326,0.25000000000000006,0.2761904761904761,0.09090909090909091,0.19999999999999996,0.45833333333333337,0.25000000000000006,0.14285714285714285,0.25000000000000006,0.25000000000000006,0.22727272727272735,0.08333333333333333,0.06101190476190476,0.11111111111111108,0.06,0.08680555555555557,0.16666666666666663,0.15384615384615388,0.1477975973789588,0.1538461538461538,0.2398809523809524,0.6144490644490644,0.38104838709677424,0.08695652173913043,0.04615384615384613,0.13541666666666669,0.18181818181818185,0.16837387964148529,0.08377192982456144
SU_Tim,135.0,269.0,205.0,135.0,173.0,155.0,154.0,149.0,77.0,144.0,62.0,97.0,138.0,130.0,133.0,101.0,175.0,113.0,100.0,87.0,167.0,107.0,113.0,98.0,129.0,92.0,153.0,135.0,171.0,103.0,110.0,131.0,173.0
SU_Mag_10,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.51,0.0,0.0,0.0
SU_Mag_50,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.6,0.0,1.2,0.01,0.22,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.1,0.98,0.0,0.0,1.1
