Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,275.34794520547945,302.1475409836066,212.30383561643833,158.84630136986303,128.9567123287671,309.4549180327869,175.15616438356165,275.93698630136987,110.53616438356164,148.52185792349727,104.9731506849315,173.75753424657535,274.7698630136986,152.31092896174863,288.76575342465753,133.42712328767124,291.24383561643833,142.97759562841532,289.5068493150685,231.2945205479452,242.76986301369863,160.32868852459018,212.5068493150685,301.92328767123286,202.1104109589041,82.69918032786886,41.37150684931507,246.86547945205479,153.52739726027397,276.94344262295084,103.13479452054794
Std,662.2881233920693,428.13940465268735,303.0933417175429,269.30058160621087,230.0835327527499,621.3336220642715,282.38424273353525,425.4438892246413,149.41741955836284,240.9866817462363,154.82165521318356,273.795611759169,682.9351213063213,230.9477304445698,739.4820896289284,216.78151896081317,453.96632938514836,204.69383412196942,436.93873189789315,428.650864057973,332.97345596823976,233.58162103462953,329.98112537503084,413.09070234246855,386.77360742230235,98.7136595615196,70.05354788804068,352.4047135763049,290.45639479410227,545.9862329357412,180.50504085936967
CV,2.405277159042659,1.4169878836641487,1.4276394999529385,1.6953531765222687,1.7841919865804756,2.0078324365116114,1.6121855815200583,1.5418153793996452,1.3517514416357241,1.6225671097540881,1.4748690898863115,1.5757337542015986,2.4854804446740713,1.5162912603767915,2.5608372213773203,1.6247185251339669,1.5587156666313513,1.4316497156236179,1.5092517946695467,1.8532685644367337,1.371560093311299,1.456892232975537,1.5528023046720332,1.3681975495453897,1.9136748353895858,1.193647375586551,1.6932800669599122,1.427517182064119,1.8918863992834678,1.9714719646894947,1.7501856836822123
SP_Tim,341.0,179.0,174.0,141.0,153.0,152.0,157.0,171.0,136.0,158.0,144.0,157.0,152.0,144.0,154.0,134.0,173.0,145.0,148.0,150.0,171.0,153.0,142.0,194.0,161.0,130.0,152.0,160.0,145.0,166.0,125.0
SP_Mag,4150.0,1120.0,1390.0,944.0,964.0,1290.0,1040.0,1150.0,634.0,646.0,710.0,928.0,1680.0,1040.0,1000.0,1100.0,1700.0,706.0,1570.0,925.0,1200.0,879.0,1540.0,1800.0,1670.0,462.0,330.0,1370.0,1380.0,894.0,979.0
SP_Dur,205.0,34.0,38.0,70.0,56.0,53.0,36.0,33.0,40.0,21.0,36.0,54.0,37.0,55.0,52.0,46.0,44.0,37.0,62.0,48.0,48.0,40.0,49.0,19.0,53.0,51.0,42.0,57.0,49.0,52.0,55.0
SP_ROC,0.06707958352739675,0.10444247622599293,0.07194616977225674,0.05263157894736842,0.07373271889400922,0.09546583149935105,0.09744779582366589,0.10975609756097561,0.10416666666666667,0.14400921658986177,0.11738839499091866,0.10857610474631751,0.11217948717948718,0.07692307692307693,0.09303568739647644,0.08267716535433071,0.09125607217210271,0.08032786885245902,0.07310817098340511,0.0693664795509222,0.0875460574797347,0.09859154929577464,0.1111111111111111,0.09523809523809523,0.10526315789473684,0.09009740259740259,0.12244454968821533,0.10582524271844661,0.09917355371900827,0.0990990990990991,0.1232183908045977
SU_Tim,181.0,213.0,212.0,211.0,209.0,205.0,193.0,204.0,176.0,179.0,180.0,211.0,189.0,199.0,206.0,180.0,217.0,182.0,210.0,198.0,219.0,193.0,191.0,213.0,214.0,181.0,194.0,217.0,194.0,218.0,180.0
SU_Mag_10,18.0,2.92,17.0,2.62,8.3,18.6,23.0,3.7,3.9,13.0,12.0,11.0,15.0,14.0,12.0,14.0,17.0,20.0,13.700000000000001,21.0,18.0,11.0,16.0,16.0,15.0,3.9,2.5,4.8,6.3,5.1800000000000015,4.2
SU_Mag_50,45.0,33.0,30.0,25.0,31.0,37.0,47.0,24.0,15.0,19.0,22.0,80.0,53.0,25.0,34.0,52.0,34.0,55.0,36.0,62.0,26.5,58.5,100.5,26.0,50.0,12.0,7.5,18.0,47.0,17.0,8.8
SU_Dur_Fl,155.0,162.0,nan,109.0,149.0,217.0,127.0,172.0,229.0,218.0,227.0,76.0,121.0,nan,118.0,145.0,164.0,126.0,147.0,112.0,210.0,116.0,122.0,237.0,86.0,237.0,159.0,160.0,185.0,193.0,232.0
SU_Dur_Wet,288.0,247.0,218.0,252.0,251.0,217.0,288.0,211.0,232.0,272.0,280.0,271.0,275.0,151.0,245.0,317.0,193.0,286.0,148.0,263.0,212.0,278.0,260.0,281.0,234.0,276.0,251.0,243.0,275.0,198.0,237.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,335.0,10.0,nan,319.0,357.0,57.0,318.0,10.0,39.0,32.0,40.0,286.0,309.0,nan,322.0,324.0,15.0,308.0,355.0,309.0,63.0,309.0,311.0,84.0,299.0,53.0,351.0,11.0,13.0,46.0
FA_Mag,nan,437.99962086544343,1039.9204117847346,nan,131.87446136026114,7789.709991490468,943.9959452854443,323.8658891047673,499.8021490826255,1879.8542156761353,146.83458061605583,392.9030584708953,5279.8480622507805,262.9529737989565,nan,250.99864226139783,382.96268124639573,343.9540892595076,413.8684162905777,2489.807334203492,280.91699027690726,488.97835689788906,424.9315983280603,897.861606353949,271.7216011537359,726.687907832915,42.931684191369584,222.9653954997284,536.9330808273385,7369.521449113671,665.7827397561967
FA_Tim_Wet,316.0,103.0,95.0,63.0,97.0,94.0,57.0,114.0,49.0,42.0,86.0,93.0,116.0,98.0,350.0,84.0,131.0,44.0,103.0,356.0,95.0,65.0,106.0,84.0,128.0,82.0,92.0,78.0,94.0,103.0,51.0
FA_Dur,nan,2.0,8.0,nan,5.0,5.0,4.0,2.0,5.0,4.0,2.0,5.0,4.0,3.0,nan,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,5.0,9.0,4.0,9.0,6.0,4.0
Tim_2,342.5,138.0,140.0,68.0,nan,125.0,139.0,135.0,nan,39.0,nan,nan,125.0,318.0,55.5,nan,139.0,51.0,137.0,7.0,161.0,nan,133.0,81.5,144.0,nan,nan,148.5,138.0,95.0,nan
Dur_2,2.0,24.0,1.0,1.0,nan,2.0,2.0,3.0,nan,1.0,nan,nan,2.0,1.0,4.0,nan,3.0,1.0,7.0,1.5,1.0,nan,7.0,3.0,2.0,nan,nan,2.5,5.0,1.5,nan
Fre_2,4.0,1.0,3.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,5.0,1.0,5.0,4.0,2.0,0.0,1.0,6.0,3.0,0.0,0.0,4.0,1.0,4.0,0.0
Tim_5,340.0,132.0,138.0,117.0,144.0,126.0,139.0,156.0,nan,99.5,nan,133.0,84.0,133.0,133.5,130.0,115.5,52.5,139.5,76.0,148.5,115.5,131.0,79.0,138.0,nan,nan,128.0,123.0,110.0,117.5
Dur_5,2.0,5.0,2.0,2.0,3.0,3.0,2.0,4.0,nan,1.0,nan,2.0,3.0,3.0,4.0,1.0,9.0,1.5,2.5,2.0,3.0,1.5,2.5,4.0,16.5,nan,nan,5.0,3.0,4.0,2.0
Fre_5,5.0,5.0,6.0,5.0,2.0,6.0,5.0,7.0,0.0,4.0,0.0,4.0,4.0,3.0,6.0,1.0,4.0,2.0,4.0,6.0,6.0,2.0,6.0,6.0,2.0,0.0,0.0,5.0,3.0,5.0,2.0
