Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
Avg,2.232876712328767,53.99480874316939,12.526301369863011,9.045753424657534,4.685479452054795,34.81748633879781,7.141369863013699,100.61424657534248,8.962191780821918,2.788251366120219,1.6323287671232878,28.140547945205476
Std,4.71399707645804,167.02811222544935,32.62487107020551,33.770495589753445,12.02321875180217,166.81279458541948,25.59640200074513,308.1466375977328,34.485191511027764,10.461344337970148,9.519226185966136,60.972447401801986
CV,2.1111766047940916,3.0934105724854377,2.6045095121771205,3.733298267637886,2.566059434222776,4.791063690302556,3.5842425881500697,3.062654127882227,3.8478524399379843,3.7519373127849818,5.831684387172944,2.1667114485661725
SP_Tim,24.0,83.0,13.0,93.0,63.0,31.0,65.0,97.0,56.0,45.0,33.0,186.0
SP_Mag,30.0,391.0,323.0,210.0,58.0,842.0,135.0,3540.0,348.0,103.0,24.0,100.0
SP_Dur,24.0,62.0,155.0,28.0,32.0,58.0,103.0,66.0,52.0,56.0,92.0,26.0
SP_ROC,0.15094339622641506,0.07692307692307693,0.09090909090909098,0.14285714285714285,0.1261363636363637,0.07407407407407407,0.11764705882352941,0.05319148936170213,0.06316489361702125,0.10731907894736847,0.19999999999999996,0.23809523809523808
SU_BFL_Tim,48.0,145.0,168.0,121.0,95.0,89.0,168.0,163.0,108.0,101.0,125.0,212.0
SU_BFL_Mag_10,0.2,0.9,0.4,0.2,0.1,0.5,0.1,1.7000000000000002,0.2,0.1,0.0,0.0
SU_BFL_Mag_50,0.4,1.4,0.8,0.3,0.3,1.8,0.3,2.9,1.0,0.2,0.1,0.2
SU_BFL_Dur_Fl,316.0,192.0,224.0,217.0,nan,290.0,234.0,nan,nan,nan,214.0,126.0
SU_BFL_Dur_Wet,318.0,193.0,228.0,252.0,257.0,324.0,239.0,244.0,284.0,229.0,277.0,189.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,122.0,35.0
FAFL_Tim,323.0,363.0,337.0,25.0,337.0,nan,14.0,35.0,nan,nan,nan,337.0
FAFL_Mag,39.81519749986598,648.9773564177793,105.95690702770901,148.87865444303034,23.955908159400046,nan,117.95601647295193,1089.9951079450807,nan,nan,nan,199.95218560390026
FAFL_Tim_Wet,323.0,365.0,338.0,29.0,7.0,351.0,48.0,40.0,41.0,26.0,330.0,35.0
FAFL_Dur,3.0,2.0,6.0,3.0,7.0,nan,3.0,3.0,nan,nan,nan,5.0
Wet_BFL_Mag,1.45,26.0,11.0,1.54,1.2,6.120000000000005,2.3,10.200000000000001,15.0,3.84,0.4,0.2
WIN_Tim_2,nan,45.5,5.0,79.0,nan,365.0,57.0,50.0,49.0,nan,nan,43.0
WIN_Dur_2,nan,3.0,1.0,1.0,nan,5.0,1.0,2.0,1.0,nan,nan,2.0
WIN_Fre_2,0.0,6.0,2.0,3.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0,2.0
WIN_Tim_5,nan,24.0,360.0,76.0,18.0,6.0,57.0,45.0,49.5,37.0,337.0,107.0
WIN_Dur_5,nan,3.0,1.5,1.0,2.0,5.0,2.0,3.5,3.5,1.0,1.0,3.5
WIN_Fre_5,0.0,7.0,6.0,7.0,1.0,5.0,3.0,6.0,2.0,2.0,1.0,8.0
WIN_Tim_10,323.0,7.0,355.0,64.5,38.5,20.0,56.0,42.0,44.5,37.0,365.0,79.0
WIN_Dur_10,1.0,5.0,5.0,3.0,2.5,6.0,3.0,5.5,7.5,2.0,1.5,9.5
WIN_Fre_10,1.0,5.0,5.0,6.0,2.0,5.0,3.0,6.0,2.0,2.0,2.0,6.0
WIN_Tim_20,349.0,362.0,354.0,49.5,14.0,116.5,55.0,48.0,42.0,33.0,364.5,81.5
WIN_Dur_20,3.0,5.0,6.0,9.0,5.0,7.0,9.0,22.0,47.0,14.0,4.0,28.0
WIN_Fre_20,5.0,3.0,5.0,6.0,7.0,4.0,5.0,4.0,1.0,1.0,2.0,4.0
WIN_Tim_50,337.0,110.0,61.0,80.0,10.0,199.5,286.0,124.5,291.0,115.0,26.0,19.0
WIN_Dur_50,8.0,2.5,2.0,19.0,5.0,10.5,119.5,21.5,3.0,7.0,15.0,9.0
WIN_Fre_50,5.0,8.0,4.0,6.0,7.0,6.0,2.0,4.0,3.0,3.0,5.0,3.0
