Year,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
Avg,27.854754098360655,15.570109589041095,44.94802739726027,36.50641095890411,33.18338797814208,20.456054794520547,27.97756164383562,16.131753424657536,15.221885245901637,23.873479452054795
Std,36.06899293255969,19.917380528354574,61.86288886822646,51.46411952904282,42.14255143589515,27.836884131202325,53.20668197118842,18.906358144692092,25.439973611912603,31.851368404878247
CV,1.2948953993703527,1.279206187628459,1.3763204405272123,1.4097282690149096,1.2699894134876908,1.3608139209061387,1.9017626571081687,1.1719964747163534,1.6712761396465066,1.3341736996840146
SP_Tim,78.0,92.0,108.0,93.0,352.0,337.0,57.0,79.0,21.0,97.0
SP_Mag,270.0,73.0,190.0,325.0,370.0,140.0,338.0,65.0,131.0,115.0
SP_Dur,94.0,124.0,48.0,73.0,206.0,217.0,134.0,82.0,206.0,43.0
SP_ROC,0.06666666666666667,0.057692307692307696,0.05555555555555555,0.07142857142857142,0.06451612903225806,0.06666666666666667,0.06666666666666667,0.06818181818181834,0.062499999999999965,0.07142857142857142
SU_BFL_Tim,172.0,216.0,156.0,166.0,193.0,189.0,191.0,161.0,227.0,140.0
SU_BFL_Mag_10,0.89,0.62,0.55,2.5,1.1,0.735,0.89,0.28600000000000003,0.65,0.7949999999999999
SU_BFL_Mag_50,2.1,1.25,1.3,3.45,2.8,2.45,2.9,0.75,0.855,2.0
SU_BFL_Dur_Fl,nan,106.0,167.0,149.0,nan,150.0,112.0,176.0,nan,nan
SU_BFL_Dur_Wet,163.0,108.0,175.0,156.0,120.0,196.0,145.0,177.0,98.0,186.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,298.0,nan,320.0,322.0,314.0,nan,337.0,302.0,336.0,nan
FAFL_Mag,76.79799161344253,nan,141.97731859484975,67.99614454249263,51.97868357669682,nan,48.00750927438227,15.965582121794796,82.93169316707748,nan
FAFL_Tim_Wet,307.0,335.0,322.0,330.0,321.0,313.0,18.0,335.0,337.0,325.0
FAFL_Dur,2.0,nan,7.0,3.0,2.0,nan,3.0,5.0,3.0,nan
Wet_BFL_Mag,22.4,10.0,32.0,20.0,41.0,51.400000000000006,14.4,7.71,19.9,17.0
WIN_Tim_2,13.0,nan,363.0,62.0,342.0,318.0,47.0,nan,362.5,351.5
WIN_Dur_2,2.0,nan,3.0,1.5,4.5,1.0,9.0,nan,1.0,1.5
WIN_Fre_2,3.0,0.0,9.0,6.0,2.0,1.0,1.0,0.0,2.0,2.0
WIN_Tim_5,12.0,337.0,347.0,65.0,340.0,332.0,50.5,nan,11.0,51.5
WIN_Dur_5,4.0,1.0,4.0,5.0,2.0,3.0,5.0,nan,2.0,2.0
WIN_Fre_5,3.0,1.0,9.0,8.0,3.0,3.0,4.0,0.0,3.0,4.0
WIN_Tim_10,12.0,29.0,21.0,49.0,358.0,40.0,33.0,33.0,4.5,77.0
WIN_Dur_10,6.0,1.0,9.0,10.5,5.0,4.0,9.0,2.0,2.0,5.5
WIN_Fre_10,5.0,5.0,10.0,6.0,7.0,3.0,5.0,3.0,4.0,6.0
WIN_Tim_20,4.5,46.0,51.5,47.0,71.5,36.0,20.5,44.0,2.0,28.0
WIN_Dur_20,4.5,6.0,26.5,12.0,6.0,9.5,10.0,9.0,3.0,18.5
WIN_Fre_20,8.0,6.0,4.0,8.0,10.0,4.0,4.0,5.0,6.0,4.0
WIN_Tim_50,292.0,84.5,301.0,99.0,306.0,95.5,115.0,324.0,107.0,326.0
WIN_Dur_50,223.0,2.0,3.0,2.0,119.0,2.0,3.0,3.0,18.5,4.0
WIN_Fre_50,1.0,6.0,3.0,4.0,2.0,6.0,5.0,3.0,4.0,5.0
