Year,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
WIN_Fre_2,nan,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,7.0,7.0,4.0,0.0,3.0,9.0,1.0,5.0,4.0
WIN_Tim_5,nan,56.0,47.0,nan,nan,nan,nan,92.0,99.0,329.0,72.0,28.0,37.0,60.0,nan,nan,73.5,49.5,83.0,50.5,nan,36.0,38.5,82.5,51.0,79.5,27.0,359.0,9.0,337.0
WIN_Dur_5,nan,2.0,2.0,nan,nan,nan,nan,2.0,4.0,2.0,6.0,1.0,7.0,2.0,nan,nan,3.0,1.5,1.5,2.0,nan,4.0,3.0,2.0,1.5,2.5,4.0,4.0,3.0,2.0
WIN_Fre_5,nan,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,2.0,5.0,1.0,0.0,0.0,6.0,2.0,2.0,2.0,0.0,9.0,8.0,6.0,2.0,6.0,5.0,1.0,5.0,5.0
WIN_Tim_10,nan,56.0,47.0,46.5,nan,65.0,nan,92.0,95.5,8.5,72.0,68.0,18.0,62.0,7.5,359.0,43.0,56.5,85.0,61.0,67.0,4.0,359.5,91.5,74.0,46.5,356.0,336.5,13.5,30.0
WIN_Dur_10,nan,3.0,2.0,1.5,nan,2.0,nan,3.0,8.5,5.0,10.0,1.0,54.5,2.5,1.0,2.0,2.0,3.0,3.0,2.0,1.5,130.0,3.0,6.0,1.5,6.0,5.0,2.0,4.0,2.0
WIN_Fre_10,nan,5.0,1.0,2.0,0.0,5.0,0.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,5.0,4.0,7.0,3.0,2.0,1.0,8.0,4.0,4.0,4.0,3.0,6.0,8.0,7.0
WIN_Tim_20,nan,34.0,47.0,79.0,nan,47.0,nan,105.5,65.5,326.0,363.0,36.0,90.5,50.5,42.0,358.0,27.0,67.0,65.0,72.5,69.0,4.0,113.5,6.0,103.0,20.0,7.0,2.5,29.0,30.0
WIN_Dur_20,nan,9.0,3.0,3.5,nan,2.0,nan,9.5,13.5,128.0,93.5,3.0,3.5,7.5,2.0,2.5,4.0,4.0,1.0,5.0,2.5,152.0,7.0,181.0,3.0,16.0,11.0,4.0,4.0,3.0
WIN_Fre_20,nan,3.0,3.0,4.0,0.0,5.0,0.0,2.0,2.0,1.0,2.0,8.0,4.0,2.0,6.0,2.0,4.0,5.0,3.0,4.0,4.0,1.0,6.0,1.0,7.0,5.0,6.0,4.0,11.0,5.0
WIN_Tim_50,nan,17.5,7.5,11.0,nan,29.0,165.0,52.0,222.0,319.0,330.0,323.0,5.5,359.0,86.5,54.5,330.5,103.0,35.0,151.0,57.0,244.5,316.0,274.0,190.0,1.0,314.0,210.0,338.0,116.0
WIN_Dur_50,nan,4.5,2.5,168.0,nan,5.0,2.5,42.5,2.0,259.0,2.0,18.0,100.5,2.0,96.0,3.0,106.0,76.5,137.0,5.0,12.0,6.5,323.0,365.0,7.0,201.0,325.0,5.0,7.0,111.5
WIN_Fre_50,nan,4.0,4.0,1.0,0.0,3.0,4.0,2.0,7.0,1.0,3.0,3.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,3.0,5.0,8.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0
