Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
SU_Dur_Fl,151.0,141.0,186.0,167.0,137.0,132.0,128.0,177.0,216.0,140.0,158.0,118.0,128.0,nan,172.0,153.0,137.0,210.0,nan,nan
SU_Dur_Wet,171.0,166.0,187.0,191.0,145.0,242.0,199.0,186.0,216.0,218.0,201.0,223.0,195.0,134.0,217.0,201.0,185.0,225.0,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,316.0,342.0,17.0,319.0,340.0,304.0,318.0,361.0,26.0,318.0,355.0,286.0,310.0,nan,322.0,333.0,339.0,360.0,nan
FA_Mag,nan,193.89595876622752,125.9890713759086,251.9912709337418,47.958173577714916,427.81540010565953,128.96414806189148,259.92558843959785,58.98672343252176,351.97191819910574,71.01453158654557,200.00846121518111,2309.8380525226303,129.95255098510816,nan,139.85911396319707,311.9815481336251,168.90021485306357,329.9791929454723,nan
FA_Tim_Wet,319.0,336.0,2.0,18.0,343.0,348.0,49.0,24.0,5.0,26.0,31.0,33.0,26.0,12.0,349.0,2.0,16.0,22.0,10.0,nan
FA_Dur,nan,4.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,6.0,5.0,4.0,nan,2.0,2.0,3.0,3.0,nan
Tim_2,348.0,36.0,14.0,68.0,nan,20.0,65.0,55.0,nan,52.5,nan,40.0,31.0,nan,363.0,nan,48.0,51.0,16.5,nan
Dur_2,2.0,2.5,2.0,2.0,nan,3.0,2.0,2.0,nan,2.5,nan,8.0,3.0,nan,7.0,nan,2.0,4.0,6.5,nan
Fre_2,7.0,4.0,3.0,3.0,0.0,4.0,3.0,5.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,0.0,4.0,1.0,2.0,nan
Tim_5,18.0,60.5,65.5,48.0,1.0,9.0,64.0,72.0,12.0,55.0,nan,52.5,63.0,20.0,55.5,5.0,28.0,31.5,66.5,nan
Dur_5,5.0,2.5,3.5,2.0,1.0,1.5,4.0,6.0,2.0,3.0,nan,5.5,3.0,2.0,2.5,1.0,2.0,5.0,2.0,nan
Fre_5,7.0,10.0,4.0,5.0,1.0,6.0,3.0,8.0,3.0,4.0,0.0,2.0,8.0,1.0,6.0,1.0,7.0,2.0,6.0,nan
Tim_10,3.5,35.5,63.5,56.0,64.5,4.0,101.5,25.0,12.0,64.0,62.0,75.0,58.0,27.0,47.0,69.0,27.0,58.5,37.0,nan
Dur_10,12.5,6.0,11.0,2.5,1.5,4.0,6.5,3.0,2.0,4.5,2.5,7.0,4.5,2.0,1.0,4.0,8.0,2.0,7.0,nan
Fre_10,4.0,8.0,2.0,6.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,8.0,4.0,6.0,3.0,7.0,4.0,7.0,nan
Tim_20,17.0,9.5,8.0,64.5,111.0,51.5,53.0,355.0,68.0,36.0,352.0,38.0,349.0,327.0,34.0,30.0,86.0,34.0,35.0,nan
Dur_20,21.0,8.0,12.0,9.0,6.0,7.0,2.0,4.0,4.5,10.0,3.0,3.0,7.0,3.0,5.5,2.0,9.0,3.0,30.5,nan
Fre_20,5.0,6.0,5.0,6.0,3.0,6.0,5.0,5.0,4.0,5.0,7.0,7.0,7.0,5.0,6.0,6.0,6.0,5.0,4.0,nan
Tim_50,303.0,310.0,337.0,354.0,336.0,335.0,363.0,317.0,134.0,8.0,359.0,352.0,72.0,350.0,59.0,343.0,354.5,348.0,333.0,nan
Dur_50,3.0,4.0,2.0,3.0,13.0,2.0,2.5,5.0,1.5,5.0,24.0,15.0,48.5,12.0,5.0,2.5,26.5,4.5,2.5,nan
Fre_50,3.0,4.0,3.0,9.0,3.0,3.0,6.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,4.0,6.0,4.0,6.0,6.0,nan
