Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
Avg,133.85506849315067,146.35573770491803,77.55616438356165,65.53123287671234,37.31506849315068,140.39207650273227,64.06328767123287,128.7109589041096,35.42821917808219,66.45327868852459,53.38575342465753,77.55561643835617,128.9917808219178,51.419398907103826,150.27616438356162,50.78520547945205,122.28383561643835,59.22021857923497,135.06794520547945,5.4
Std,259.7250695150246,185.43782398809418,134.38023785145668,118.17000551150704,45.39114351860741,335.6878463440698,124.61538206307223,176.46069620331875,61.9786109668216,183.65190605746466,63.89626665874542,161.46220034326453,277.23150602419827,56.10258637044191,449.2157012547326,66.09343987734933,187.74352641653306,112.77283625356566,296.267055181957,0.0
CV,1.9403454231418562,1.2670348760905659,1.7326828746566938,1.8032623578718112,1.216429323369435,2.3910740171831333,1.9451918031835542,1.3709842402369403,1.7494136709294414,2.7636244543819384,1.1968786157325888,2.08188920104323,2.1492183785487526,1.0910782226723208,2.989267813012343,1.3014309827709776,1.5353094337457558,1.904296183957491,2.1934668120644365,0.0
SP_Tim,40.0,121.0,25.0,99.0,132.0,19.0,146.0,108.0,66.0,77.0,91.0,50.0,109.0,100.0,365.0,105.0,134.0,56.0,30.0,nan
SP_Mag,1040.0,540.0,1140.0,753.0,250.0,2080.0,400.0,382.0,150.0,401.0,316.0,1170.0,712.0,155.0,1300.0,300.0,407.0,1010.0,2060.0,nan
SP_Dur,126.0,80.0,173.0,54.0,72.0,153.0,46.0,77.0,110.0,101.0,108.0,119.0,74.0,115.0,152.0,76.0,69.0,94.0,130.0,nan
SP_ROC,0.0541547997989613,0.052083333333333336,0.05,0.06333151084381265,0.06186224489795925,0.06504494976203068,0.0672316384180791,0.06222222222222222,0.058823529411764705,0.05660377358490566,0.05917366946778711,0.06559139784946236,0.05300521774031708,0.06186224489795916,0.05434782608695652,0.05263157894736842,0.05405405405405406,0.04580152671755725,0.06890304847576212,nan
SU_Tim,166.0,201.0,198.0,153.0,204.0,172.0,192.0,185.0,176.0,178.0,199.0,169.0,183.0,215.0,152.0,181.0,203.0,150.0,160.0,nan
SU_Mag_10,3.8,5.5,5.1,4.8,2.2,5.2,4.2,4.7,2.2,5.1,5.0,4.6,8.04,4.8,6.9,4.0,10.0,4.3,nan,nan
SU_Mag_50,7.5,7.2,10.0,6.4,3.9,9.5,8.7,6.3,4.1,9.0,7.2,15.0,14.0,5.699999999999999,11.0,6.2,16.0,9.1,nan,nan
