Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963
Avg,88.38356164383562,139.5983606557377,99.27671232876712,84.46301369863014,49.97534246575343,127.23770491803279,71.04657534246576,130.97260273972603,60.53150684931507,58.27322404371585,54.26027397260274,64.0054794520548,99.9013698630137,53.76229508196721
Std,65.87219467385545,144.8325201894118,76.13346341921479,77.50953543963675,31.62870111894825,138.70222379021212,59.84066075882303,138.87678313247952,34.677729131669004,52.686376895461024,31.950572870830566,65.1715121611649,111.87145815089927,25.76863852330232
CV,0.7452991647847873,1.0374944197703153,0.7668813927589524,0.9176742818601775,0.6328861306077578,1.090103156761314,0.8422736841342898,1.0603498764429458,0.5728872604806367,0.9041266852840741,0.5888391364732722,1.018217701345141,1.1198190605824438,0.4793068912704503
SP_Tim,108.0,144.0,124.0,121.0,145.0,148.0,144.0,135.0,120.0,94.0,107.0,128.0,132.0,138.0
SP_Mag,196.0,454.0,344.0,348.0,137.0,333.0,226.0,774.0,157.0,210.0,121.0,241.0,275.0,111.0
SP_Dur,85.0,66.0,104.0,70.0,58.0,59.0,51.0,60.0,83.0,109.0,99.0,72.0,71.0,95.0
SP_ROC,0.03625922887612797,0.03571428571428571,0.032018442622950824,0.036504130029309884,0.043478260869565216,0.0379746835443038,0.03625922887612797,0.05034324942791762,0.03252247488101534,0.038461538461538464,0.03636363636363636,0.04081632653061224,0.042735042735042736,0.0339080459770115
SU_BFL_Tim,193.0,210.0,228.0,191.0,203.0,207.0,195.0,195.0,203.0,203.0,206.0,200.0,203.0,233.0
SU_BFL_Mag_10,30.0,42.0,39.0,34.0,22.0,41.0,34.0,44.0,27.0,24.0,25.0,26.0,36.0,25.0
SU_BFL_Mag_50,54.0,46.0,48.0,38.0,29.0,46.0,51.0,46.5,32.0,31.0,31.0,47.0,45.0,46.0
SU_BFL_Dur_Fl,143.0,165.0,92.0,123.0,nan,97.0,125.0,124.0,nan,114.0,125.0,87.0,80.0,50.0
SU_BFL_Dur_Wet,267.0,166.0,195.0,253.0,147.0,210.0,275.0,178.0,199.0,190.0,252.0,255.0,246.0,216.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,300.0,335.0,10.0,318.0,313.0,nan,304.0,318.0,318.0,nan,317.0,329.0,286.0,282.0
FAFL_Mag,137.02142881920602,282.76045695414393,399.8299723931034,151.96579940142055,67.94301194874527,nan,132.99950359495847,241.78604530712093,116.93557651669789,nan,55.98644813170268,59.86777281236717,1049.8036055994428,51.81672557812446
FAFL_Tim_Wet,311.0,94.0,11.0,56.0,78.0,349.0,52.0,103.0,7.0,36.0,28.0,91.0,89.0,83.0
FAFL_Dur,5.0,6.0,4.0,6.0,9.0,nan,5.0,2.0,2.0,nan,3.0,8.0,4.0,-1.0
Wet_BFL_Mag,62.0,55.0,84.6,45.0,38.0,79.0,41.0,47.1,46.0,44.0,36.0,31.0,42.0,41.0
WIN_Tim_2,324.0,108.0,64.0,81.5,nan,60.0,56.0,111.0,nan,39.0,nan,nan,67.5,nan
WIN_Dur_2,2.0,43.0,1.5,1.5,nan,2.5,3.0,3.0,nan,1.0,nan,nan,2.5,nan
WIN_Fre_2,1.0,1.0,2.0,2.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0
WIN_Tim_5,341.0,33.0,20.0,95.0,nan,66.0,60.5,55.0,12.0,53.0,nan,113.0,67.5,nan
WIN_Dur_5,1.0,2.0,2.0,3.0,nan,6.0,3.0,2.0,1.0,1.0,nan,3.0,3.5,nan
WIN_Fre_5,5.0,3.0,5.0,3.0,0.0,6.0,2.0,5.0,1.0,2.0,0.0,3.0,8.0,0.0
WIN_Tim_10,35.0,43.5,94.0,80.5,88.0,54.0,102.0,46.0,12.0,78.5,36.5,96.0,31.0,nan
WIN_Dur_10,5.0,2.5,5.0,21.5,1.0,11.0,4.0,5.0,1.0,2.0,1.0,36.0,7.0,nan
WIN_Fre_10,7.0,4.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,4.0,2.0,1.0,7.0,0.0
WIN_Tim_20,337.0,59.0,60.5,48.0,104.5,13.0,96.0,66.0,67.5,94.5,93.0,121.0,349.0,100.0
WIN_Dur_20,8.0,4.5,12.0,1.5,3.0,6.0,7.0,2.0,3.5,3.0,1.5,30.5,5.0,1.0
WIN_Fre_20,7.0,6.0,4.0,6.0,4.0,7.0,7.0,8.0,6.0,6.0,8.0,2.0,7.0,5.0
WIN_Tim_50,309.0,356.0,343.0,310.0,341.5,90.0,7.0,352.5,355.0,32.0,340.5,37.0,354.5,50.5
WIN_Dur_50,109.5,5.0,2.0,2.0,2.5,2.5,3.5,4.0,3.0,3.0,4.0,7.5,31.0,1.0
WIN_Fre_50,2.0,9.0,7.0,7.0,6.0,6.0,6.0,10.0,9.0,5.0,6.0,4.0,4.0,12.0
