Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,0.8175342465753423,19.93633879781421,3.860547945205479,3.48986301369863,1.8600000000000003,3.45,2.5356164383561643,35.56767123287671,5.22027397260274,1.4393442622950818,0.903013698630137,20.781095890410956,2.656438356164384,1.7508196721311473,2.588767123287671,19.158904109589045,20.875068493150685,2.887704918032787,75.41068493150685,5.254794520547946,6.234657534246575,3.439644808743169,23.036438356164386,5.384251497005987,6.533424657534248,2.2353005464480877,1.5935616438356166,45.342465753424655,9.440821917808218,23.547814207650273,3.7954794520547943,3.658109589041096,30.123616438356166
Std,0.4589081169320021,78.13658258085819,4.2590473854211695,7.073417823602827,1.864694326560482,13.712793177223649,9.049949214464538,110.5477376399742,21.941917722696818,1.5162989189266465,1.296915925424839,118.52070392582466,7.06610225041524,6.917143262419613,7.2332080351677295,70.66646883761142,47.84127303717185,2.4233803515393904,400.4746462254432,15.30744863985791,26.874767362214097,13.174129771223237,89.14008188392916,16.669408529614014,20.477670847540594,7.168720556547629,1.823964799184949,193.0235029268178,16.943587444482784,95.19262543834614,8.323876803755466,9.964063537521781,95.36109983774222
CV,0.5613319794912225,3.9193045108876747,1.1032235438781683,2.0268468406461233,1.00252383148413,3.9747226600648253,3.5691317809611633,3.1080960267589917,4.203211907622724,1.0534650803476702,1.4362084732404923,5.703294212723103,2.659991049300291,3.950802799696596,2.7940744341583463,3.688440029419157,2.2917899911499235,0.8392063664144355,5.31058226813855,2.913044188502678,4.310544278429524,3.830084355726546,3.8695253365881497,3.095956520397189,3.134293562860031,3.2070499727380235,1.1445837732356337,4.257013810772719,1.794715289833198,4.0425249069367855,2.1931028500889633,2.723828604635563,3.1656590779160125
SP_Tim,60.0,81.0,4.0,93.0,132.0,32.0,65.0,97.0,51.0,37.0,34.0,47.0,45.0,97.0,106.0,4.0,117.0,73.0,61.0,67.0,339.0,365.0,48.0,13.0,72.0,46.0,137.0,67.0,94.0,55.0,69.0,95.0,66.0
SP_Mag,2.8,146.0,21.0,22.0,9.9,24.0,37.0,1480.0,366.0,15.0,3.6,440.0,65.0,12.0,26.0,165.0,110.0,12.0,4420.0,58.0,16.0,154.0,262.0,34.0,88.0,13.0,4.1,2520.0,57.0,421.0,63.0,168.0,416.0
SP_Dur,165.0,177.0,202.0,97.0,98.0,171.0,134.0,58.0,131.0,165.0,159.0,51.0,165.0,84.0,98.0,62.0,95.0,108.0,44.0,58.0,135.0,28.0,79.0,151.0,102.0,131.0,79.0,95.0,97.0,53.0,103.0,113.0,129.0
SP_ROC,0.1333333333333333,0.04597701149425271,0.05409356725146198,0.07407407407407414,0.09090909090909098,0.08333333333333341,0.09090909090909086,0.054093567251461985,0.06666666666666672,0.089572192513369,0.14285714285714282,0.0893687707641196,0.08333333333333341,0.09545454545454549,0.09999999999999998,0.05555555555555555,0.0571428571428572,0.10526315789473682,0.06350806451612903,0.06781609195402294,0.07692307692307693,0.08333333333333333,0.06818181818181818,0.07407407407407414,0.06666666666666667,0.07894736842105259,0.0966666666666666,0.0531015037593985,0.07142857142857142,0.054093567251461985,0.07362240289069559,0.07692307692307696,0.05
SU_Tim,225.0,258.0,206.0,190.0,230.0,203.0,199.0,155.0,182.0,202.0,193.0,98.0,210.0,181.0,204.0,66.0,212.0,181.0,105.0,125.0,109.0,28.0,127.0,164.0,174.0,177.0,216.0,162.0,191.0,108.0,172.0,208.0,195.0
SU_Mag_10,0.2,3.8,0.9,0.6,0.3,0.4,0.2,2.6,0.7,0.2,0.1,1.4,0.5,0.2,0.2,1.0,2.8,0.7,3.1,1.2,1.0,0.6,0.0,0.98,1.1,0.48,0.32,3.2,1.6,2.0,0.75,0.75,0.9
SU_Mag_50,0.5,3.9,1.3,0.8,0.5,0.6,0.9,3.3,1.0,0.3,0.3,1.6,1.1,0.9,0.3,2.4,3.4,1.2,4.4,1.3,1.3,1.2,3.4,1.3,1.4,1.3,0.42,4.4,2.2,2.7,1.1,1.1,3.2
