Year,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,1.0513081395348838,0.23303278688524587,0.129013698630137,0.24219178082191783,0.35846575342465764,0.2458743169398907,1.0824657534246576,1.3016712328767124,0.108027397260274,0.2377322404371585,0.1664383561643836,0.5993150684931506,1.6673150684931508,0.11770491803278688,0.09378082191780823,0.058246575342465745,0.04386301369863015
Std,2.295469825330648,0.3073193352010383,0.19159349755536645,0.4055891928504785,0.5131843665123204,0.36282163126850187,2.067455838969105,2.767411866682909,0.08929525790884175,0.3250297075937486,0.24757658210795444,1.1239313691901534,2.9804282898843253,0.07586427575920494,0.07216006685584153,0.03945095127832625,0.026620269889687673
CV,2.1834415039782744,1.3187815298813466,1.4850632110364992,1.674661260072677,1.4316133734102483,1.475638593668982,1.909950344782899,2.1260451923539008,0.8265982535309976,1.3672092056006433,1.4874971599901785,1.875359770305856,1.787561539030479,0.6445293622996521,0.7694544084832649,0.677309370488668,0.6068955971103058
SP_Tim,131.0,104.0,114.0,104.0,102.0,79.0,141.0,125.0,74.0,105.0,112.0,133.0,131.0,90.0,110.0,141.0,39.0
SP_Mag,15.0,1.9,1.89,3.44,2.51,2.22,13.1,17.1,0.47,1.28,1.42,5.16,15.3,0.43,0.36,0.17,0.2
SP_Dur,61.0,103.0,137.0,98.0,119.0,nan,66.0,68.0,170.0,133.0,107.0,62.0,85.0,147.0,158.0,126.0,nan
SP_ROC,0.08333333333333341,0.06451612903225812,0.14285714285714296,0.11666666666666659,0.10188492063492066,nan,0.13043478260869565,0.1134751773049645,0.093841642228739,0.08333333333333329,0.10638297872340424,0.07407407407407414,0.11607142857142858,0.1666666666666666,0.09761904761904763,0.5,nan
SU_BFL_Tim,192.0,207.0,251.0,202.0,221.0,nan,207.0,193.0,244.0,238.0,219.0,195.0,216.0,237.0,268.0,267.0,nan
SU_BFL_Mag_10,nan,nan,nan,nan,nan,nan,0.05,nan,nan,nan,0.02200000000000003,0.05,nan,nan,nan,nan,nan
SU_BFL_Mag_50,nan,nan,nan,nan,nan,nan,0.09,nan,nan,nan,0.08,0.15,nan,nan,nan,nan,nan
SU_BFL_Dur_Fl,nan,nan,nan,nan,nan,nan,160.0,nan,nan,nan,237.0,246.0,nan,nan,nan,nan,nan
SU_BFL_Dur_Wet,nan,nan,nan,nan,nan,nan,261.0,nan,nan,nan,244.0,258.0,nan,nan,nan,nan,nan
SU_BFL_No_Flow,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan
FAFL_Tim,nan,nan,nan,nan,nan,nan,73.0,365.0,nan,nan,nan,89.0,75.0,nan,nan,nan,nan
FAFL_Mag,nan,nan,nan,nan,nan,nan,2.0243053487816685,8.039010771280038,nan,nan,nan,1.0211143911072322,4.327323912669232,nan,nan,nan,nan
FAFL_Tim_Wet,107.0,nan,nan,nan,nan,nan,90.0,101.0,nan,nan,nan,96.0,87.0,nan,nan,nan,nan
FAFL_Dur,nan,nan,nan,nan,nan,nan,7.0,2.0,nan,nan,nan,4.0,7.0,nan,nan,nan,nan
Wet_BFL_Mag,2.8500000000000005,nan,nan,nan,nan,nan,0.981,0.25,nan,nan,nan,0.932,1.5,nan,nan,nan,nan
WIN_Tim_2,117.5,nan,nan,nan,nan,nan,113.5,120.5,nan,nan,nan,127.0,103.0,nan,nan,nan,nan
WIN_Dur_2,9.0,nan,nan,nan,nan,nan,13.5,2.5,nan,nan,nan,1.0,8.0,nan,nan,nan,nan
WIN_Fre_2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
WIN_Tim_5,107.0,100.0,114.0,102.0,118.0,79.5,88.0,59.0,nan,nan,nan,128.5,81.5,nan,nan,nan,nan
WIN_Dur_5,42.0,1.0,1.0,4.0,1.5,1.5,2.0,2.0,nan,nan,nan,19.0,42.5,nan,nan,nan,nan
WIN_Fre_5,1.0,2.0,1.0,1.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
WIN_Tim_10,90.0,90.5,101.0,102.5,91.0,105.5,82.0,58.0,nan,105.5,116.5,127.5,125.5,nan,nan,nan,nan
WIN_Dur_10,38.0,10.5,3.0,13.5,30.5,8.5,11.0,5.0,nan,8.0,7.0,4.0,56.0,nan,nan,nan,nan
WIN_Fre_10,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0
WIN_Tim_20,14.0,59.5,107.0,79.0,152.5,139.0,117.0,33.0,77.5,76.0,86.0,76.0,42.0,80.0,108.0,nan,nan
WIN_Dur_20,2.0,33.5,13.0,8.0,3.5,1.0,63.5,19.0,14.0,43.0,4.0,1.0,1.5,3.0,7.0,nan,nan
WIN_Fre_20,7.0,2.0,3.0,5.0,4.0,5.0,2.0,7.0,2.0,2.0,3.0,3.0,8.0,5.0,1.0,0.0,0.0
WIN_Tim_50,245.5,76.0,75.5,354.0,17.0,174.5,353.0,356.5,290.0,16.0,62.0,28.0,89.5,56.0,351.0,94.5,159.0
WIN_Dur_50,11.5,138.5,1.0,9.0,3.0,1.0,3.0,2.5,3.0,2.0,16.0,1.0,4.5,57.0,8.0,5.5,2.5
WIN_Fre_50,4.0,2.0,10.0,7.0,7.0,18.0,8.0,6.0,3.0,5.0,5.0,9.0,4.0,4.0,5.0,6.0,4.0
