Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Avg,0.5972602739726027,31.57486338797814,4.166301369863013,11.642465753424657,10.102465753424656,7.5366120218579224,6.298630136986302,40.69671232876712,5.733972602739726,2.412568306010929,1.7854794520547943,25.753424657534246,3.0323287671232877,3.8499999999999996,7.108767123287671,33.89260273972602,29.327671232876707,11.561202185792348,56.83808219178083,9.463972602739725,10.653424657534247,6.665491803278687,16.132328767123287,10.409041095890409,7.793972602739725,7.613661202185791,7.31068493150685,nan,25.725549450549448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.613991935483871,13.075863013698632,4.648743169398907,84.91734246575342
Std,0.8946373877416093,48.426544812402994,4.827789280181328,24.012255534161472,12.94449984015763,27.56086703643941,22.36715971552744,70.5499837588167,12.984169364323664,3.2822848673222014,2.552105250275132,122.87984852368281,6.671304019198175,5.002358733255229,19.138795996055894,137.47969483973168,78.55392372716341,21.88933224916448,157.22402218645342,17.236366360527324,27.394568415703862,30.213813647744683,36.06791913137289,15.561619467470793,12.726588146956871,19.552466316416837,12.724328152328088,nan,35.56765154232938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7556132629598095,62.50517611997789,12.712934145791845,213.65628233871462
CV,1.4979020482829697,1.5337056004758831,1.1587710181272999,2.0624716484219174,1.2813208335568518,3.65693058850668,3.5511149613603807,1.7335548677465848,2.264428218251296,1.3604940673158843,1.429366911693146,4.771398373525981,2.200059601560656,1.29931395668967,2.692280625336417,4.0563333508343895,2.6784916914611148,1.8933439531110743,2.7661739475296563,1.8212612276093836,2.571433064608952,4.53287087276633,2.235754034772533,1.495009898040913,1.6328756586189745,2.568076750092788,1.7405110836455373,nan,1.3825808311965802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2306566573457196,4.780195085746597,2.734703484906794,2.516050033300097
SP_Tim,128.0,100.0,85.0,101.0,134.0,136.0,65.0,114.0,66.0,44.0,36.0,48.0,123.0,107.0,121.0,4.0,134.0,53.0,64.0,78.0,25.0,364.0,122.0,93.0,128.0,48.0,147.0,nan,109.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.0,75.0,58.0
SP_Mag,4.7,186.0,9.1,68.0,55.0,30.0,46.0,231.0,32.0,14.0,6.1,304.0,12.0,21.0,110.0,234.0,165.0,38.0,351.0,53.0,88.0,216.0,78.0,47.0,37.0,28.0,74.0,nan,121.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,312.0,51.4,642.0
SP_Dur,55.0,81.0,105.0,88.0,81.0,51.0,121.0,74.0,102.0,132.0,139.0,109.0,70.0,85.0,62.0,141.0,69.0,179.0,117.0,90.0,157.0,48.0,68.0,87.0,72.0,134.0,59.0,nan,91.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.0,83.0,122.0
SP_ROC,0.18465909090909094,0.06,0.03448275862068969,0.058823529411764705,0.06493506493506493,0.07142857142857134,0.06666666666666667,0.05555555555555555,0.07526881720430119,0.07019704433497528,0.07142857142857134,0.05741758241758242,0.09090909090909098,0.07692307692307693,0.08333333333333333,0.07142857142857142,0.07785336356764927,0.13095238095238101,0.050423728813559325,0.09523809523809523,0.09090909090909091,0.07692307692307693,0.08333333333333333,0.07142857142857142,0.08333333333333336,0.08377192982456144,0.09375000000000008,nan,0.03703703703703707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06366092536305296,0.058219664677465206,0.058823529411764705
SU_Tim,183.0,181.0,190.0,189.0,215.0,187.0,186.0,188.0,168.0,176.0,175.0,157.0,193.0,192.0,183.0,145.0,203.0,232.0,181.0,168.0,182.0,47.0,190.0,180.0,200.0,182.0,206.0,nan,200.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,175.0,158.0,180.0
SU_Mag_10,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.44400000000000106
SU_Mag_50,0.0,1.0,0.05,0.6,0.4,0.0,0.0,3.3,0.0,0.0,0.0,0.8,1.4,0.1,0.0,0.1,1.1,0.2,5.0,0.0,0.05,2.0,0.1,0.5,0.0,2.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,4.9
SU_Dur_Fl,164.0,133.0,196.0,127.0,nan,nan,166.0,184.0,192.0,nan,nan,nan,133.0,266.0,nan,nan,nan,nan,131.0,nan,nan,nan,134.0,159.0,nan,187.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,186.0,136.0,115.0
SU_Dur_Wet,189.0,146.0,196.0,189.0,169.0,184.0,216.0,214.0,194.0,131.0,227.0,233.0,204.0,275.0,137.0,187.0,116.0,150.0,222.0,160.0,170.0,352.0,191.0,232.0,199.0,287.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,243.0,208.0,187.0
SU_No_Flow,146.0,0.0,98.0,45.0,50.0,108.0,110.0,0.0,151.0,130.0,163.0,69.0,61.0,137.0,86.0,90.0,0.0,51.0,0.0,90.0,85.0,126.0,76.0,62.0,134.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,131.0,116.0,19.0
FA_Tim,nan,346.0,314.0,19.0,315.0,nan,nan,350.0,6.0,359.0,nan,nan,nan,325.0,93.0,nan,nan,nan,nan,310.0,nan,nan,nan,322.0,338.0,nan,4.0,nan,352.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,360.0,294.0
FA_Mag,nan,52.99801285274303,8.061116303360551,77.97287332179856,48.92255863448247,nan,nan,372.9584701232067,17.96043266746028,9.725604606184023,nan,nan,nan,10.067270572665619,16.757206446838012,nan,nan,nan,nan,19.944283978391102,nan,nan,nan,11.940246752797721,28.914497932667473,nan,9.373000209871893,nan,52.912564919415146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.405494223378646,403.902820149294
FA_Tim_Wet,nan,6.0,327.0,19.0,12.0,18.0,6.0,35.0,36.0,361.0,307.0,35.0,24.0,31.0,102.0,318.0,331.0,318.0,17.0,36.0,327.0,351.0,34.0,14.0,46.0,33.0,104.0,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,52.0,1.0
FA_Dur,nan,3.0,3.0,4.0,21.0,nan,nan,2.0,15.0,2.0,nan,nan,nan,2.0,3.0,nan,nan,nan,nan,1.0,nan,nan,nan,17.0,18.0,nan,10.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,7.0
Tim_2,nan,18.0,nan,25.0,nan,26.0,14.0,50.0,47.0,nan,nan,40.0,nan,nan,nan,326.0,339.0,323.0,77.0,51.0,333.0,358.0,51.5,nan,67.0,147.0,nan,nan,86.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.0,57.0,9.0
Dur_2,nan,1.0,nan,1.0,nan,2.0,1.0,3.0,2.0,nan,nan,8.0,nan,nan,nan,4.0,2.0,4.0,4.0,1.0,2.0,3.0,1.5,nan,1.0,1.5,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,1.0,1.0
Fre_2,0.0,5.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,7.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,7.0
Tim_5,nan,25.0,nan,59.5,48.0,26.0,14.0,54.0,47.0,nan,nan,39.0,41.0,nan,109.0,364.5,92.0,364.5,38.0,50.5,358.0,358.0,103.0,77.0,67.0,147.0,137.0,nan,66.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.5,57.0,363.0
Dur_5,nan,2.0,nan,1.5,2.0,3.0,1.0,7.5,2.0,nan,nan,5.0,1.0,nan,13.0,5.5,2.0,2.5,11.0,2.5,3.5,4.0,2.0,1.0,1.0,2.0,1.0,nan,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5,1.0,5.0
Fre_5,0.0,7.0,0.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,6.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,1.0,5.0
Tim_10,nan,16.0,nan,44.0,85.5,111.0,51.0,49.5,47.0,nan,nan,39.0,41.0,92.0,107.0,363.0,48.0,54.5,28.5,59.0,16.0,358.0,67.0,67.0,84.0,61.0,130.0,nan,15.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98.5,57.0,301.0
Dur_10,nan,4.0,nan,4.0,4.0,4.0,2.0,13.5,4.0,nan,nan,29.0,1.0,1.0,18.0,18.0,6.5,6.0,60.0,6.0,5.0,6.0,17.5,2.0,1.0,2.0,20.0,nan,49.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,2.0,3.0
Fre_10,0.0,7.0,0.0,5.0,4.0,3.0,4.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,6.0,4.0,2.0,3.0,3.0,1.0,4.0,5.0,7.0,3.0,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,3.0,3.0
Tim_20,nan,363.0,355.0,59.5,24.0,107.0,41.0,26.0,42.0,26.0,352.0,39.0,40.0,92.0,100.0,320.0,21.5,59.5,27.5,41.0,42.5,7.5,29.0,38.0,41.0,156.5,76.0,nan,361.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.0,58.0,301.0
Dur_20,nan,7.0,2.0,9.0,2.0,11.0,10.0,11.0,2.0,1.0,1.5,5.0,4.0,20.0,2.0,139.0,25.0,17.5,74.5,7.0,12.0,13.5,55.0,46.0,2.0,15.0,14.5,nan,80.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.0,2.5,9.0
Fre_20,0.0,3.0,3.0,6.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,6.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,4.0,3.0
Tim_50,75.0,346.0,148.0,13.0,315.0,326.0,84.0,220.0,315.0,53.5,30.5,336.0,40.0,320.0,59.0,57.5,325.0,151.0,6.0,46.0,324.5,74.5,353.0,93.5,353.0,215.0,317.0,nan,307.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,34.0,205.0
Dur_50,2.0,10.0,4.0,2.0,242.0,214.0,76.5,4.0,6.0,15.5,77.5,208.0,4.0,5.0,18.0,100.0,14.0,18.0,7.0,115.0,101.0,69.0,21.5,9.5,90.0,9.0,2.0,nan,6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,20.0,26.0
Fre_50,5.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,5.0,3.0,5.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,3.0,3.0
