Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993
Avg,2068.2575342465752,965.0792349726776,2020.2164383561644,1236.9232876712329,3606.7671232876714,918.5846994535519,4583.230136986302,1386.5506849315068,1231.7342465753425,938.8251366120219,2214.4027397260274,2185.956164383562,1640.1342465753426,591.4699453551913,449.586301369863,3614.115068493151,1789.8,3246.96174863388,1116.3479452054794,3414.550684931507,4774.528767123287,1994.1967213114754,1376.6246575342466,3552.991780821918,823.2438356164383,855.879781420765,1004.9260273972603,769.213698630137,1130.1808219178083,757.5628415300547,2614.750684931507,260.3076923076923
Std,2840.154893418248,1077.637548055305,2062.2926780989983,1275.8322815141396,4786.492921855616,941.881141310334,5550.881409134034,1497.8770605516756,1251.1193927257978,935.0972083665562,3091.651052363694,2548.570002101705,2609.204548087152,587.5698427718781,508.56476138705904,4082.1757256703677,2129.186083093339,3605.171023381062,1417.7710200295053,3941.6019093529217,4879.860876342698,1782.487412746938,1507.2558695783232,3958.8310994414815,943.1794165359361,857.6133433836479,1158.4985476637478,809.8907846740934,1636.5741147460628,921.5822401098638,3008.952844890312,11.925309964587054
CV,1.373211433484689,1.1166311625032674,1.020827590026478,1.031456270757228,1.327086767246728,1.0253612343757093,1.2111286676047235,1.0802901594799386,1.0157380913978424,0.9960291559097801,1.3961557204116366,1.1658833985906576,1.5908481598596347,0.9934060849347619,1.131183845765523,1.1295090632995168,1.1896223505941106,1.1103213719403668,1.2700081781120176,1.154354488497507,1.0220612576354577,0.8938372998500832,1.0948923959258858,1.1142246713910722,1.145686582432398,1.0020254736710865,1.1528197261088335,1.0528813853892576,1.4480639584460067,1.2165092974314027,1.1507608974846224,0.04581236097506847
SP_Tim,175.0,158.0,193.0,142.0,186.0,154.0,157.0,155.0,171.0,165.0,165.0,162.0,161.0,139.0,165.0,164.0,152.0,188.0,162.0,175.0,190.0,149.0,164.0,158.0,140.0,147.0,145.0,164.0,167.0,135.0,182.0,nan
SP_Mag,11500.0,4320.0,5160.0,4890.0,18300.0,4800.0,21100.0,6620.0,5440.0,4180.0,12800.0,11200.0,11300.0,3410.0,3250.0,17300.0,10100.0,11500.0,5620.0,10400.0,16600.0,8580.0,4880.0,17100.0,4620.0,3590.0,3570.0,3110.0,6960.0,3840.0,11100.0,nan
SP_Dur,72.0,83.0,67.0,65.0,77.0,90.0,110.0,100.0,72.0,63.0,83.0,84.0,68.0,98.0,54.0,71.0,95.0,63.0,60.0,76.0,73.0,78.0,72.0,97.0,76.0,82.0,96.0,84.0,70.0,86.0,80.0,nan
SP_ROC,0.05982905982905983,0.05343511450381679,0.055644745140760274,0.05429864253393665,0.06038088125466766,0.05,0.05337361530715005,0.043478260869565216,0.053917497231450714,0.049673775974560005,0.05448354143019296,0.05059079469351192,0.05375211031419604,0.05668016194331984,0.04352130865260439,0.07027260179434092,0.05084745762711865,0.04878048780487805,0.04046864457663524,0.07375956333049975,0.05172413793103448,0.06060606060606061,0.043726235741444866,0.057692307692307696,0.04333694474539545,0.061606160616061605,0.04335260115606936,0.045871559633027525,0.053691275167785234,0.05649717514124294,0.04768556411626633,nan
SU_BFL_Tim,247.0,241.0,260.0,207.0,263.0,244.0,267.0,255.0,243.0,228.0,248.0,246.0,229.0,237.0,219.0,235.0,247.0,251.0,222.0,251.0,263.0,227.0,236.0,255.0,216.0,229.0,241.0,248.0,237.0,221.0,262.0,nan
SU_BFL_Mag_10,328.0,127.10000000000001,219.2,144.5,304.8,122.8,312.0,168.0,200.0,214.0,253.0,247.4,208.0,138.0,97.0,416.0,291.1,245.0,209.8,858.0,518.0,373.0,276.6,226.0,152.0,146.2,173.0,132.0,163.70000000000002,114.60000000000001,nan,nan
SU_BFL_Mag_50,412.0,602.0,545.0,739.5,465.0,515.0,552.5,534.0,292.0,501.0,685.0,384.5,302.5,214.0,187.5,646.0,534.0,334.5,539.0,2280.0,1070.0,555.5,424.0,307.0,270.0,261.0,248.5,146.0,236.0,264.0,nan,nan
SU_BFL_Dur_Fl,64.0,118.0,63.0,134.0,12.0,141.0,110.0,76.0,74.0,154.0,70.0,187.0,56.0,39.0,144.0,143.0,132.0,88.0,98.0,49.0,53.0,106.0,102.0,155.0,126.0,177.0,185.0,181.0,64.0,83.0,nan,nan
SU_BFL_Dur_Wet,222.0,228.0,188.0,286.0,193.0,225.0,196.0,197.0,189.0,251.0,209.0,248.0,236.0,231.0,244.0,231.0,222.0,208.0,230.0,249.0,195.0,230.0,177.0,207.0,222.0,203.0,200.0,215.0,220.0,224.0,nan,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FAFL_Tim,32.0,310.0,359.0,321.0,340.0,274.0,20.0,10.0,330.0,316.0,17.0,316.0,67.0,284.0,276.0,361.0,12.0,13.0,339.0,318.0,299.0,315.0,333.0,336.0,44.0,341.0,41.0,59.0,63.0,300.0,304.0,nan
FAFL_Mag,25299.468183188106,1139.709358537383,10200.061766872299,1519.925273005101,45299.25387449461,761.9998985056556,14399.606764418862,1319.9496088118399,1209.9749507455579,1359.8518955510513,1939.8059871716646,2379.805533179796,1479.9337081423448,1129.9472007567297,967.0013914648065,5179.775839404935,3579.909834388979,24800.12250974461,934.7782963756762,4399.947258926894,6759.8724720354685,2019.8618347131433,1509.9922885764406,3139.9287432026854,1599.7756421809781,667.9633596643032,734.9748035407978,582.0056801490979,8609.692966391745,588.8456555636093,1579.8154961588066,nan
FAFL_Tim_Wet,98.0,103.0,104.0,81.0,127.0,90.0,104.0,96.0,86.0,66.0,114.0,90.0,128.0,99.0,103.0,96.0,100.0,103.0,94.0,85.0,134.0,92.0,92.0,46.0,96.0,72.0,67.0,74.0,97.0,91.0,80.0,nan
FAFL_Dur,4.0,4.0,3.0,8.0,2.0,9.0,2.0,5.0,2.0,3.0,5.0,3.0,4.0,5.0,6.0,2.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,5.0,7.0,4.0,3.0,2.0,2.0,4.0,5.0,nan
Wet_BFL_Mag,829.8,332.0,999.4,510.0,828.0,1240.0,1276.0,835.0,528.0,271.2,782.0,660.0,892.4,209.8,148.0,892.5,615.9,1488.0000000000002,255.5,552.5,1340.0,876.1999999999999,488.5,641.6,368.5,280.0,529.0,682.4,897.6,205.9,253.20000000000002,nan
WIN_Tim_2,101.0,nan,nan,nan,168.0,nan,150.0,nan,nan,nan,150.0,153.0,154.0,nan,nan,149.0,nan,169.0,nan,144.0,66.5,nan,nan,106.5,nan,nan,nan,nan,nan,nan,142.5,nan
WIN_Dur_2,1.5,nan,nan,nan,5.5,nan,2.5,nan,nan,nan,3.0,1.0,1.0,nan,nan,3.0,nan,1.0,nan,2.0,24.5,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.5,nan
WIN_Fre_2,2.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,nan
WIN_Tim_5,146.0,nan,158.0,nan,138.0,nan,76.5,nan,nan,nan,131.0,146.0,152.0,nan,nan,187.5,142.5,126.0,nan,158.0,65.5,138.5,nan,119.0,nan,nan,nan,nan,63.0,nan,150.5,nan
WIN_Dur_5,2.0,nan,2.0,nan,14.0,nan,2.5,nan,nan,nan,35.0,8.0,2.5,nan,nan,4.5,5.5,4.0,nan,7.5,30.0,2.5,nan,1.0,nan,nan,nan,nan,1.0,nan,4.0,nan
WIN_Fre_5,5.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,6.0,2.0,5.0,0.0,6.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,nan
WIN_Tim_10,160.0,141.0,137.0,126.0,105.5,nan,68.5,76.0,149.0,nan,151.0,143.0,138.0,nan,nan,93.5,129.0,123.5,152.0,134.0,39.0,75.5,125.0,89.0,nan,nan,nan,nan,148.5,nan,139.0,nan
WIN_Dur_10,6.0,2.0,5.0,2.0,2.5,nan,4.0,10.5,4.0,nan,5.0,17.0,18.0,nan,nan,1.5,17.5,7.5,2.0,3.0,2.0,2.0,3.0,5.0,nan,nan,nan,nan,2.5,nan,37.0,nan
