Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
Avg,0.07397260273972603,5.870491803278688,0.4441095890410959,0.9131506849315069,0.07150684931506848,0.865846994535519,0.083013698630137,2.845479452054794,0.10164383561643836,0.02459016393442623,0.05643835616438356,0.3471232876712329,0.009863013698630138
Std,0.5220159545297793,37.295417953209444,2.9795282496949027,7.658219127850205,0.6196854509928926,12.159797044906243,1.0235242432520473,17.41172530781437,0.8470723371588809,0.08681820281721042,0.790590848692074,1.0133485511757605,0.07336329474318308
CV,7.056882348272943,6.35303126262434,6.70899328278001,8.38658860385636,8.666099218866124,14.043817350696388,12.32958246821773,6.119083128588721,8.333730540781442,3.5306069145665573,14.008041736534322,2.9192756209877864,7.438222939239394
SP_Tim,317.0,80.0,341.0,48.0,18.0,30.0,14.0,101.0,6.0,12.0,311.0,20.0,62.0
SP_Mag,8.5,184.0,30.0,63.0,11.0,219.0,19.0,171.0,12.0,1.0,15.0,11.0,1.3
SP_Dur,197.0,20.0,158.0,54.0,118.0,21.0,116.0,39.0,79.0,121.0,110.0,121.0,154.0
SP_ROC,0.5454545454545455,0.142156862745098,0.5,0.8166666666666667,1.0,0.29166666666666663,1.0,0.21502732240437156,0.9534825870646766,1.0,1.0,0.3804130579613591,1.0
SU_BFL_Tim,149.0,100.0,134.0,102.0,136.0,51.0,130.0,140.0,85.0,133.0,56.0,141.0,216.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan
SU_BFL_Mag_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan
SU_BFL_Dur_Fl,nan,nan,nan,nan,nan,nan,272.0,nan,nan,nan,331.0,nan,nan
SU_BFL_Dur_Wet,222.0,215.0,247.0,268.0,249.0,318.0,315.0,229.0,nan,171.0,331.0,nan,nan
SU_BFL_No_Flow,194.0,173.0,247.0,253.0,249.0,301.0,276.0,229.0,nan,171.0,329.0,nan,nan
FAFL_Tim,nan,nan,nan,nan,nan,nan,nan,35.0,nan,nan,nan,20.0,nan
FAFL_Mag,nan,nan,nan,nan,nan,nan,nan,39.96445248998337,nan,nan,nan,10.999345969039048,nan
FAFL_Tim_Wet,310.0,5.0,315.0,14.0,4.0,19.0,4.0,78.0,3.0,nan,304.0,20.0,nan
FAFL_Dur,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,39.0,nan
Wet_BFL_Mag,0.0,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan
WIN_Tim_2,355.5,70.0,354.0,56.5,18.0,25.0,10.0,70.5,42.0,nan,311.0,46.0,nan
WIN_Dur_2,1.0,2.0,1.5,1.5,1.0,3.0,1.0,1.5,1.0,nan,1.0,1.0,nan
WIN_Fre_2,2.0,11.0,4.0,4.0,1.0,1.0,2.0,6.0,3.0,0.0,1.0,4.0,0.0
WIN_Tim_5,29.0,16.0,364.0,56.5,10.0,25.0,10.0,65.0,39.0,nan,352.0,51.5,62.0
WIN_Dur_5,1.0,2.0,1.5,2.5,1.0,3.0,1.0,1.5,2.0,nan,1.0,2.0,1.0
WIN_Fre_5,3.0,5.0,6.0,4.0,3.0,1.0,2.0,8.0,3.0,0.0,2.0,10.0,1.0
WIN_Tim_10,60.0,3.0,363.5,64.0,16.0,110.5,27.0,45.0,39.0,14.0,337.0,32.0,62.0
WIN_Dur_10,4.0,3.5,3.5,3.5,1.0,2.0,1.0,2.5,3.0,2.0,1.0,8.0,2.0
WIN_Fre_10,7.0,6.0,10.0,6.0,13.0,4.0,9.0,8.0,3.0,7.0,3.0,7.0,3.0
WIN_Tim_20,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0,274.0
WIN_Dur_20,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
WIN_Fre_20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WIN_Tim_50,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0,274.0
WIN_Dur_50,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
WIN_Fre_50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
