Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
WIN_Fre_5,6.0,5.0,7.0,9.0,4.0,6.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,11.0,13.0,4.0,7.0,5.0,9.0,7.0,4.0,4.0,4.0,5.0
WIN_Tim_10,44.0,52.0,39.5,56.0,323.0,24.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,365.0,65.0,21.0,24.0,29.0,54.0,57.0,21.5,73.0,344.5,62.0,345.0
WIN_Dur_10,4.0,6.0,3.5,4.0,3.0,4.0,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5,4.5,8.0,4.5,6.5,4.0,3.5,5.0,5.0,5.5,3.0,6.0
WIN_Fre_10,6.0,6.0,6.0,8.0,5.0,7.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,9.0,4.0,4.0,5.0,10.0,8.0,5.0,4.0,5.0,3.0
WIN_Tim_20,69.5,350.0,13.0,28.5,350.0,354.0,29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,50.0,352.0,17.0,3.0,35.0,1.0,325.0,60.0,13.0,67.5,4.0
WIN_Dur_20,14.5,12.0,8.5,4.0,6.0,5.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,10.0,58.0,3.5,13.0,2.5,2.0,2.0,7.0,1.5,9.0,20.0
WIN_Fre_20,4.0,5.0,4.0,8.0,6.0,9.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,7.0,3.0,6.0,5.0,6.0,9.0,7.0,5.0,4.0,4.0,2.0
WIN_Tim_50,8.0,340.0,54.5,330.0,27.5,306.0,316.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,323.5,316.0,311.0,330.0,338.0,354.5,310.0,296.0,323.0,67.0,37.0,333.0
WIN_Dur_50,52.0,8.0,92.5,25.0,2.0,6.0,192.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.5,2.0,2.0,3.0,7.0,18.0,2.0,254.0,3.0,5.5,97.0,4.0
WIN_Fre_50,3.0,4.0,2.0,3.0,6.0,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,5.0,5.0,3.0,3.0,4.0,5.0,1.0,5.0,4.0,1.0,3.0
