Year,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
Avg,1.2032602739726028,30.279369863013702,12.30041095890411,28.77625683060109,7.178109589041095,38.51331506849315,49.54219178082192,16.31530054644809,8.690794520547945,27.83123287671233,4.657479452054795,4.204125683060109
Std,2.248030017516385,66.67487165352391,27.117222523063816,81.39333551032836,20.935320236687275,89.09431935043429,89.97717412593734,42.90003166330942,20.19364107625671,88.08757074864663,16.341036090044998,8.723002076073147
CV,1.868282420805302,2.201990066344391,2.204578579826555,2.82848933374036,2.916550656826064,2.3133381063662393,1.8161726579236253,2.629435574366354,2.3235667381747653,3.1650617541400234,3.5085578494255367,2.0748671028606895
SP_Tim,80.0,18.0,91.0,56.0,86.0,105.0,76.0,363.0,91.0,53.0,49.0,21.0
SP_Mag,17.0,720.0,144.0,380.0,64.0,549.0,441.0,625.0,116.0,737.0,30.0,128.0
SP_Dur,31.0,145.0,70.0,30.0,76.0,58.0,91.0,178.0,70.0,71.0,109.0,205.0
SP_ROC,0.09090909090909098,0.08166666666666667,0.07417582417582418,0.07275132275132275,0.06030303030303025,0.05798319327731093,0.07142857142857142,0.07692307692307684,0.07142857142857134,0.079002079002079,0.06400409626216076,0.0571428571428572
SU_Tim,111.0,163.0,161.0,86.0,162.0,163.0,167.0,176.0,161.0,124.0,158.0,226.0
SU_Mag_10,0.49,0.76,1.2,1.1,0.736,1.5,1.6,1.1,0.97,0.94,0.72,0.604
SU_Mag_50,0.62,1.9,1.7,1.9,1.1,3.3,2.5,1.8,1.8,1.9,0.97,0.84
SU_Dur_Fl,242.0,211.0,198.0,252.0,157.0,160.0,148.0,156.0,177.0,nan,nan,nan
SU_Dur_Wet,252.0,215.0,205.0,301.0,197.0,222.0,154.0,219.0,242.0,276.0,176.0,108.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,319.0,351.0,8.0,358.0,338.0,317.0,322.0,314.0,332.0,336.0,nan,nan
FA_Mag,8.679081424264465,135.9989708835614,59.93729404765944,319.9335568875272,47.964313946072004,140.98163869443928,176.86106523645975,85.97085095648785,99.9645555185624,97.9694965489811,nan,nan
FA_Tim_Wet,48.0,361.0,12.0,365.0,22.0,357.0,19.0,320.0,30.0,36.0,34.0,333.0
FA_Dur,5.0,4.0,6.0,2.0,6.0,6.0,2.0,3.0,4.0,5.0,nan,nan
Tim_2,nan,28.5,44.0,11.0,54.5,47.0,47.0,343.0,40.0,70.5,44.0,nan
Dur_2,nan,1.0,2.0,5.0,1.0,2.5,1.5,1.0,1.0,2.5,1.0,nan
Fre_2,0.0,6.0,1.0,3.0,2.0,6.0,10.0,3.0,1.0,4.0,1.0,0.0
Tim_5,nan,38.0,65.0,46.0,54.5,20.0,35.5,337.0,40.0,49.0,43.0,17.0
Dur_5,nan,3.0,2.0,2.0,2.0,4.0,3.5,1.0,1.0,6.0,2.0,1.0
Fre_5,0.0,11.0,4.0,5.0,2.0,9.0,8.0,7.0,3.0,4.0,1.0,1.0
Tim_10,nan,37.0,14.0,22.5,73.0,32.5,18.0,328.0,67.0,17.0,64.0,361.0
Dur_10,nan,3.0,2.0,2.5,1.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0
Fre_10,0.0,12.0,5.0,6.0,5.0,12.0,7.0,7.0,5.0,7.0,3.0,2.0
Tim_20,39.0,356.0,30.0,47.0,46.0,340.0,351.0,3.5,350.0,16.0,64.0,362.0
Dur_20,1.5,2.0,5.0,4.0,2.5,3.5,5.0,7.0,1.0,2.0,2.0,3.0
Fre_20,2.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,13.0,9.0,5.0,5.0
Tim_50,53.0,348.0,63.0,326.0,361.0,308.0,313.0,303.0,311.0,363.0,356.0,334.0
Dur_50,1.0,3.0,7.5,2.0,64.0,131.5,4.0,3.0,3.0,2.0,2.0,3.0
Fre_50,7.0,3.0,4.0,9.0,2.0,2.0,5.0,3.0,7.0,7.0,7.0,7.0
