Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,2.255191256830601,0.29917808219178077,2.218082191780822,7.328219178082192,1.3040983606557377,5.795890410958904,0.9745205479452055,8.385945205479452,1.1292896174863387,7.561726027397261,5.342931506849315,1.5507397260273972,0.4431693989071039,5.721589041095891,8.701041095890412,2.5885479452054794,0.16852459016393442,0.08553424657534246,5.09841095890411,2.147835616438356,4.476502732240437,1.4266575342465755,13.087780821917809
Std,10.601111542995262,0.3902572155824031,9.82550506318475,32.91927358768723,6.688008977099004,24.09776570303565,3.730251393010561,25.450060128513307,2.7201980879033765,23.43124556073959,19.855390514974967,2.981767564544525,1.7129003648282057,13.57761387618748,21.23263289698282,5.950427941422149,0.3615510125020057,0.13005184237020406,13.385544388288388,5.936335752360952,10.640428922737495,5.318077550010218,34.98524016384373
CV,4.700759419355786,1.3044311693001571,4.429729925966444,4.49212459230815,5.128454401043863,4.157733151315534,3.8277811595413405,3.034846937931816,2.408769234909116,3.098663648463948,3.7161978381196836,1.9228033657092536,3.8651142634224613,2.373049476057245,2.4402405026004534,2.298751295081692,2.14539024928233,1.5204651654428085,2.6254345709247366,2.7638687555637373,2.3769512852306662,3.7276483124723554,2.6731224063024297
SP_Tim,43.0,27.0,50.0,113.0,26.0,11.0,3.0,118.0,77.0,60.0,25.0,18.0,40.0,50.0,95.0,85.0,63.0,76.0,48.0,58.0,58.0,89.0,105.0
SP_Mag,128.0,3.6,102.0,54.0,82.0,136.0,43.0,51.0,23.0,110.0,266.0,15.0,22.0,75.0,150.0,36.0,4.6,1.2,47.0,39.0,27.0,11.0,156.0
SP_Dur,157.0,186.0,57.0,35.0,27.0,130.0,115.0,62.0,78.0,64.0,76.0,156.0,34.0,83.0,61.0,95.0,63.0,144.0,135.0,72.0,113.0,65.0,48.0
SP_ROC,0.16666666666666663,0.25000000000000006,0.13157894736842105,0.07317073170731704,0.09090909090909091,0.09090909090909098,0.14285714285714282,0.08114035087719296,0.07692307692307698,0.05557461406518007,0.10557275541795667,0.08333333333333323,0.13594470046082946,0.10975609756097555,0.07217261904761901,0.11111111111111108,0.22388059701492538,0.20000000000000004,0.07142857142857134,0.056179775280898875,0.07692307692307698,0.0555555555555556,0.054545454545454515
SU_BFL_Tim,200.0,213.0,107.0,148.0,53.0,141.0,118.0,180.0,155.0,124.0,101.0,174.0,74.0,133.0,156.0,180.0,126.0,220.0,183.0,130.0,171.0,154.0,153.0
SU_BFL_Mag_10,nan,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.01,0.06,0.07600000000000001,0.0,0.0,0.05,0.22,nan,nan,0.0,0.05400000000000002,0.03,0.1,0.0,0.055
SU_BFL_Mag_50,nan,0.0,0.2,0.5,0.2,0.3,0.0,0.33,0.07,0.44,0.18,0.04,0.01,0.4,0.63,nan,nan,0.0,0.18,0.18,0.26,0.06,0.58
