Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Avg,14.264383561643832,2.2622131147540983,26.78753424657534,29.091534246575343,15.604301369863013,0.6846174863387978,0.28893150684931507,34.891999999999996,12.489972602739726,27.960218579234976
Std,46.86787698534204,6.60311664850075,77.07827469226655,68.7048879787067,50.773027494431254,2.540064484599503,1.463325433413843,96.70779590113091,54.416536520147666,94.20019606824863
CV,3.2856573705271965,2.9188747096528553,2.877393416757671,2.361679772416769,3.2537840875395103,3.71019516048776,5.064610119439149,2.771632348421728,4.3568179251418995,3.3690793868903315
SP_Tim,343.0,40.0,21.0,93.0,85.0,66.0,3.0,20.0,56.0,56.0
SP_Mag,160.0,61.0,771.0,392.0,320.0,30.0,21.0,1010.0,156.0,486.0
SP_Dur,151.0,45.0,98.0,54.0,46.0,68.0,168.0,114.0,48.0,32.0
SP_ROC,0.09449404761904762,0.12121212121212119,0.12903225806451613,0.07142857142857154,0.11451048951048953,0.1403940886699507,0.29289215686274506,0.13043478260869568,0.13402061855670094,0.14901960784313728
SU_Tim,129.0,85.0,119.0,147.0,131.0,134.0,171.0,134.0,104.0,88.0
SU_Mag_10,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.02,0.02,0.05
SU_Mag_50,0.02,0.15,0.1,0.15,0.21,0.02,0.0,0.16,0.22,0.48
SU_Dur_Fl,231.0,234.0,nan,251.0,153.0,185.0,156.0,nan,255.0,271.0
SU_Dur_Wet,232.0,282.0,194.0,252.0,289.0,226.0,180.0,237.0,260.0,276.0
SU_No_Flow,42.0,80.0,22.0,0.0,0.0,83.0,135.0,0.0,5.0,0.0
FA_Tim,nan,359.0,319.0,nan,32.0,283.0,319.0,325.0,nan,358.0
FA_Mag,nan,17.96976211526173,253.98102731355365,nan,63.9906890420779,11.95052846807171,3.320890080759846,661.9239841460328,nan,295.9990075709427
FA_Tim_Wet,329.0,360.0,2.0,311.0,33.0,54.0,360.0,349.0,5.0,363.0
FA_Dur,nan,2.0,2.0,nan,2.0,3.0,5.0,1.0,nan,2.0
Tim_2,334.0,nan,25.0,16.0,63.5,nan,nan,23.0,32.5,29.0
Dur_2,2.0,nan,2.0,2.0,2.0,nan,nan,1.0,1.0,3.0
Fre_2,2.0,0.0,6.0,5.0,4.0,0.0,0.0,10.0,4.0,4.0
Tim_5,352.0,nan,31.0,363.0,50.0,nan,nan,8.5,47.0,47.0
Dur_5,1.0,nan,1.0,2.0,1.0,nan,nan,2.0,2.0,3.0
Fre_5,7.0,0.0,11.0,11.0,7.0,0.0,0.0,10.0,7.0,7.0
Tim_10,34.5,31.5,33.0,3.0,50.0,nan,nan,63.5,48.0,22.5
Dur_10,3.5,1.5,10.0,4.0,5.0,nan,nan,2.5,4.5,3.5
Fre_10,6.0,2.0,6.0,14.0,7.0,0.0,0.0,10.0,4.0,6.0
Tim_20,71.0,41.5,334.5,46.5,48.0,18.5,39.5,336.5,44.0,19.0
Dur_20,5.0,4.0,5.0,35.0,2.5,1.0,1.0,70.5,2.0,3.0
Fre_20,5.0,4.0,6.0,4.0,6.0,4.0,2.0,2.0,7.0,8.0
Tim_50,311.5,55.5,287.0,103.0,361.0,361.5,69.0,325.0,352.5,307.0
Dur_50,9.0,1.5,5.0,4.0,2.0,3.0,2.0,2.0,3.5,4.0
Fre_50,4.0,6.0,5.0,4.0,13.0,20.0,15.0,5.0,8.0,5.0
