Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,390.9235616438356,485.59619178082187,342.04371584699453,299.69282191780826,589.9414520547946,282.1914794520548,228.52942622950818,239.56071232876712,351.7242191780822,411.5756164383562,353.72819672131146,226.06353424657536,173.59695890410958,248.0478630136986
Std,786.1600066446961,957.4017722514175,712.0891663032941,470.47233731147725,1036.6562097173598,562.795093792328,517.0781478728281,473.4622130651911,522.5241719117514,654.0564833415065,863.2116692200253,554.9152292430487,467.7639979988866,554.1082057522777
CV,2.0110325490202974,1.9716006600882678,2.0818659525434198,1.569848534578869,1.7572187987581416,1.9943730933518444,2.2626326788810798,1.9763767124528475,1.4856075965789297,1.5891526543809913,2.4403247386583544,2.45468704668566,2.694540278538331,2.233876152046014
SP_Tim,10.0,1.0,53.0,176.0,4.0,57.0,35.0,80.0,121.0,83.0,94.0,361.0,92.0,42.0
SP_Mag,6820.0,6980.0,3450.0,1170.0,5580.0,3330.0,4150.0,3150.0,1950.0,3200.0,9700.0,4000.0,4210.0,3710.0
SP_Dur,114.0,157.0,106.0,47.0,128.0,39.0,68.0,97.0,76.0,50.0,56.0,140.0,54.0,30.0
SP_ROC,0.09268804887361588,0.09602897102897104,0.06582886857863221,0.04601941583084842,0.1145475372279496,0.07633409900462731,0.058333333333333334,0.060240963855421686,0.07049576035155042,0.06868131868131869,0.08273504273504273,0.05536928824600057,0.06954396405149374,0.06666666666666667
SU_Tim,124.0,158.0,159.0,223.0,132.0,96.0,103.0,177.0,197.0,133.0,150.0,136.0,146.0,72.0
SU_Mag_10,4.404,5.382,4.852,10.5,6.523999999999999,6.7,4.294,6.289,11.149999999999999,10.8,6.388,9.206,5.2459999999999996,5.23
SU_Mag_50,12.0,13.2,16.25,21.4,16.3,29.7,22.9,14.3,139.5,36.5,15.2,15.25,14.4,21.2
SU_Dur_Fl,nan,183.0,nan,112.0,186.0,197.0,257.0,175.0,101.0,nan,175.0,271.0,151.0,225.0
SU_Dur_Wet,223.0,183.0,182.0,119.0,195.0,251.0,305.0,184.0,216.0,251.0,179.0,272.0,183.0,257.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,320.0,nan,340.0,nan,333.0,317.0,292.0,360.0,350.0,297.0,nan,325.0,40.0,296.0
FA_Mag,699.980537273002,nan,1759.9411174311529,nan,1009.8775893437421,998.9725063083376,1329.905303108982,1269.9941865761978,1089.995696321512,2029.8246991434632,nan,1289.969103169938,1120.0372052676694,551.9530116211192
FA_Tim_Wet,327.0,346.0,340.0,341.0,340.0,326.0,346.0,43.0,359.0,47.0,18.0,329.0,41.0,328.0
FA_Dur,7.0,nan,2.0,nan,2.0,3.0,5.0,2.0,2.0,3.0,nan,4.0,4.0,4.0
Tim_2,361.0,361.0,23.0,74.0,361.0,23.5,17.5,90.5,22.0,78.5,76.0,340.0,62.0,345.0
Dur_2,1.0,3.0,2.0,1.0,2.0,2.0,2.5,1.0,2.5,2.5,3.0,1.0,1.0,1.0
Fre_2,6.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0
Tim_5,360.5,43.0,1.0,89.0,45.0,3.0,10.0,55.0,57.0,360.0,81.5,345.5,62.0,364.0
Dur_5,2.5,3.5,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,4.5,6.0,3.0,1.5
Fre_5,8.0,6.0,7.0,7.0,12.0,5.0,4.0,5.0,7.0,9.0,4.0,2.0,3.0,6.0
Tim_10,10.5,64.5,27.0,81.0,59.0,360.0,8.5,53.5,48.0,348.0,73.0,352.0,62.0,350.0
Dur_10,8.0,2.5,4.0,3.0,6.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,6.0
Fre_10,6.0,8.0,9.0,9.0,11.0,7.0,6.0,8.0,12.0,9.0,5.0,5.0,5.0,5.0
Tim_20,26.0,87.5,47.0,52.0,333.0,344.0,363.0,59.0,55.0,354.5,41.0,66.0,66.0,357.5
Dur_20,4.0,12.5,16.0,4.0,3.0,10.0,4.0,11.0,4.0,3.5,6.0,2.0,8.0,2.5
Fre_20,11.0,6.0,5.0,9.0,7.0,7.0,7.0,6.0,11.0,8.0,7.0,7.0,4.0,8.0
Tim_50,316.0,327.5,319.0,319.0,307.0,312.0,323.0,354.0,335.5,55.5,364.0,67.5,38.0,313.5
Dur_50,2.0,94.0,4.0,2.0,13.0,3.0,5.0,36.0,1.0,122.0,2.0,1.5,3.0,5.5
Fre_50,3.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,6.0,2.0,7.0,6.0,5.0,8.0
