Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972
Avg,138.23890410958904,202.37459016393444,40.34493150684932,36.04821917808219,23.763835616438353,218.29781420765028,26.51150684931507,190.2227397260274,21.60246575342466,23.764754098360655,7.738630136986302,94.9317808219178,98.26712328767124,24.19426229508197,138.1068493150685,48.821917808219176,208.78690410958905,18.556994535519124,332.653698630137,77.80156164383561,34.262307692307694,13.138688524590165,nan
Std,506.9675351189191,455.23278004387095,89.02282950423736,88.07925744872674,40.5236255335568,1097.5236962205938,57.928040189489906,578.5162622624216,79.36453208344498,86.54312667173436,11.784948063661602,398.5114495573942,337.3803612017173,36.69983911575714,331.4880810389645,118.99429829390564,429.3575498831345,25.29336173381831,822.1765366666847,267.7910297054626,48.03804856059123,32.33144262839253,nan
CV,3.667328950445238,2.24945621718175,2.206543081852154,2.443373333190343,1.7052645114884175,5.0276440018616135,2.1850150019287375,3.041257123599643,3.6738645018272162,3.6416588328050192,1.5228726344390302,4.197871841306343,3.433298441168936,1.5168819230011081,2.4002291174040753,2.4373130683095154,2.0564390842146465,1.3630096018730513,2.4715689019914566,3.441974994427124,1.402066929991886,2.460781574042303,nan
SP_Tim,342.0,83.0,19.0,122.0,132.0,365.0,146.0,97.0,52.0,45.0,90.0,50.0,115.0,97.0,109.0,6.0,113.0,82.0,61.0,68.0,1.0,43.0,nan
SP_Mag,4240.0,2550.0,1090.0,428.0,236.0,2520.0,243.0,7250.0,648.0,1100.0,51.0,2320.0,1010.0,184.0,674.0,346.0,2380.0,98.0,4160.0,1180.0,229.0,92.0,nan
SP_Dur,177.0,84.0,172.0,62.0,56.0,175.0,47.0,58.0,104.0,124.0,88.0,76.0,78.0,95.0,68.0,144.0,79.0,99.0,92.0,82.0,187.0,114.0,nan
SP_ROC,0.0665086887835703,0.05172413793103448,0.06666666666666667,0.09009740259740263,0.09032634032634035,0.05736724008975318,0.1094017094017094,0.0625,0.0625,0.10256410256410255,0.10757663389242336,0.05426356589147287,0.07407407407407407,0.08333333333333333,0.05657142857142857,0.05,0.056818181818181816,0.08012820512820512,0.05202312138728324,0.045454545454545456,0.0625,0.06896551724137931,nan
SU_Tim,154.0,167.0,191.0,184.0,188.0,175.0,193.0,155.0,156.0,169.0,178.0,126.0,193.0,192.0,177.0,150.0,192.0,181.0,153.0,150.0,188.0,157.0,nan
SU_Mag_10,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.477,0.0,1.7,0.0,0.0,nan,nan
SU_Mag_50,0.0,3.6500000000000004,0.0,0.0,0.0,6.2,0.8999999999999999,5.4,0.7,0.0,0.0,3.2,1.3,0.0,1.6,0.0,3.9,0.0,12.0,0.1,0.0,nan,nan
SU_Dur_Fl,186.0,176.0,201.0,155.0,nan,nan,208.0,222.0,nan,150.0,nan,272.0,119.0,125.0,146.0,188.0,133.0,nan,nan,182.0,nan,nan,nan
SU_Dur_Wet,212.0,182.0,203.0,165.0,163.0,235.0,238.0,246.0,239.0,153.0,224.0,323.0,122.0,163.0,147.0,286.0,148.0,198.0,221.0,184.0,161.0,nan,nan
SU_No_Flow,113.0,0.0,127.0,132.0,137.0,46.0,110.0,6.0,87.0,137.0,159.0,123.0,26.0,114.0,11.0,145.0,0.0,127.0,0.0,66.0,105.0,nan,nan
FA_Tim,nan,339.0,343.0,25.0,338.0,nan,nan,34.0,11.0,nan,319.0,nan,32.0,311.0,317.0,321.0,337.0,324.0,nan,nan,331.0,nan,nan
FA_Mag,nan,975.9280617796478,317.93039828084807,621.8621013605633,61.982254012952716,nan,nan,1169.9692914643874,112.98123721379939,nan,34.965005017634816,nan,4189.981505161849,48.976429982449865,454.98315513657064,467.77617011037154,493.02210480809015,26.993158697123416,nan,nan,64.00721496587965,nan,nan
FA_Tim_Wet,317.0,365.0,349.0,27.0,348.0,350.0,45.0,64.0,35.0,29.0,322.0,35.0,83.0,314.0,355.0,322.0,70.0,339.0,14.0,7.0,333.0,348.0,nan
FA_Dur,nan,2.0,3.0,3.0,9.0,nan,nan,5.0,2.0,nan,4.0,nan,4.0,7.0,3.0,12.0,2.0,5.0,nan,nan,4.0,nan,nan
Tim_2,360.5,15.0,8.0,45.0,nan,16.0,nan,74.0,44.5,40.0,nan,45.0,104.5,nan,49.0,364.0,86.0,nan,58.5,60.0,nan,nan,nan
Dur_2,1.5,2.0,1.0,1.0,nan,6.0,nan,3.0,1.0,2.0,nan,4.0,1.0,nan,2.0,2.0,2.0,nan,2.0,2.0,nan,nan,nan
Fre_2,4.0,5.0,2.0,1.0,0.0,3.0,0.0,5.0,2.0,1.0,0.0,3.0,6.0,0.0,4.0,1.0,8.0,0.0,10.0,3.0,0.0,0.0,nan
Tim_5,12.0,51.5,8.0,80.0,2.0,23.0,98.5,54.0,44.5,40.0,nan,52.5,95.5,324.0,4.0,328.0,48.0,nan,64.5,37.5,nan,nan,nan
Dur_5,2.0,2.0,1.5,1.0,1.0,3.0,1.0,2.5,1.5,1.0,nan,7.5,2.5,1.0,9.0,2.0,4.0,nan,2.0,5.5,nan,nan,nan
Fre_5,9.0,10.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,3.0,0.0,2.0,6.0,1.0,5.0,3.0,6.0,0.0,4.0,2.0,0.0,0.0,nan
Tim_10,38.5,34.0,8.0,76.0,112.0,114.5,70.0,50.0,44.5,79.5,nan,61.0,90.0,22.0,73.0,363.0,25.5,49.0,7.5,38.0,351.0,362.0,nan
Dur_10,6.0,3.0,1.0,2.0,1.0,4.0,2.0,2.5,3.5,1.5,nan,15.0,3.5,1.0,2.0,2.0,3.5,1.0,3.0,2.5,1.0,1.0,nan
Fre_10,8.0,6.0,7.0,7.0,3.0,6.0,3.0,8.0,2.0,4.0,0.0,3.0,8.0,3.0,7.0,5.0,6.0,1.0,4.0,6.0,5.0,3.0,nan
Tim_20,10.0,349.5,365.0,69.0,112.0,353.0,108.0,37.5,42.0,73.0,337.0,40.0,41.0,22.0,358.0,363.0,46.0,69.0,79.0,57.0,29.0,360.0,nan
Dur_20,8.0,77.0,3.0,4.0,3.0,44.0,6.0,11.5,1.0,4.0,1.0,64.0,12.0,3.0,4.0,7.0,21.5,1.0,4.5,16.5,3.5,3.0,nan
Fre_20,5.0,2.0,5.0,5.0,7.0,3.0,4.0,4.0,3.0,5.0,1.0,1.0,3.0,7.0,5.0,5.0,4.0,5.0,4.0,4.0,6.0,3.0,nan
Tim_50,320.0,329.5,329.0,66.5,352.0,340.0,341.0,2.0,115.0,17.5,43.0,20.0,7.5,319.0,315.0,318.0,329.5,45.5,320.0,304.0,330.0,347.0,nan
Dur_50,206.0,118.0,8.0,6.5,86.0,10.0,4.0,15.0,17.0,66.5,4.5,8.0,83.0,6.0,239.0,187.0,122.0,91.0,4.0,7.0,200.0,3.5,nan
Fre_50,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,4.0,nan
