Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993
Avg,471.6093150684931,597.9989071038251,473.0134246575343,471.56,236.9660273972603,640.1387978142076,307.2139726027397,773.8112328767122,246.60821917808218,308.8650273224044,374.1978082191781,367.5293150684931,424.1657534246575,190.13879781420766,499.38904109589043,323.92630136986304,495.9101369863014,269.5715846994535,552.5197260273973,562.9595068493151,453.5484109589041,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.068595041322314,84.46278592375366,179.44078549848942,84.32334630350195
Std,1100.1355260576088,1467.65978186341,1264.9986063603988,1539.4035031185613,602.3589230813512,2162.1737756331504,728.1104107880323,1695.199392582934,974.289736568009,1254.8143406228066,995.1281997926667,1386.2072251303703,1119.4539006482078,597.264248135854,1429.9965209423763,948.8946492146734,1297.219184627538,680.6312685500791,1565.365575558991,1867.8614395349764,1421.4528367510518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.018281175858464,149.1069710607953,226.98013514499547,138.83372749713155
CV,2.332726455790707,2.4542850570939145,2.6743397553172374,3.264491269655105,2.5419632075425316,3.3776640050814337,2.3700432783685796,2.1907143765293755,3.950759385941022,4.062662424104709,2.659364052741304,3.771691585668576,2.6391897309244956,3.141201348708774,2.8634919937456034,2.929353514061255,2.6158351843962637,2.524862808922972,2.8331397085384253,3.3179321368755903,3.1340708122993495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9900734098791361,1.7653570081786945,1.2649305703518905,1.646444710548279
SP_Tim,40.0,28.0,24.0,98.0,120.0,362.0,69.0,59.0,52.0,71.0,83.0,50.0,108.0,26.0,10.0,8.0,32.0,55.0,25.0,25.0,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.0,112.0,nan
SP_Mag,5180.0,7160.0,5280.0,6290.0,1360.0,2950.0,2680.0,15800.0,5520.0,6600.0,2070.0,5400.0,4510.0,2850.0,10800.0,11200.0,6400.0,4210.0,8200.0,17500.0,14700.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,920.0,1000.0,nan
SP_Dur,123.0,84.0,130.0,42.0,41.0,91.0,111.0,67.0,24.0,41.0,45.0,57.0,45.0,30.0,130.0,115.0,110.0,82.0,62.0,20.0,113.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.0,100.0,nan
SP_ROC,0.08,0.1,0.076,0.09455045556128588,0.05755693581780538,0.07692307692307693,0.10887132191480017,0.08,0.07462686567164178,0.10319945882293989,0.09032634032634032,0.09375,0.07207207207207207,0.07534246575342465,0.09481566820276498,0.08275862068965517,0.10990338164251207,0.07332469278033794,0.15397849462365593,0.16052855924978687,0.0918485711272804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07009498853586636,0.050423728813559325,nan
SU_BFL_Tim,163.0,112.0,154.0,140.0,161.0,88.0,180.0,126.0,76.0,112.0,128.0,107.0,153.0,56.0,140.0,123.0,142.0,137.0,87.0,45.0,133.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,159.0,212.0,nan
SU_BFL_Mag_10,1.9,3.5,6.5,7.0,3.2,4.7,6.7,4.8,2.6,5.6,4.0,5.2,6.699999999999999,3.0300000000000002,6.3,1.0,5.9,5.4,4.3,1.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6,nan,nan
SU_BFL_Mag_50,9.4,9.1,17.5,14.0,7.4,15.0,95.0,12.0,9.9,21.0,8.8,29.0,28.0,22.0,14.0,13.0,14.0,15.0,14.0,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.4,nan,nan
SU_BFL_Dur_Fl,nan,224.0,166.0,nan,180.0,290.0,104.0,nan,nan,224.0,203.0,179.0,156.0,259.0,180.0,198.0,196.0,208.0,261.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,179.0,nan,nan
SU_BFL_Dur_Wet,168.0,226.0,222.0,176.0,185.0,294.0,209.0,243.0,313.0,279.0,271.0,285.0,224.0,294.0,219.0,258.0,199.0,214.0,268.0,284.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,184.0,nan,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan
FAFL_Tim,nan,nan,336.0,318.0,nan,340.0,13.0,282.0,nan,nan,336.0,329.0,285.0,308.0,315.0,318.0,320.0,337.0,345.0,346.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,299.0,338.0,nan
FAFL_Mag,nan,nan,2389.9119695854392,2519.916917479023,nan,5469.888754385684,3109.9234204081554,3739.9302790660963,nan,nan,6999.900271853104,3709.911804735265,6029.8201688463905,883.9592668937174,2529.980279414993,2649.988668333052,2289.97847379251,1629.9357378972634,3609.9134513551244,4789.9554203207135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.9517440067866,264.93585091805176,nan
FAFL_Tim_Wet,329.0,330.0,338.0,9.0,315.0,345.0,17.0,22.0,3.0,23.0,26.0,32.0,26.0,11.0,350.0,357.0,15.0,340.0,351.0,353.0,328.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,365.0,343.0,nan
FAFL_Dur,nan,nan,4.0,5.0,nan,2.0,2.0,6.0,nan,nan,2.0,3.0,5.0,3.0,3.0,3.0,6.0,7.0,3.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,2.0,nan
Wet_BFL_Mag,214.0,241.6,299.8,128.8,55.0,81.0,74.5,101.0,96.2,86.30000000000001,98.4,7.35,32.0,90.0,102.3,62.2,84.19999999999999,54.60000000000001,220.39999999999998,313.5,381.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.040000000000001,154.8,nan
WIN_Tim_2,21.0,14.0,8.0,23.0,32.5,7.0,58.0,43.0,12.0,65.0,37.5,40.0,63.0,20.0,1.0,4.0,20.0,29.0,31.0,12.5,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WIN_Dur_2,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.5,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
