Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,0.9679452054794523,7.9838356164383555,0.5930327868852459,14.956164383561644,4.028794520547946,2.4696164383561645,0.2692622950819672,12.036493150684933,3.989835616438356,4.244465753424658,0.14603825136612023,0.02967123287671233,11.192794520547945,3.087150684931507,15.453606557377048,1.391095890410959,12.15304109589041,47.73282191780822,5.439344262295082,1.2804931506849315,16.24342465753425,1.1064109589041096,0.5612295081967213,0.11627397260273972,0.876027397260274,2.3794520547945206,2.6322950819672135,18.040904109589043,1.0663013698630137,21.903945205479452,14.168032786885243,17.68523287671233,39.71347945205479,3.806465753424658,4.877295081967212,2.1177534246575345,1.354082191780822,3.8156712328767117,1.8081420765027325,9.25095890410959,6.088739726027397,0.4607945205479451,4.834644808743169,1.0699999999999998,7.193945205479452,9.281890410958903,0.45357923497267755,1.6425753424657534,0.16723287671232875,2.059123287671233
Std,2.1908870780527194,23.6884004114919,1.7923254223745329,43.060585080556294,10.024078582270374,5.781631079122244,0.5740768327408925,29.419146040111453,7.141915976024535,10.562643377750643,0.33555579644211786,0.26361117354218544,30.849646935196375,7.96380033131294,66.78671804082661,2.9250913399361416,40.23225691197535,100.5844260446005,18.777626688452468,2.7970323369222427,67.20570137709143,3.4022484098124997,2.9829492441588115,0.2682941168907567,7.615607898945577,14.70132321790424,17.827588820362088,51.33725908553614,2.2417534152822496,86.05363744859356,35.46944017452216,62.419099805766244,127.91972389050166,6.568880211659255,21.300930046021346,10.172655417371143,4.144461502285845,15.986641903288099,9.370623369897544,23.428719559045334,16.396819439354022,0.8867565488657396,19.8482692328703,4.168478517479121,25.036020457048775,26.93345325236961,0.8743341122801298,13.26319131199464,1.7991525441927614,9.608341113709633
CV,2.263441221311187,2.9670451083334632,3.0223040985444785,2.8791195373517215,2.4881086715008305,2.3411048733424513,2.1320357258565874,2.4441625705936922,1.790027625849903,2.488568406807888,2.2977253788178698,8.884402432400524,2.75620595719523,2.579660387225196,4.321756076347421,2.102724449190924,3.310468268356306,2.1072382064022563,3.452185738383365,2.1843399438928035,4.137409616137762,3.0750313727752636,5.315025672372936,2.307430552901183,8.693344435074701,6.1784490207657425,6.7726407052505895,2.8456034561066996,2.102363814434792,3.9286821000203442,2.5034837728039947,3.5294474345293385,3.2210656345268442,1.725716356635881,4.3673654531949735,4.803512674765798,3.0607163490092533,4.189732533962431,5.182459659376984,2.532572007063776,2.69297427335626,1.924407755134045,4.105424497157657,3.8957743154010487,3.480151675047434,2.901720668945836,1.9276325829439644,8.074631932611743,10.758366294730635,4.666229152590564
SP_Tim,41.0,82.0,38.0,60.0,68.0,360.0,28.0,49.0,13.0,85.0,63.0,276.0,68.0,58.0,56.0,91.0,105.0,76.0,363.0,92.0,54.0,69.0,23.0,63.0,152.0,89.0,50.0,62.0,55.0,86.0,69.0,31.0,54.0,106.0,58.0,69.0,7.0,2.0,62.0,58.0,101.0,62.0,33.0,68.0,67.0,88.0,105.0,365.0,59.0,355.0
SP_Mag,5.2,29.0,4.1,399.0,50.0,34.0,4.2,162.0,40.0,46.0,3.3,5.0,254.0,77.0,457.0,6.3,263.0,307.0,317.0,39.0,775.0,25.0,13.0,1.2,98.0,100.0,201.0,152.0,29.0,466.0,102.0,464.0,306.0,34.0,214.0,175.0,50.8,67.2,52.4,127.0,40.3,8.62,65.6,39.5,33.3,262.0,11.3,32.3,25.3,74.1
SP_Dur,75.0,105.0,95.0,82.0,83.0,176.0,107.0,111.0,151.0,89.0,102.0,246.0,94.0,108.0,58.0,66.0,67.0,116.0,126.0,77.0,90.0,59.0,144.0,120.0,23.0,42.0,31.0,117.0,112.0,74.0,60.0,61.0,61.0,89.0,89.0,28.0,137.0,29.0,57.0,92.0,85.0,90.0,74.0,76.0,83.0,91.0,69.0,24.0,24.0,93.0
SP_ROC,0.16025641025641021,0.11111111111111108,0.14705882352941177,0.06299603174603169,0.1066856330014225,0.14285714285714285,0.2426470588235294,0.08333333333333341,0.08831168831168829,0.09090909090909094,0.10714285714285723,0.20000000000000004,0.07275132275132279,0.06976744186046507,0.07692307692307693,0.1111111111111111,0.0625,0.057189542483660094,0.06666666666666672,0.11764705882352938,0.07142857142857142,0.08333333333333323,0.1538461538461538,0.15587044534412958,0.5,0.10909090909090903,0.17647058823529416,0.06282894736842104,0.11999999999999993,0.058823529411764705,0.07407407407407407,0.05999999999999996,0.05555555555555555,0.08333333333333323,0.08333333333333333,0.054545454545454515,0.06310679611650491,0.061093247588424424,0.07604562737642576,0.06952380952380957,0.06312292358803985,0.10358699296010729,0.044186046511627795,0.0975585598969941,0.06549118387909325,0.07315558103975535,0.14285714285714296,0.057457657985794934,0.7672672672672672,0.06795556196797
SU_BFL_Tim,116.0,187.0,133.0,142.0,151.0,171.0,135.0,160.0,164.0,174.0,165.0,157.0,162.0,166.0,114.0,157.0,172.0,192.0,124.0,169.0,144.0,128.0,167.0,183.0,175.0,131.0,81.0,179.0,167.0,160.0,129.0,92.0,115.0,195.0,147.0,97.0,144.0,31.0,119.0,150.0,186.0,152.0,107.0,144.0,150.0,179.0,174.0,24.0,83.0,83.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU_BFL_Mag_50,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.1,0.0,0.27,2.1,0.0,0.0,0.17,0.0,nan,0.0,0.0,0.0,0.0,0.235,0.0,0.83,0.37,0.605,3.1,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
