Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,909.1115068493151,970.4098360655738,535.341095890411,1218.9849315068493,933.6019178082192,599.0928961748634,130.3419178082192,859.3205479452055,410.8191780821918,810.733606557377,365.49041095890414,66.90714285714286
Std,1592.0573125324793,2412.5950149893247,780.6976950289123,1728.3891457172526,2000.3740768718683,949.1720073659053,196.03216152582308,1323.0473992025704,787.7453348061882,1335.4299447623102,589.0210814573626,101.20074085193048
CV,1.7512233653823526,2.4861609243069314,1.45831825918466,1.4178921338926667,2.142641353573982,1.584348626776006,1.5039840200468613,1.5396436200277321,1.917498930998264,1.6471871080230094,1.6115910672239013,1.5125551104163837
SP_Tim,89.0,66.0,86.0,95.0,88.0,63.0,89.0,21.0,131.0,78.0,91.0,nan
SP_Mag,6720.0,22300.0,1850.0,11700.0,9500.0,7570.0,990.0,6000.0,3260.0,9020.0,2390.0,nan
SP_Dur,69.0,81.0,76.0,54.0,75.0,83.0,121.0,141.0,54.0,95.0,111.0,nan
SP_ROC,0.07238095238095238,0.08462640248269276,0.051470588235294115,0.05649717514124294,0.0578747235942053,0.06037414965986394,0.04669331395348837,0.08395755595715478,0.05227272727272727,0.057777777777777775,0.05594679186228482,nan
SU_Tim,158.0,147.0,162.0,149.0,163.0,146.0,210.0,162.0,185.0,173.0,202.0,nan
SU_Mag_10,26.0,15.700000000000003,11.0,4.78,14.0,15.0,12.0,17.0,16.0,12.0,nan,nan
SU_Mag_50,59.0,37.5,35.0,28.0,32.5,30.0,24.0,35.0,21.0,20.0,nan,nan
SU_Dur_Fl,nan,177.0,136.0,200.0,136.0,174.0,101.0,nan,109.0,nan,nan,nan
SU_Dur_Wet,173.0,198.0,143.0,209.0,144.0,274.0,111.0,213.0,120.0,160.0,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,313.0,nan,324.0,296.0,348.0,298.0,320.0,309.0,nan,293.0,nan,nan
FA_Mag,2609.7887705704197,nan,801.9485131139377,6419.843240313361,3089.979840833541,2999.8446646004304,270.999438087698,1859.9645287994717,nan,1069.9940515278404,nan,nan
FA_Tim_Wet,320.0,330.0,345.0,303.0,357.0,306.0,55.0,319.0,9.0,304.0,333.0,nan
FA_Dur,2.0,nan,2.0,5.0,4.0,4.0,7.0,2.0,nan,3.0,nan,nan
Tim_2,16.0,21.0,352.0,333.0,50.0,15.5,nan,348.0,27.5,12.0,nan,nan
Dur_2,3.0,4.0,1.0,1.0,3.0,2.5,nan,2.0,1.0,2.0,nan,nan
Fre_2,5.0,3.0,1.0,9.0,5.0,2.0,0.0,3.0,2.0,3.0,0.0,nan
Tim_5,15.0,346.0,4.5,351.0,40.0,339.0,nan,9.0,85.5,12.0,29.0,nan
Dur_5,3.0,2.0,2.5,3.0,7.0,1.0,nan,2.0,1.5,3.0,1.0,nan
Fre_5,7.0,7.0,4.0,13.0,5.0,5.0,0.0,7.0,4.0,5.0,3.0,nan
Tim_10,11.0,339.0,30.0,45.5,48.5,10.0,nan,5.0,85.0,358.0,38.5,nan
Dur_10,2.0,5.0,3.0,5.0,4.0,3.0,nan,3.0,3.5,4.0,1.5,nan
Fre_10,11.0,7.0,8.0,10.0,8.0,8.0,0.0,11.0,4.0,9.0,6.0,nan
Tim_20,10.0,50.5,41.0,31.5,4.0,14.0,69.0,33.0,101.0,4.5,56.0,nan
Dur_20,6.0,5.0,7.0,14.0,4.0,5.0,2.0,10.0,6.0,4.5,3.0,nan
Fre_20,11.0,8.0,9.0,6.0,7.0,10.0,1.0,7.0,5.0,14.0,9.0,nan
Tim_50,324.0,54.5,335.5,294.0,337.0,298.0,53.0,95.0,356.5,42.0,335.0,nan
Dur_50,3.0,98.0,4.5,212.0,6.0,92.0,3.0,11.5,2.5,115.0,12.0,nan
Fre_50,5.0,2.0,8.0,1.0,3.0,3.0,7.0,4.0,4.0,2.0,5.0,nan
