Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975
Avg,611.9207650273224,224.95890410958904,256.77260273972604,198.32000000000002,646.036612021858,241.18904109589042,542.254794520548,171.62465753424658,161.0928961748634,114.32191780821918,343.10712328767124,383.54246575342466,169.43360655737703,478.48876712328763,250.39534246575343,653.3405479452055,144.33579234972677,814.7005479452055,296.00191780821916,276.86602739726027,212.08169398907103,390.9808219178082,403.22739726027396,420.3424657534247,15.285714285714286
Std,760.9072394550814,261.06725309753983,378.65319415154937,293.7085193982689,1724.0136156079616,345.879177400656,691.0911707673808,247.49661095276014,239.5470153696065,150.92739871869935,503.24124131767803,835.8018323688818,215.9890253273442,705.0321780355868,314.07709018813694,877.2721551130446,170.95481124963845,1097.4421722711186,360.2759946936326,312.5070589832419,258.04391388965377,533.3135931825637,459.36146308755383,634.9042688960386,0.4517539514526256
CV,1.2434734739245312,1.1605108681110954,1.47466353540594,1.4809828529561762,2.668600484131124,1.4340584291437335,1.274476828514594,1.442080727260148,1.4870116625725234,1.3201965258480681,1.4667175560087267,2.1791637354342135,1.2747708658034238,1.4734560693541376,1.2543248093006891,1.3427486750548658,1.1844242406305816,1.3470497534818517,1.217140744767258,1.1287302451695969,1.2167194114497748,1.3640402886427936,1.139211934031969,1.5104452217503932,0.02955399682400354
SP_Tim,152.0,171.0,143.0,162.0,152.0,158.0,173.0,136.0,137.0,144.0,164.0,171.0,151.0,161.0,129.0,176.0,146.0,157.0,148.0,164.0,164.0,156.0,151.0,156.0,nan
SP_Mag,3080.0,825.0,1470.0,1240.0,2090.0,1460.0,1920.0,846.0,1130.0,514.0,1230.0,1250.0,1050.0,1820.0,1060.0,2610.0,518.0,3370.0,1240.0,1180.0,1040.0,2100.0,1920.0,3090.0,nan
SP_Dur,82.0,53.0,61.0,49.0,47.0,53.0,58.0,61.0,59.0,60.0,55.0,50.0,61.0,60.0,70.0,53.0,59.0,71.0,64.0,54.0,39.0,51.0,67.0,63.0,nan
SP_ROC,0.07041991824600521,0.07720953326713009,0.06666666666666667,0.06504494976203068,0.06451612903225806,0.06142960812772134,0.07692307692307693,0.07079707622694048,0.0784580498866213,0.09375,0.07878787878787878,0.050193548387096776,0.06559139784946236,0.08487654320987653,0.07272727272727272,0.06583072100313479,0.0795015795015795,0.07537878787878788,0.07017543859649122,0.07692307692307693,0.07692307692307693,0.07051282051282051,0.07291666666666667,0.07537025765875431,nan
SU_Tim,234.0,224.0,204.0,211.0,199.0,211.0,231.0,197.0,196.0,204.0,219.0,221.0,212.0,221.0,199.0,229.0,205.0,228.0,212.0,218.0,203.0,207.0,218.0,219.0,nan
SU_Mag_10,28.0,13.0,11.0,7.76,25.0,15.0,22.0,7.2,5.4,2.9,11.0,21.0,6.1,18.0,7.1,29.0,5.75,30.0,9.8,13.0,9.5,13.0,14.0,nan,nan
SU_Mag_50,65.0,25.0,31.5,11.0,45.0,32.0,28.0,15.0,15.0,8.2,19.0,74.0,8.850000000000001,121.0,20.0,55.0,16.5,48.0,15.5,33.0,35.0,145.0,38.5,nan,nan
