Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975
SU_Dur_Fl,109.0,167.0,117.0,nan,180.0,141.0,145.0,195.0,122.0,nan,179.0,90.0,nan,102.0,139.0,111.0,nan,64.0,119.0,99.0,149.0,111.0,181.0,nan,nan
SU_Dur_Wet,209.0,195.0,250.0,140.0,223.0,216.0,176.0,242.0,216.0,201.0,237.0,232.0,140.0,215.0,237.0,180.0,176.0,146.0,170.0,198.0,201.0,222.0,218.0,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,336.0,343.0,24.0,320.0,nan,14.0,350.0,10.0,26.0,318.0,nan,32.0,310.0,nan,321.0,337.0,339.0,nan,290.0,330.0,316.0,352.0,316.0,33.0,nan
FA_Mag,555.9464175308418,286.00043426576445,837.8085662825866,237.76058005072053,nan,621.9385514157233,810.9525192609708,543.9677636738045,219.0069876105263,120.97513400038342,nan,11899.427178092266,395.9093161240926,nan,1239.9293948449385,1230.0141968479393,189.93665364816664,nan,342.9992540057908,453.9408058770759,542.8814032413512,701.8658155493716,1799.6965949846547,556.9344328577154,nan
FA_Tim_Wet,83.0,78.0,52.0,88.0,350.0,57.0,60.0,41.0,73.0,47.0,38.0,90.0,87.0,352.0,69.0,70.0,43.0,16.0,7.0,16.0,50.0,39.0,62.0,70.0,nan
FA_Dur,2.0,4.0,2.0,2.0,nan,3.0,2.0,2.0,2.0,2.0,nan,4.0,8.0,nan,4.0,2.0,3.0,nan,3.0,2.0,3.0,3.0,3.0,2.0,nan
Tim_2,78.5,nan,nan,nan,125.0,140.0,114.5,47.0,nan,nan,40.0,31.0,nan,365.0,nan,121.5,nan,26.0,16.0,nan,nan,137.0,nan,141.5,nan
Dur_2,15.0,nan,nan,nan,3.0,1.0,2.0,1.0,nan,nan,3.0,3.0,nan,2.5,nan,8.0,nan,4.0,1.0,nan,nan,1.0,nan,10.0,nan
Fre_2,2.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,nan
Tim_5,138.0,118.0,128.0,141.0,25.0,146.0,91.0,47.0,nan,nan,116.0,128.0,nan,137.0,328.0,142.0,nan,111.0,22.0,136.0,nan,130.0,126.0,114.0,nan
Dur_5,1.0,1.0,1.0,3.0,4.0,2.5,2.0,1.0,nan,nan,1.5,2.0,nan,5.0,1.0,3.0,nan,4.0,2.0,1.0,nan,2.0,2.0,5.0,nan
Fre_5,6.0,1.0,3.0,1.0,7.0,2.0,9.0,1.0,0.0,0.0,6.0,5.0,0.0,7.0,1.0,6.0,0.0,11.0,3.0,1.0,0.0,5.0,5.0,4.0,nan
Tim_10,60.0,114.0,106.0,147.5,114.0,137.0,79.0,47.0,132.0,nan,112.0,140.5,134.0,116.0,98.0,75.0,nan,47.0,24.0,145.0,124.0,60.0,117.5,99.5,nan
Dur_10,4.0,6.0,5.0,4.5,7.0,4.0,5.0,2.0,3.0,nan,7.0,5.0,1.0,9.0,2.0,2.0,nan,3.0,2.0,2.5,1.0,3.0,9.0,2.0,nan
Fre_10,6.0,1.0,5.0,4.0,7.0,4.0,7.0,1.0,1.0,0.0,7.0,6.0,3.0,5.0,9.0,9.0,0.0,5.0,7.0,6.0,5.0,5.0,4.0,4.0,nan
Tim_20,24.0,125.5,68.0,140.0,76.0,96.5,54.0,120.0,101.5,95.0,118.0,70.5,118.5,25.0,51.5,339.0,102.0,43.0,60.0,101.0,80.0,42.0,17.0,98.0,nan
Dur_20,2.0,5.5,3.0,10.0,8.0,8.5,3.0,5.5,4.0,3.0,7.5,2.5,2.0,2.0,4.5,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,nan
Fre_20,7.0,6.0,7.0,4.0,8.0,4.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,7.0,9.0,9.0,7.0,7.0,9.0,12.0,nan
Tim_50,335.0,1.0,24.0,344.0,343.0,28.5,4.5,41.0,37.0,28.0,4.5,30.0,363.5,338.0,338.5,121.0,34.0,352.5,342.0,329.0,25.5,358.0,314.0,6.0,nan
Dur_50,8.0,3.0,4.0,3.0,2.0,74.0,98.0,6.0,3.0,4.0,80.5,169.0,10.0,2.0,107.0,5.5,4.0,3.5,7.0,228.0,2.0,8.0,4.0,10.0,nan
Fre_50,3.0,5.0,3.0,7.0,3.0,2.0,2.0,3.0,5.0,5.0,2.0,1.0,6.0,5.0,2.0,6.0,5.0,4.0,4.0,1.0,8.0,4.0,3.0,3.0,nan
