Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WIN_Fre_2,nan,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,6.0,3.0,0.0,3.0,9.0,3.0,5.0,4.0,1.0,5.0,0.0,0.0,5.0,6.0,4.0,1.0,6.0,0.0,1.0,3.0,0.0,1.0,0.0,nan,1.0,0.0,4.0,3.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0
WIN_Tim_5,nan,nan,nan,356.0,243.0,217.0,124.0,60.0,203.0,nan,215.0,nan,338.0,165.0,229.0,40.0,41.5,20.0,251.0,93.0,27.0,110.5,133.5,46.0,65.0,33.0,nan,nan,189.0,62.5,2.5,58.5,44.0,nan,204.0,55.0,nan,240.0,nan,nan,156.5,63.0,43.0,152.0,nan,53.0,nan,29.0,56.0,nan,nan,215.0,200.0,nan
WIN_Dur_5,nan,nan,nan,4.0,1.0,1.0,1.5,3.0,1.0,nan,1.0,nan,1.0,1.5,2.0,2.5,5.5,57.0,1.0,3.5,4.0,3.5,3.5,2.0,3.0,2.0,nan,nan,1.0,4.5,51.0,1.5,7.5,nan,1.0,5.0,nan,1.0,nan,nan,1.0,1.0,26.0,2.0,nan,2.0,nan,22.0,6.0,nan,nan,1.0,1.0,nan
WIN_Fre_5,nan,0.0,0.0,3.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,8.0,10.0,2.0,1.0,6.0,7.0,4.0,4.0,5.0,1.0,5.0,0.0,0.0,5.0,4.0,2.0,2.0,6.0,0.0,1.0,5.0,0.0,2.0,0.0,nan,2.0,1.0,3.0,4.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0
WIN_Tim_10,nan,67.0,nan,98.0,243.0,102.0,72.5,60.0,203.0,nan,150.0,nan,338.0,128.0,80.0,38.5,5.0,19.0,156.0,74.0,26.0,227.0,29.0,53.0,134.5,112.5,104.5,nan,189.0,62.0,7.0,63.5,136.0,nan,236.5,85.0,nan,240.0,nan,nan,238.0,63.0,131.5,70.0,nan,122.0,49.0,96.0,20.0,nan,239.0,215.0,200.0,nan
WIN_Dur_10,nan,1.0,nan,5.5,2.0,1.5,5.5,5.0,1.0,nan,1.0,nan,1.0,2.0,1.5,18.0,5.0,84.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,nan,1.0,13.5,3.0,3.0,12.5,nan,1.0,17.0,nan,1.0,nan,nan,1.0,3.0,23.5,3.0,nan,4.5,1.0,4.0,30.5,nan,1.0,1.0,2.0,nan
WIN_Fre_10,nan,2.0,0.0,4.0,3.0,2.0,6.0,1.0,1.0,0.0,4.0,0.0,3.0,5.0,2.0,4.0,5.0,2.0,4.0,5.0,11.0,5.0,7.0,8.0,4.0,6.0,2.0,0.0,5.0,4.0,3.0,6.0,4.0,0.0,2.0,4.0,0.0,2.0,0.0,nan,3.0,1.0,4.0,5.0,0.0,4.0,1.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0
WIN_Tim_20,nan,67.0,220.0,96.0,134.0,72.5,117.5,59.0,221.5,nan,88.5,nan,116.0,158.5,80.0,4.0,82.0,246.0,248.0,41.0,324.0,209.0,199.0,98.5,70.5,17.0,104.5,nan,205.5,43.0,7.0,34.0,126.0,nan,148.0,34.0,nan,148.5,63.0,nan,238.0,63.0,340.0,59.0,nan,27.0,44.5,19.0,28.0,105.0,238.0,215.0,156.5,nan
WIN_Dur_20,nan,1.0,1.0,5.5,1.5,3.5,55.5,1.0,1.0,nan,3.0,nan,1.0,16.5,1.5,162.0,32.5,2.0,2.0,12.0,153.5,5.0,3.0,1.5,1.0,3.0,1.5,nan,1.5,5.0,3.0,79.5,71.5,nan,1.0,2.0,nan,2.0,2.5,nan,1.0,3.0,4.0,5.0,nan,3.0,12.0,118.0,36.0,8.0,2.0,2.0,1.5,nan
WIN_Fre_20,nan,2.0,1.0,4.0,4.0,6.0,2.0,3.0,2.0,0.0,8.0,0.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,5.0,2.0,7.0,3.0,4.0,10.0,9.0,2.0,0.0,4.0,3.0,5.0,2.0,2.0,0.0,4.0,3.0,0.0,4.0,2.0,nan,3.0,3.0,7.0,3.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0
WIN_Tim_50,nan,64.0,165.5,86.0,109.0,350.0,117.5,106.0,127.0,20.0,215.0,14.0,361.0,147.0,69.5,349.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0,203.0,157.0,86.0,204.0,77.0,229.0,360.5,318.0,221.0,211.0,361.0,208.0,303.0,12.0,238.0,123.0,nan,213.0,57.0,313.5,181.0,85.5,202.0,352.0,19.0,123.0,109.5,193.0,138.5,200.0,329.5
WIN_Dur_50,nan,6.0,10.5,5.0,107.0,5.0,95.5,2.5,2.5,80.0,3.0,65.0,4.0,84.5,135.5,54.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,44.0,8.0,12.0,5.0,49.0,29.0,4.0,152.0,14.5,2.0,143.0,3.0,23.0,145.0,11.0,59.0,nan,42.0,11.0,160.0,3.0,40.0,6.0,170.0,193.0,93.0,67.0,15.5,29.5,26.0,61.0
WIN_Fre_50,nan,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,3.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,5.0,1.0,3.0,2.0,nan,3.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0
