Year,1958,1959,1960,1961,1962,1963,1964,1965,1966
Avg,590.5068493150685,894.2704918032787,571.6876712328767,1052.6027397260275,1734.3753424657534,740.2814207650273,1752.2356164383561,334.33698630136985,1692.1917808219177
Std,700.9693078167062,1775.711673093317,689.9465025807029,1474.672759053297,4436.972180479715,747.186954048062,4521.658700908174,283.95859022185016,1413.0980989275724
CV,1.1870638056607872,1.9856538814253275,1.206859159814999,1.4009775040459485,2.5582537250395245,1.0093282542143207,2.580508385110346,0.8493185075428393,0.8350697095581057
SP_Tim,137.0,102.0,144.0,129.0,144.0,142.0,1.0,106.0,177.0
SP_Mag,1790.0,4180.0,2340.0,4940.0,6520.0,2940.0,13500.0,1210.0,4500.0
SP_Dur,72.0,102.0,65.0,82.0,68.0,76.0,200.0,96.0,nan
SP_ROC,0.045454545454545456,0.0643681562592483,0.0625,0.07611844222722884,0.052879717742937364,0.041546866014951125,0.056818181818181816,0.0476460578559274,nan
SU_BFL_Tim,209.0,204.0,209.0,211.0,212.0,218.0,201.0,202.0,nan
SU_BFL_Mag_10,44.0,47.0,40.7,43.0,82.6,62.0,116.80000000000001,57.0,nan
SU_BFL_Mag_50,51.0,72.0,70.0,259.5,171.0,88.0,273.0,120.0,nan
SU_BFL_Dur_Fl,nan,133.0,148.0,76.0,99.0,nan,89.0,132.0,nan
SU_BFL_Dur_Wet,189.0,200.0,198.0,180.0,177.0,132.0,225.0,181.0,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
FAFL_Tim,nan,nan,337.0,355.0,286.0,310.0,nan,288.0,333.0
FAFL_Mag,nan,nan,1169.9307559897777,1119.9420362798771,16999.864439249228,2309.929943621179,nan,419.99338436787275,1769.9534114496653
FAFL_Tim_Wet,9.0,32.0,39.0,40.0,25.0,23.0,350.0,59.0,17.0
FAFL_Dur,nan,nan,2.0,5.0,7.0,3.0,nan,5.0,2.0
Wet_BFL_Mag,441.0,586.6999999999999,120.0,178.0,264.0,325.8,436.0,118.0,852.8
WIN_Tim_2,nan,53.0,nan,103.0,110.0,319.0,5.0,nan,75.0
WIN_Dur_2,nan,2.0,nan,2.0,5.0,1.0,5.0,nan,1.0
WIN_Fre_2,0.0,2.0,0.0,5.0,6.0,1.0,3.0,0.0,5.0
WIN_Tim_5,29.0,73.0,nan,106.5,96.0,319.0,67.5,nan,108.5
WIN_Dur_5,1.0,3.0,nan,3.5,6.0,1.0,5.5,nan,2.5
WIN_Fre_5,2.0,5.0,0.0,6.0,7.0,1.0,6.0,0.0,10.0
WIN_Tim_10,12.0,83.0,94.0,92.0,30.0,43.0,20.0,nan,104.0
WIN_Dur_10,2.0,4.0,1.0,5.0,4.0,5.5,4.0,nan,2.0
WIN_Fre_10,3.0,6.0,3.0,5.0,7.0,2.0,9.0,0.0,13.0
WIN_Tim_20,91.0,132.5,103.0,106.5,30.0,61.5,87.0,nan,27.0
WIN_Dur_20,5.0,5.0,2.0,14.0,5.0,2.5,3.0,nan,4.0
WIN_Fre_20,5.0,6.0,7.0,4.0,7.0,8.0,5.0,0.0,9.0
WIN_Tim_50,143.5,28.5,32.0,13.5,331.0,354.0,346.0,52.0,359.0
WIN_Dur_50,10.5,74.0,8.0,2.5,20.0,37.0,4.0,4.0,5.0
WIN_Fre_50,4.0,2.0,3.0,4.0,5.0,3.0,7.0,12.0,14.0
