Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,5.442465753424657,12.032136986301369,3.4137158469945357,10.946931506849317,8.672739726027398,6.794356164383561,2.2164754098360655,15.32432876712329,0.32,0.8012080536912752,1.0249180327868852,0.533095890410959,8.259013698630136,5.460931506849315,8.651284153005465,2.7124109589041097,15.491452054794522,17.815342465753425,7.419426229508196,5.961780821917809,13.76041095890411
Std,21.9970877138921,33.94308095948762,9.523286436579383,25.9272722634431,33.73500361947854,20.404790383948395,6.826291937866416,49.93807335393378,0.04242640687119284,0.6429691119029843,2.807835031049258,2.2011963133675994,19.176394696286305,22.438512128248508,26.89214093335386,10.272274038074752,55.25032058495997,39.84617037964644,22.737582053704163,20.683849575623718,43.027363737999
CV,4.041750322461926,2.821035116050618,2.789712695321072,2.3684511268953155,3.889774706167859,3.003197049179079,3.0797959262590244,3.258744582736347,0.13258252147247762,0.8024995616815602,2.7395703277991803,4.12908137721849,2.3218746688199534,4.1089166015184855,3.1084565548585643,3.787137787640056,3.5665036685738114,2.2366210728894518,3.0646011363079952,3.4694079157660243,3.1268952552726477
SP_Tim,39.0,30.0,56.0,31.0,25.0,344.0,40.0,21.0,nan,nan,66.0,88.0,42.0,57.0,57.0,86.0,105.0,76.0,363.0,45.0,52.0
SP_Mag,96.0,164.0,97.0,132.0,434.0,41.0,106.0,286.0,nan,nan,29.0,6.5,112.0,120.0,52.0,41.0,112.0,381.0,221.0,60.0,420.0
SP_Dur,81.0,172.0,52.0,54.0,81.0,147.0,139.0,90.0,nan,nan,77.0,23.0,115.0,47.0,33.0,50.0,29.0,30.0,144.0,86.0,48.0
SP_ROC,0.09090909090909091,0.10526315789473682,0.11111111111111108,0.18421052631578946,0.1324561403508772,0.10526315789473684,0.11032388663967616,0.14285714285714285,nan,nan,0.07692307692307698,0.1739495798319328,0.1302796528447444,0.08545454545454549,0.10937500000000003,0.07142857142857134,0.07142857142857134,0.10465116279069761,0.07692307692307698,0.08108108108108115,0.12903225806451624
SU_Tim,120.0,202.0,108.0,85.0,106.0,126.0,179.0,111.0,nan,nan,143.0,111.0,157.0,104.0,90.0,136.0,134.0,106.0,142.0,131.0,100.0
SU_Mag_10,0.1,0.37,0.05,0.27,0.18,0.11,0.13,nan,nan,nan,0.0,0.0,0.17,0.12,0.13,0.05,0.13,0.37,0.22,0.07,0.19
SU_Mag_50,0.6,0.74,0.37,0.54,0.295,0.35,0.26,nan,nan,nan,0.09,0.0,0.305,0.46499999999999997,0.33,0.1,0.9,0.72,0.375,0.49,0.53
SU_Dur_Fl,217.0,174.0,237.0,271.0,nan,nan,139.0,nan,nan,nan,176.0,216.0,nan,nan,298.0,nan,189.0,216.0,nan,199.0,229.0
SU_Dur_Wet,261.0,187.0,242.0,271.0,224.0,220.0,176.0,nan,nan,nan,216.0,240.0,214.0,254.0,340.0,214.0,253.0,221.0,170.0,249.0,279.0
SU_No_Flow,0.0,0.0,13.0,0.0,0.0,0.0,0.0,nan,nan,nan,25.0,157.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,327.0,336.0,10.0,345.0,354.0,nan,nan,318.0,nan,nan,282.0,319.0,325.0,nan,nan,23.0,nan,322.0,321.0,nan,328.0
FA_Mag,47.984521112050544,94.91941484717015,18.975800444487525,47.98580038315144,225.97135513283922,nan,nan,126.98421575636989,nan,nan,9.438481060941921,6.409209262181677,56.948240656053606,nan,nan,14.978742023027392,nan,132.9344482164552,22.92418654437046,nan,48.95214673339995
FA_Tim_Wet,360.0,15.0,23.0,350.0,354.0,329.0,345.0,355.0,nan,nan,50.0,359.0,349.0,5.0,357.0,65.0,348.0,21.0,326.0,312.0,13.0
FA_Dur,7.0,2.0,3.0,4.0,4.0,nan,nan,5.0,nan,nan,5.0,8.0,5.0,nan,nan,4.0,nan,3.0,2.0,nan,3.0
Tim_2,19.5,23.0,51.0,31.5,14.0,29.0,36.0,12.0,nan,nan,nan,nan,14.0,44.0,11.0,54.5,47.0,41.0,344.0,321.0,42.5
Dur_2,2.0,2.0,2.0,1.0,1.0,1.5,1.0,2.0,nan,nan,nan,nan,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
Fre_2,2.0,4.0,1.0,6.0,5.0,2.0,1.0,7.0,nan,nan,0.0,0.0,3.0,3.0,3.0,2.0,6.0,12.0,5.0,3.0,6.0
Tim_5,4.0,80.0,60.5,19.0,20.0,352.0,36.0,2.0,nan,nan,nan,nan,23.5,47.5,23.5,80.0,44.0,43.0,353.0,329.0,17.0
Dur_5,1.0,1.0,1.5,3.0,4.0,3.0,2.0,4.0,nan,nan,nan,nan,2.0,2.0,5.0,3.0,4.5,4.5,2.0,2.0,3.0
Fre_5,5.0,7.0,4.0,9.0,5.0,5.0,1.0,8.0,nan,nan,0.0,0.0,10.0,6.0,4.0,3.0,6.0,10.0,6.0,5.0,8.0
Tim_10,18.0,80.0,33.0,351.5,25.5,10.0,22.0,22.0,nan,nan,60.0,39.0,14.0,35.5,364.0,80.0,35.0,18.0,347.0,1.5,16.5
Dur_10,2.5,6.5,2.0,4.0,6.0,3.0,1.0,2.0,nan,nan,1.0,1.0,2.0,3.0,4.0,3.5,3.0,4.0,2.0,3.5,5.0
