Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,5.843561643835617,3.358196721311476,6.0168767123287665,4.776712328767124,3.08,2.655464480874317,1.6131232876712327,1.6974794520547942,2.271835616438356,2.552814207650273,nan,nan,2.0088461538461537,2.308087431693989,2.014794520547945,2.088246575342466,4.884657534246576,2.4000273224043718,2.5544109589041093,1.5018630136986304,1.3808219178082193
Std,8.902897384292439,6.309661775472879,23.69018075527658,6.735961973747018,3.925310911688991,3.665189992405903,0.6172014600877065,0.7419154792460562,1.8295226341503554,2.3863229375343384,nan,nan,1.3402221352953982,2.237293728442552,2.1057341866027417,1.0199128055777231,4.881582407429524,2.083922124269166,3.381574326700981,1.208411085309038,0.8093050518295742
CV,1.523539568318599,1.8788839067798173,3.93728871105746,1.410166974716181,1.2744515947042179,1.3802444050010911,0.38261270220624144,0.43706890139257326,0.8053059036985115,0.9347812819213425,nan,nan,0.6671601669094458,0.9693279802665538,1.0451359506527071,0.48840631064387624,0.999370451910806,0.8682910001963943,1.3238176554612577,0.8046080596479236,0.5861038569797511
SP_Tim,128.0,56.0,7.0,49.0,62.0,69.0,152.0,174.0,126.0,60.0,nan,nan,138.0,77.0,67.0,201.0,112.0,81.0,356.0,107.0,90.0
SP_Mag,24.0,34.0,206.0,35.0,31.0,18.0,2.3,2.3,9.2,15.0,nan,nan,3.5,9.3,22.0,2.6,17.0,17.0,13.0,4.3,2.6
SP_Dur,26.0,108.0,55.0,135.0,20.0,27.0,103.0,115.0,149.0,168.0,nan,nan,100.0,152.0,176.0,72.0,144.0,169.0,40.0,114.0,107.0
SP_ROC,0.09216867469879525,0.07846153846153853,0.14285714285714285,0.05634920634920637,0.14285714285714282,0.09090909090909091,0.057501652346331776,0.0555555555555556,0.052631578947368356,0.0555555555555556,nan,nan,0.04257246376811588,0.040547945205479455,0.052631578947368356,0.0555555555555556,0.044466403162055274,0.050000000000000044,0.09999999999999994,0.03270529683611806,0.08333333333333323
SU_BFL_Tim,154.0,164.0,62.0,184.0,82.0,96.0,255.0,289.0,275.0,228.0,nan,nan,238.0,229.0,243.0,273.0,256.0,250.0,31.0,221.0,197.0
SU_BFL_Mag_10,1.6,1.6,0.73,1.7,1.3,1.3,0.754,0.83,1.1,nan,nan,nan,0.92,0.68,0.9099999999999999,1.3,1.4,0.95,0.8900000000000001,0.58,0.6
SU_BFL_Mag_50,1.8,1.7,2.0,2.0,1.7,1.8,0.77,0.89,1.3,nan,nan,nan,1.1,0.89,1.1,2.2,1.8,1.1,1.2,0.735,0.6
SU_BFL_Dur_Fl,nan,nan,317.0,201.0,nan,188.0,64.0,38.0,39.0,nan,nan,nan,115.0,77.0,45.0,25.0,23.0,72.0,295.0,85.0,109.0
