Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,274.832602739726,157.68465753424655,423.03251366120224,252.49479452054797,394.53972602739725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,193.00576923076926,410.20630136986307,340.1641095890411,185.4448087431694,44.15506849315069,261.3871232876712,139.9476712328767,269.32459016393443,139.15780821917807,361.8027397260274,393.5531506849315,329.3489071038251,184.0682191780822,251.21452054794523,130.79232876712328,127.90245901639345,239.15287671232878,148.87479452054797,91.59753424657534,68.97650273224045,256.30076712328764,nan,nan,nan,nan,334.4257534246575,296.3202739726027,187.98497267759564,76.8331506849315,206.3958630136986,261.91912328767125,200.02767759562843,195.0965205479452,349.85523287671236,195.5885479452055,193.44871584699453,154.9621095890411,185.27660273972606,269.8786849315068,210.01909836065576,134.55,69.86701369863013,133.63265753424656
Std,503.61653623287464,263.4611916215292,870.268389452683,429.13867005583,628.1548224084517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,271.98449090139644,588.6078358517207,706.094201445259,276.0907272730571,58.23689136111463,336.783739193084,254.96934368783286,401.9875520008423,217.52882681112916,510.37719019022245,554.3887582348658,443.53543304640056,300.1511731044987,542.1518885721089,172.43764152621895,224.69239025800334,367.3364319227701,238.32524540543437,116.85369458911234,97.46650255349043,334.49018515807415,nan,nan,nan,nan,486.74994423571684,411.4474581545531,319.42303958356314,95.71956569686509,350.54219894037556,427.4338397277839,365.154961635333,294.49608784936066,576.0698866476238,270.83550394284305,288.0379262610124,265.3593432303811,218.14348224252996,329.4080121787958,374.07029573075454,255.59064802065123,147.875605490903,269.37279072671095
CV,1.8324483020299207,1.6708105642066648,2.05721395247095,1.6995941277550053,1.5921205926037265,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4092039423764349,1.4349068600021373,2.075745740190831,1.4888026747377285,1.318917473090282,1.288448087867108,1.8218905783973853,1.4925764920171516,1.5631808922178063,1.410650429503939,1.408675695442965,1.3467038252735992,1.6306518009722724,2.1581232143332145,1.3184079154462145,1.7567480092716918,1.5359900201603272,1.600843488469368,1.2757296967683525,1.4130392045512248,1.305068997304933,nan,nan,nan,nan,1.455479846426888,1.3885228055391001,1.6991945421690215,1.2458107580330895,1.6983974088526663,1.6319306294345082,1.825522177853418,1.509489185261958,1.6465950270654621,1.3847206638024538,1.4889627206873361,1.7124143697715077,1.1773935781247826,1.220578098868375,1.7811251388594265,1.899596046233008,2.116529641996168,2.0157706633775336
SP_Tim,32.0,124.0,56.0,76.0,50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,95.0,95.0,82.0,63.0,88.0,20.0,131.0,78.0,91.0,108.0,93.0,352.0,337.0,54.0,81.0,19.0,89.0,156.0,87.0,112.0,129.0,nan,nan,nan,nan,56.0,63.0,62.0,89.0,58.0,123.0,61.0,143.0,37.0,67.0,38.0,80.0,121.0,112.0,94.0,361.0,92.0,44.0
SP_Mag,2790.0,433.0,4410.0,2870.0,2880.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,623.0,3710.0,3410.0,2030.0,280.0,1810.0,793.0,2450.0,787.0,2120.0,2470.0,2890.0,2260.0,2920.0,538.0,982.0,1210.0,829.0,371.0,679.0,688.0,nan,nan,nan,nan,2460.0,2090.0,1250.0,418.0,1100.0,1090.0,1670.0,1220.0,3970.0,734.0,1930.0,1380.0,1180.0,1230.0,2670.0,1550.0,815.0,1330.0
SP_Dur,173.0,76.0,102.0,108.0,105.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.0,60.0,85.0,111.0,123.0,144.0,74.0,103.0,112.0,61.0,78.0,199.0,207.0,124.0,99.0,192.0,48.0,61.0,124.0,47.0,83.0,nan,nan,nan,nan,132.0,115.0,126.0,106.0,102.0,59.0,81.0,74.0,139.0,110.0,141.0,106.0,101.0,83.0,80.0,169.0,77.0,110.0
SP_ROC,0.06060606060606061,0.05,0.04838709677419355,0.06956521739130435,0.06666666666666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04959016393442623,0.04382627176744824,0.05517241379310345,0.04800307219662058,0.06382978723404255,0.07339449541284404,0.058823529411764705,0.06866750471401634,0.05714285714285714,0.052416333666333664,0.06306306306306306,0.0684931506849315,0.053763440860215055,0.06594202898550725,0.05263157894736842,0.05594679186228482,0.07368421052631578,0.058823529411764705,0.06051363386811444,0.05797236743838686,0.06497175141242938,nan,nan,nan,nan,0.06322451698867422,0.05985074626865672,0.05907278165503489,0.056179775280898875,0.05517241379310345,0.05972748010095122,0.0674467579927531,0.05919003115264804,0.0713180008845643,0.05729166666666656,0.05418548929359511,0.050775740479548775,0.04723357813875516,0.05408271474019082,0.06547619047619048,0.05760721579305651,0.05555555555555555,0.05293405776724387
SU_Tim,205.0,200.0,158.0,184.0,155.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,159.0,155.0,167.0,174.0,211.0,164.0,205.0,181.0,203.0,169.0,171.0,186.0,179.0,178.0,180.0,211.0,137.0,217.0,211.0,159.0,212.0,nan,nan,nan,nan,188.0,178.0,188.0,195.0,160.0,182.0,142.0,217.0,176.0,177.0,179.0,186.0,222.0,195.0,174.0,165.0,169.0,154.0
SU_Mag_10,9.2,7.4,8.3,8.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6,3.5,5.2,6.0,3.1,6.4,3.9,5.9,4.8,5.300000000000001,10.0,6.74,4.3,4.9,2.0,4.7,6.840000000000001,6.5,3.0700000000000003,2.1,nan,nan,nan,nan,nan,3.8,2.2,3.0100000000000002,2.66,1.306,3.19,3.044,5.8919999999999995,2.486,3.705,2.446,2.935,4.96,5.03,3.33,3.516,1.9,2.5949999999999998
SU_Mag_50,12.0,11.0,29.5,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.1,9.4,13.0,12.0,7.1,13.0,7.5,12.0,9.4,12.0,19.0,14.0,12.0,13.0,4.2,6.3,16.0,11.0,9.7,6.25,nan,nan,nan,nan,nan,7.2,9.6,9.0,3.9,5.4,6.73,12.7,9.97,5.24,12.899999999999999,7.44,6.37,9.5,17.2,9.36,9.06,6.13,5.2
SU_Dur_Fl,nan,125.0,146.0,135.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139.0,194.0,132.0,146.0,100.0,nan,94.0,nan,nan,134.0,144.0,121.0,155.0,149.0,nan,nan,nan,128.0,89.0,nan,nan,nan,nan,nan,nan,nan,157.0,147.0,nan,189.0,159.0,nan,96.0,143.0,116.0,177.0,142.0,76.0,134.0,152.0,nan,158.0,173.0
SU_Dur_Wet,127.0,138.0,228.0,137.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,145.0,202.0,138.0,246.0,116.0,208.0,100.0,154.0,117.0,156.0,147.0,125.0,208.0,157.0,153.0,113.0,233.0,157.0,148.0,184.0,nan,nan,nan,nan,nan,137.0,166.0,162.0,137.0,189.0,161.0,199.0,123.0,152.0,176.0,177.0,176.0,109.0,191.0,156.0,239.0,161.0,176.0
SU_No_Flow,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,nan,324.0,304.0,317.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,309.0,296.0,348.0,298.0,320.0,309.0,nan,298.0,nan,nan,302.0,314.0,307.0,332.0,326.0,nan,nan,nan,344.0,299.0,nan,nan,nan,nan,nan,330.0,nan,334.0,335.0,nan,348.0,340.0,nan,311.0,318.0,292.0,356.0,326.0,297.0,328.0,326.0,nan,326.0
FA_Mag,nan,nan,995.002183084509,1779.9213735215146,5399.715679188564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,209.99133283094812,2469.830555465035,1109.9644259366328,953.9170879182293,70.98469752199499,331.9828481777903,nan,1459.9794962817418,nan,nan,589.9845297324549,1389.9548205723586,534.9067148806557,575.8402160598669,441.9839122067152,nan,nan,nan,125.98428976524569,80.9787435921218,nan,nan,nan,nan,nan,608.9811449747505,nan,385.9682657084243,117.01089577906049,nan,1449.932505408584,608.992482717903,nan,487.99839413850015,370.96633841079483,535.9756619732843,414.92583782948265,190.9798083944519,596.8939136215687,356.98656638340924,347.9987659530037,nan,1479.7210573254013
FA_Tim_Wet,322.0,331.0,337.0,21.0,319.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,342.0,302.0,356.0,304.0,55.0,325.0,6.0,304.0,335.0,318.0,324.0,317.0,311.0,20.0,334.0,332.0,324.0,3.0,8.0,358.0,343.0,nan,nan,nan,nan,345.0,324.0,343.0,350.0,330.0,348.0,342.0,341.0,338.0,327.0,352.0,356.0,360.0,330.0,20.0,330.0,37.0,329.0
FA_Dur,nan,nan,5.0,2.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,4.0,4.0,5.0,2.0,2.0,nan,2.0,nan,nan,4.0,2.0,8.0,6.0,6.0,nan,nan,nan,2.0,5.0,nan,nan,nan,nan,nan,4.0,nan,2.0,4.0,nan,6.0,2.0,nan,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,nan,4.0
Tim_2,21.5,364.0,19.0,60.0,28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,355.0,50.0,15.5,nan,25.0,27.5,12.0,nan,45.0,37.5,340.0,324.0,46.0,nan,340.0,11.0,7.0,nan,nan,21.0,nan,nan,nan,nan,37.0,35.5,14.0,nan,2.0,35.0,27.5,33.5,7.5,347.0,22.0,26.5,57.0,36.0,58.0,347.0,69.0,354.0
Dur_2,2.5,3.0,7.0,1.5,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,3.0,2.5,nan,1.5,1.5,1.0,nan,3.0,1.5,1.0,2.5,2.0,nan,1.0,2.0,2.0,nan,nan,4.0,nan,nan,nan,nan,2.0,1.0,2.0,nan,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,2.0
Fre_2,4.0,1.0,4.0,6.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,9.0,7.0,2.0,0.0,4.0,2.0,5.0,0.0,7.0,10.0,7.0,2.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,nan,nan,nan,nan,7.0,8.0,3.0,0.0,5.0,4.0,4.0,2.0,8.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0
