Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,0.1821917808219178,8.807103825136613,0.9013698630136986,1.4224657534246576,0.3383561643835617,0.000273224043715847,0.012602739726027398,10.056712328767123,0.23506849315068493,0.16202185792349727,0.007945205479452055,0.23342465753424657,0.05671232876712329,0.4715846994535519,0.26,3.973424657534247,2.3742465753424655,0.5396174863387978,7.650767123287672,0.5194794520547945,0.20975342465753424,0.0,1.2311780821917808,0.06904109589041095,0.14334246575342466,1.871502732240437,0.10772602739726027,18.509479452054794,13.349479452054796,47.40245901639344,2.919890410958904,6.522712328767123,36.02682191780822,5.494207650273224,2.898602739726028,8.278465753424657,0.5171780821917809,0.7730327868852458,0.08531506849315068,0.0,4.547397260273972,1.0087704918032787,34.51526027397261,1.1793150684931506,18.555561643835617,0.9618032786885246,0.5622739726027398,8.893232876712329,0.23843835616438355,0.22745901639344263,0.15139726027397263,0.0,0.3047671232876712,0.19950819672131145,18.21641095890411,1.2900273972602743,0.0,1.3221857923497269,0.6976986301369863,5.614767123287671,4.65476712328767,0.11800546448087432,0.3541095890410959,0.15893150684931504,0.07432876712328766,0.37051912568306017
Std,3.3467851049272017,32.33258864262932,3.4214750143995287,9.492124461719431,1.3569335026747547,0.005219938025831369,0.06108667539080941,39.339938089901025,1.6335951807246405,0.5746514834150206,0.15158485940324062,0.5976488619011435,0.6928916078716498,5.153852737047861,1.115342566701321,22.00290094318375,18.145596689744647,3.441769919903443,29.422732222999215,3.7958420659063,1.9301212097705363,0.0,4.487415582729367,0.7911918603947867,2.302006106767295,27.704299890833724,1.0729876515046566,50.67236633108862,32.68099140030963,162.7626909490977,3.460690562022619,18.745334368542967,87.97793299152599,9.93624654537282,4.75629076942108,60.58125403670501,0.806833474738106,6.0878650985334275,0.40634787973112596,0.0,37.983309767541044,3.8698575067034935,133.70377525125872,5.853986705894252,62.06726219787168,1.4300989780374593,1.77846017174219,28.29183047701737,1.642747456276876,1.9112803885694483,1.2708465384837209,0.0,1.8431107602462635,1.6454289319661888,64.40082277612665,18.305041022859374,0.0,3.991681531863483,2.8500271889351083,26.503487695287607,19.569995940473568,0.523352590894866,4.189455660072829,1.5347936216514952,0.20941379727114712,3.068465379494013
CV,18.3695723804275,3.6711942182795587,3.7958613381636113,6.673007373897519,4.01037027106304,19.10497317454281,4.847094895140311,3.9118090290173195,6.949443367884543,3.5467528318701103,19.078784028338905,2.56035017129011,12.217653955224744,10.928795491074837,4.289779102697389,5.537515579026455,7.642675734775902,6.37816602878309,3.8457231476097706,7.307010991275774,9.201857909694954,nan,3.644814383586762,11.459723374765762,16.059484498663277,14.80323774770449,9.96033806712105,2.7376440521920418,2.4481097946691297,3.4336339153377806,1.1852124823020718,2.873855755660173,2.4420120429228898,1.8084949055172124,1.6408908693264528,7.317932554307373,1.5600689637093217,7.87529998962017,4.762908673791297,nan,8.352758202887385,3.836212040447113,3.87375827938005,4.96388697328703,3.3449411766251322,1.4868934320825808,3.1629779402908893,3.1812762433222552,6.889610726658161,8.402746212809827,8.394118468088275,nan,6.047603627201423,8.247425213634966,3.5353189451760683,14.189652918794694,nan,3.019001985167041,4.0848972118169895,4.720318245321767,4.204291089572542,4.434986067782379,11.830957956878782,9.656950041420373,2.8173990417975934,8.281530336220106
SP_Tim,nan,81.0,5.0,88.0,199.0,nan,14.0,98.0,52.0,61.0,nan,69.0,nan,295.0,199.0,3.0,344.0,357.0,61.0,65.0,360.0,nan,86.0,8.0,295.0,254.0,230.0,64.0,90.0,66.0,65.0,91.0,83.0,362.0,9.0,75.0,322.0,237.0,222.0,nan,86.0,93.0,53.0,224.0,70.0,74.0,27.0,55.0,193.0,238.0,188.0,nan,77.0,255.0,57.0,291.0,nan,35.0,50.0,24.0,57.0,243.0,251.0,60.0,352.0,8.0
SP_Mag,nan,68.0,10.0,51.0,14.0,nan,0.9,290.0,23.0,5.3,nan,3.4,nan,98.0,14.0,46.0,288.0,39.0,238.0,55.0,26.0,nan,13.0,15.0,44.0,526.0,17.0,440.0,83.0,515.0,20.0,77.0,374.0,23.0,45.0,439.0,4.9,93.0,4.5,nan,114.0,24.0,298.0,6.5,670.0,8.2,18.0,141.0,28.0,35.0,23.0,nan,7.24,30.0,163.0,350.0,nan,15.6,9.37,110.0,42.2,6.88,25.0,29.0,1.42,5.29
SP_Dur,nan,72.0,107.0,40.0,54.0,nan,61.0,153.0,36.0,51.0,nan,63.0,nan,205.0,52.0,228.0,284.0,243.0,93.0,36.0,70.0,nan,53.0,142.0,190.0,nan,26.0,73.0,130.0,49.0,117.0,182.0,165.0,252.0,151.0,148.0,176.0,nan,15.0,nan,145.0,30.0,58.0,44.0,86.0,62.0,193.0,122.0,29.0,nan,33.0,nan,33.0,nan,179.0,193.0,nan,182.0,50.0,75.0,81.0,nan,26.0,204.0,121.0,67.0
SP_ROC,nan,0.09523809523809532,0.16666666666666663,0.14358974358974358,0.8257575757575758,nan,0.5,0.1250000000000001,0.33333333333333326,0.19523809523809524,nan,0.11145510835913311,nan,0.2222222222222223,0.9928571428571429,0.10526315789473688,0.18550368550368554,0.33333333333333326,0.08247422680412361,0.14160401002506262,0.23617216117216117,nan,0.13978494623655913,0.4000000000000001,0.3476851851851852,nan,1.0,0.12916666666666665,0.1333333333333333,0.05714285714285714,0.1143790849673203,0.15192307692307694,0.06666666666666667,0.11538461538461549,0.09999999999999994,0.09090909090909088,0.13484848484848488,nan,0.9844444444444445,nan,0.10717703349282293,0.13333333333333336,0.0672316384180791,0.2752525252525252,0.058823529411764705,0.11696306429548561,0.16666666666666666,0.08,0.75,nan,0.97,nan,0.16145833333333326,nan,0.07142857142857137,0.09090909090909098,nan,0.10658841347974246,0.12128299365185433,0.0703036422902495,0.06363636363636371,nan,0.8001818181818182,0.4880952380952381,0.30769230769230776,0.09908963585434175
SU_Tim,242.0,153.0,112.0,128.0,253.0,nan,75.0,251.0,88.0,112.0,nan,132.0,nan,135.0,251.0,231.0,263.0,235.0,154.0,101.0,65.0,nan,139.0,150.0,120.0,87.0,256.0,137.0,220.0,115.0,182.0,273.0,248.0,249.0,160.0,223.0,133.0,71.0,237.0,nan,231.0,123.0,111.0,268.0,156.0,136.0,220.0,177.0,222.0,109.0,221.0,nan,110.0,113.0,236.0,119.0,nan,217.0,100.0,99.0,138.0,144.0,277.0,264.0,108.0,75.0
SU_Mag_10,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.9,0.0,0.05,3.2,0.84,0.0,nan,0.0,nan,nan,nan,0.0,0.0,0.0,0.04,0.13,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
SU_Mag_50,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.32,3.2,0.39,1.9500000000000002,6.0,1.2,0.0,nan,0.0,nan,nan,nan,0.0,0.0,0.21,0.37,0.61,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.045,nan,0.0,0.0
