Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,136.9808219178082,224.0136612021858,152.08219178082192,137.5150684931507,80.02191780821917,237.2377049180328,94.65753424657534,264.4958904109589,95.21917808219177,79.40437158469945,105.44931506849315,118.73698630136987,174.7890410958904,66.02185792349727,192.97808219178083,85.77260273972603,200.51780821917808,114.88524590163935,259.14520547945204,237.6027397260274,177.13150684931506,82.55464480874316,185.75342465753425,296.67397260273975,167.6931506849315,57.77049180327869,40.35068493150685,206.76438356164383,104.97534246575343,208.724043715847,88.3013698630137,253.21369863013697
Std,194.84167696942038,351.80038479560153,221.08876004865928,241.3630878653557,85.19907107117133,502.5464073931915,143.772367568013,392.61966413826343,212.29013789128263,141.20204251883308,228.8546246241479,250.58197876956012,338.9467196832151,96.47695476599428,436.3755195243629,95.45857777752578,283.804539791306,191.47557007441455,459.7716684774594,527.7309126409759,307.3250641173214,63.148069708692994,263.92914059534047,504.48395497718644,213.70076142245946,35.47032629253801,15.81200448495505,359.72845823339605,188.34518571242296,456.904227413642,159.518340503616,373.26753170253966
CV,1.4224011379222856,1.5704416547974747,1.4537452246038667,1.755175563741056,1.0646966906661715,2.1183243513792407,1.5188687167098336,1.484407427004756,2.229489291621872,1.7782653486302702,2.170280807186832,2.1103953079417948,1.9391760350539753,1.4612880915557815,2.261269852866994,1.1129262110325777,1.4153582782088387,1.6666680614354006,1.7741855097292754,2.2210640889473185,1.735010724990678,0.764924491589662,1.4208574678067738,1.7004658364578342,1.2743559325447278,0.6139869193657261,0.39186458697776977,1.7397989539438652,1.7941850084829936,2.1890349539014435,1.806521696674522,1.4741206092793675
SP_Tim,28.0,133.0,18.0,99.0,126.0,58.0,146.0,96.0,56.0,42.0,91.0,50.0,108.0,27.0,10.0,129.0,148.0,55.0,26.0,27.0,90.0,108.0,63.0,94.0,88.0,106.0,8.0,68.0,56.0,57.0,89.0,105.0
SP_Mag,414.0,594.0,1180.0,1360.0,128.0,2200.0,473.0,1740.0,874.0,1560.0,369.0,2190.0,2330.0,248.0,3990.0,131.0,485.0,967.0,4240.0,5670.0,1750.0,353.0,1480.0,1500.0,883.0,136.0,183.0,1870.0,1090.0,1170.0,622.0,2890.0
SP_Dur,150.0,69.0,186.0,84.0,68.0,132.0,42.0,98.0,25.0,135.0,91.0,133.0,67.0,29.0,164.0,48.0,55.0,120.0,160.0,92.0,106.0,86.0,118.0,85.0,120.0,83.0,195.0,123.0,117.0,39.0,73.0,64.0
SP_ROC,0.042105263157894736,0.040123456790123455,0.04285714285714286,0.03787878787878788,0.04067460317460317,0.04909638554216868,0.036725067385444746,0.05454545454545454,0.03373049645390071,0.043961352657004835,0.03333333333333333,0.050423728813559325,0.05084745762711865,0.030886196246139225,0.04938271604938271,0.03180063769088773,0.046296296296296294,0.04083333333333333,0.06228448275862069,0.05405405405405406,0.03875968992248062,0.02577433628318584,0.05172413793103448,0.04609929078014184,0.04568452380952381,0.025,0.030303030303030304,0.04449388209121246,0.05925925925925926,0.05392156862745098,0.044036845507433746,0.03817330210772834
SU_Tim,178.0,202.0,204.0,183.0,194.0,190.0,188.0,194.0,81.0,177.0,182.0,183.0,175.0,56.0,174.0,177.0,203.0,175.0,186.0,119.0,196.0,194.0,181.0,179.0,208.0,189.0,203.0,191.0,173.0,96.0,162.0,169.0
SU_Mag_10,31.0,38.0,38.0,37.0,29.0,39.0,34.0,48.0,34.0,31.0,28.0,26.0,37.0,31.0,39.5,30.0,41.0,34.3,40.0,42.0,42.0,36.6,40.0,50.0,47.0,33.0,28.0,38.0,31.0,38.0,29.0,42.0
SU_Mag_50,35.0,40.0,44.0,39.0,32.0,43.0,48.0,51.0,39.0,34.0,32.0,47.0,43.5,49.0,41.0,35.0,45.0,38.0,47.0,48.5,48.0,45.0,44.0,58.0,53.0,39.0,38.0,41.0,35.0,46.0,33.0,48.0
SU_Dur_Fl,147.0,134.0,nan,131.0,147.0,189.0,100.0,nan,nan,153.0,155.0,103.0,136.0,258.0,147.0,148.0,135.0,170.0,162.0,nan,nan,125.0,nan,160.0,77.0,nan,150.0,190.0,126.0,242.0,nan,nan
SU_Dur_Wet,154.0,138.0,177.0,133.0,153.0,226.0,195.0,179.0,311.0,215.0,215.0,269.0,204.0,295.0,186.0,206.0,168.0,174.0,168.0,206.0,158.0,167.0,135.0,216.0,210.0,167.0,162.0,211.0,184.0,289.0,154.0,146.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,303.0,324.0,336.0,nan,313.0,340.0,14.0,286.0,nan,nan,330.0,335.0,285.0,310.0,314.0,319.0,324.0,337.0,345.0,346.0,nan,nan,319.0,nan,338.0,284.0,nan,351.0,15.0,298.0,338.0,nan
FA_Mag,275.97692691448276,652.9298617291391,518.897290327184,nan,145.9872918120214,801.941902820727,429.9790616296935,501.988346732666,nan,nan,869.9728532439867,1899.8774829931963,3009.779935990835,191.99781139665174,1449.9153599106835,231.96132855121022,1119.8087734192823,388.98074750860565,2189.712278543286,2039.8524091513054,nan,nan,971.9157412273127,nan,330.97879730309864,102.00011097431782,nan,719.9551636494879,953.9258425600109,745.9523507137654,608.928222094636,nan
FA_Tim_Wet,317.0,331.0,340.0,14.0,315.0,346.0,51.0,16.0,7.0,26.0,27.0,30.0,86.0,13.0,351.0,358.0,17.0,5.0,349.0,352.0,324.0,353.0,361.0,314.0,29.0,52.0,356.0,363.0,36.0,356.0,20.0,314.0
FA_Dur,2.0,2.0,5.0,nan,3.0,2.0,3.0,4.0,nan,nan,8.0,3.0,6.0,5.0,2.0,5.0,2.0,6.0,3.0,2.0,nan,nan,2.0,nan,4.0,3.0,nan,4.0,2.0,2.0,2.0,nan
Tim_2,361.5,14.0,5.5,48.0,nan,7.0,56.0,65.0,29.5,35.0,37.5,43.0,87.0,20.0,5.0,5.0,1.5,12.0,19.5,9.0,342.0,nan,17.0,14.5,43.0,nan,nan,37.0,47.0,35.5,28.0,39.0
Dur_2,1.0,1.0,1.0,1.0,nan,3.0,1.0,1.0,1.5,1.5,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.5,2.0,2.0,1.0,nan,2.0,2.0,2.0,nan,nan,2.0,1.0,3.5,3.0,2.0
Fre_2,4.0,7.0,4.0,5.0,0.0,7.0,1.0,8.0,2.0,2.0,4.0,3.0,7.0,1.0,5.0,1.0,6.0,2.0,8.0,7.0,5.0,0.0,3.0,6.0,3.0,0.0,0.0,5.0,3.0,4.0,1.0,6.0
Tim_5,364.0,24.0,6.5,63.5,340.0,13.0,141.0,61.0,12.0,38.0,36.5,31.5,63.0,356.0,4.0,19.5,47.0,40.0,30.5,13.0,341.0,356.0,23.5,28.0,60.5,nan,nan,14.0,47.0,23.0,54.5,25.0
Dur_5,1.5,3.0,2.0,2.0,1.0,5.0,1.0,4.5,2.0,2.0,1.5,2.0,2.5,1.5,2.0,1.5,2.0,1.5,2.0,2.0,3.0,1.0,3.0,3.5,3.5,nan,nan,2.0,1.0,2.5,2.0,4.0
Fre_5,8.0,9.0,8.0,6.0,3.0,7.0,3.0,10.0,3.0,3.0,6.0,6.0,6.0,2.0,7.0,2.0,10.0,6.0,10.0,7.0,5.0,1.0,8.0,10.0,6.0,0.0,0.0,9.0,5.0,8.0,4.0,12.0
Tim_10,11.0,57.0,2.0,73.0,340.0,26.0,72.5,42.5,27.0,38.0,58.0,19.0,63.0,356.0,24.0,18.0,88.0,38.5,20.0,9.0,355.0,59.0,23.0,361.0,66.0,79.5,nan,36.0,59.0,357.0,46.0,26.0
Dur_10,4.0,6.0,2.5,3.5,1.0,7.0,2.0,2.0,2.0,2.0,1.5,3.0,5.0,2.5,3.0,1.5,4.5,2.5,4.0,4.0,2.0,1.0,3.0,7.0,2.0,1.5,nan,3.0,3.0,4.0,2.0,5.0
Fre_10,9.0,14.0,10.0,8.0,7.0,6.0,8.0,10.0,4.0,3.0,8.0,5.0,6.0,2.0,7.0,6.0,12.0,8.0,11.0,7.0,7.0,5.0,8.0,9.0,11.0,2.0,0.0,9.0,5.0,7.0,7.0,15.0
Tim_20,22.5,360.0,7.0,28.0,363.0,50.5,97.0,3.5,27.0,38.0,50.5,14.0,16.5,354.5,62.0,4.0,55.0,31.0,363.0,353.0,10.0,56.0,56.0,12.0,36.0,79.5,3.0,4.0,74.0,346.5,46.0,21.0
Dur_20,5.0,8.0,5.0,3.0,3.0,17.5,2.0,3.0,3.0,5.0,4.5,4.0,5.0,1.5,3.0,3.0,15.0,4.0,3.5,12.0,3.0,1.0,6.0,17.0,12.5,2.0,2.0,2.0,5.0,2.0,4.0,19.0
Fre_20,8.0,7.0,9.0,7.0,8.0,6.0,6.0,12.0,4.0,5.0,8.0,6.0,8.0,4.0,8.0,7.0,6.0,8.0,8.0,5.0,15.0,9.0,11.0,7.0,6.0,2.0,1.0,9.0,7.0,10.0,7.0,7.0
Tim_50,308.5,338.0,327.5,332.5,57.0,339.0,21.0,297.0,355.0,21.0,330.0,353.0,337.0,19.0,346.0,359.0,352.0,348.5,308.0,61.5,327.0,347.0,312.0,74.0,347.0,360.0,100.0,82.5,8.0,331.0,21.0,99.0
Dur_50,107.0,4.0,109.5,4.0,23.0,9.0,4.0,8.0,2.0,37.0,7.0,12.0,11.0,5.0,3.0,10.0,23.5,2.0,3.0,4.5,5.0,3.0,9.0,2.0,4.0,5.0,2.0,2.0,12.0,4.5,5.0,1.5
