Year,1945,1946,1947,1948,1949,1950,1951,1952
Avg,506.06849315068496,212.25287671232877,162.2068306010929,137.45972602739727,264.97835616438357,412.4482191780822,1531.6076502732242,296.71808219178087
Std,606.4382955153743,340.7643421819299,301.84184696916725,266.64039350124784,457.1002051318118,1222.6209824679115,2113.931019095322,380.6284421331458
CV,1.1983324465425742,1.6054639515853333,1.8608454764243052,1.939771023900509,1.7250473274437643,2.964301761089729,1.380204008982468,1.2827948985162634
SP_Tim,132.0,147.0,152.0,166.0,156.0,172.0,155.0,195.0
SP_Mag,2730.0,1530.0,1430.0,765.0,2350.0,1320.0,8000.0,920.0
SP_Dur,71.0,44.0,53.0,26.0,52.0,34.0,90.0,31.0
SP_ROC,0.10355987055016182,0.14651162790697675,0.11336898395721925,0.1111111111111111,0.13246753246753246,0.15714285714285708,0.08605851979345955,0.14797297297297296
SU_Tim,203.0,191.0,205.0,192.0,208.0,206.0,245.0,226.0
SU_Mag_10,15.0,12.0,13.0,10.0,11.0,7.0,17.0,9.5
SU_Mag_50,38.0,18.0,18.0,23.0,15.0,17.0,80.0,63.0
SU_Dur_Fl,126.0,276.0,269.0,124.0,nan,159.0,130.0,150.0
SU_Dur_Wet,264.0,285.0,269.0,281.0,110.0,259.0,219.0,239.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,281.0,328.0,101.0,109.0,314.0,nan,364.0,10.0
FA_Mag,1339.6583508478134,1260.0477899137027,760.6380723076522,436.9162592386091,258.9817344650489,nan,4199.859132801264,840.0120233257686
FA_Tim_Wet,102.0,101.0,110.0,109.0,106.0,317.0,99.0,99.0
FA_Dur,4.0,2.0,8.0,7.0,3.0,nan,3.0,6.0
Tim_2,nan,nan,nan,nan,nan,330.5,142.5,nan
Dur_2,nan,nan,nan,nan,nan,1.5,4.0,nan
Fre_2,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
Tim_5,127.0,nan,nan,nan,93.5,338.0,99.0,119.0
Dur_5,2.5,nan,nan,nan,3.0,2.0,2.5,1.0
Fre_5,4.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0
Tim_10,69.0,123.0,141.5,147.0,111.0,123.0,56.0,145.0
Dur_10,2.5,8.0,4.0,3.0,11.0,5.0,3.0,5.5
Fre_10,6.0,3.0,2.0,1.0,3.0,5.0,4.0,4.0
Tim_20,329.5,108.0,145.0,138.0,137.5,52.5,51.0,117.0
Dur_20,6.5,6.0,7.0,6.0,13.5,7.5,11.5,2.0
Fre_20,6.0,3.0,7.0,5.0,4.0,6.0,4.0,6.0
Tim_50,280.0,20.0,103.5,103.0,47.0,101.5,341.5,80.0
Dur_50,275.0,95.0,43.0,70.0,8.0,57.0,131.5,89.0
Fre_50,1.0,2.0,2.0,1.0,7.0,4.0,2.0,3.0
