Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991
Avg,44.52515068493151,94.30095890410959,109.91402739726028,97.51519125683062,55.076767123287674,76.76013698630136,43.056602739726024,44.46139344262295,77.27235616438357,53.98438356164383,29.473150684931504,3.4214285714285713
Std,87.09048662508283,149.74809268906236,185.87533555629062,156.87558572321467,115.3083636000609,179.73330867532178,81.50436386648595,119.72015504050145,180.48191715115973,136.86031115639582,52.56710354399119,7.67176442467801
CV,1.9559840962999044,1.5879805935094942,1.6910974873524083,1.6087297138149852,2.0935935354002644,2.341492807749901,1.8929585401610478,2.692676629557265,2.3356595567917675,2.535183364650583,1.7835590129448475,2.2422693516804206
SP_Tim,90.0,108.0,93.0,352.0,337.0,54.0,78.0,20.0,95.0,155.0,86.0,nan
SP_Mag,510.0,912.0,1110.0,952.0,684.0,977.0,312.0,529.0,396.0,467.0,246.0,nan
SP_Dur,38.0,38.0,65.0,195.0,156.0,103.0,37.0,177.0,37.0,36.0,95.0,nan
SP_ROC,0.08712121212121213,0.08611111111111114,0.09838709677419355,0.12903762903762903,0.09375,0.11363636363636363,0.09090909090909091,0.0888937664618086,0.10724554341575618,0.08333333333333333,0.10526315789473684,nan
SU_BFL_Tim,128.0,146.0,158.0,182.0,128.0,157.0,115.0,197.0,132.0,191.0,181.0,nan
SU_BFL_Mag_10,0.54,0.7,1.4,0.8,0.645,0.44999999999999996,0.24700000000000003,0.34,1.25,1.4,nan,nan
SU_BFL_Mag_50,2.7,2.05,3.5,1.9,4.0,3.9,0.87,0.62,3.0,2.8,nan,nan
SU_BFL_Dur_Fl,157.0,157.0,153.0,125.0,206.0,170.0,nan,nan,nan,154.0,nan,nan
SU_BFL_Dur_Wet,189.0,178.0,157.0,126.0,256.0,177.0,218.0,122.0,236.0,185.0,nan,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FAFL_Tim,nan,283.0,302.0,310.0,307.0,332.0,326.0,nan,nan,nan,344.0,nan
FAFL_Mag,nan,116.95933130839903,252.9570500057116,149.96148568632535,345.8364823709175,192.96337337197838,190.96582863826217,nan,nan,nan,71.92254139489863,nan
FAFL_Tim_Wet,332.0,315.0,323.0,314.0,308.0,17.0,333.0,332.0,319.0,1.0,10.0,nan
FAFL_Dur,nan,2.0,5.0,4.0,6.0,2.0,5.0,nan,nan,nan,2.0,nan
Wet_BFL_Mag,19.0,8.590000000000002,20.5,82.00000000000001,124.6,15.6,32.0,30.2,35.0,6.53,8.8,nan
WIN_Tim_2,54.5,47.0,35.0,340.0,5.5,41.0,33.0,343.0,10.0,7.0,nan,nan
WIN_Dur_2,1.0,2.0,2.0,1.0,1.5,1.5,1.0,2.0,2.0,3.0,nan,nan
WIN_Fre_2,4.0,5.0,10.0,7.0,4.0,4.0,1.0,3.0,3.0,1.0,0.0,nan
WIN_Tim_5,28.0,360.0,49.0,358.0,332.0,31.0,33.0,343.0,75.0,32.0,13.0,nan
WIN_Dur_5,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.5,2.0,1.0,nan
WIN_Fre_5,5.0,13.0,13.0,11.0,5.0,6.0,5.0,7.0,8.0,5.0,1.0,nan
WIN_Tim_10,39.5,16.0,19.0,49.0,328.0,33.0,33.0,64.0,44.0,63.0,58.5,nan
WIN_Dur_10,3.5,7.0,6.0,4.5,3.0,4.0,2.0,5.0,3.0,2.0,2.0,nan
WIN_Fre_10,6.0,10.0,9.0,12.0,9.0,9.0,7.0,4.0,12.0,9.0,4.0,nan
WIN_Tim_20,45.0,339.0,43.5,86.0,350.0,43.0,13.0,8.0,20.5,97.0,64.5,nan
WIN_Dur_20,8.0,11.0,11.5,7.0,2.0,11.0,3.0,7.0,5.5,9.5,5.0,nan
WIN_Fre_20,7.0,9.0,10.0,12.0,7.0,9.0,9.0,5.0,8.0,6.0,4.0,nan
WIN_Tim_50,64.5,301.0,59.5,47.5,29.0,1.0,313.0,65.0,315.0,6.0,10.5,nan
WIN_Dur_50,3.0,7.0,3.5,116.0,2.0,4.0,2.5,7.0,17.0,5.0,12.5,nan
WIN_Fre_50,6.0,3.0,6.0,2.0,9.0,7.0,6.0,7.0,3.0,7.0,6.0,nan
