Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,1770.8328767123287,nan,319.613698630137,319.8109589041096,345.16712328767125,296.84109589041094,1733.1612021857923,311.7671232876712,1962.7205479452055,2178.2109589041097,952.6174863387978,322.0931506849315,nan,356.05494505494505,500.54371584699453,581.7671232876712,546.2109589041096,538.9753424657534,547.6010928961749,860.4958904109589,551.9287671232877,2866.2,1442.308743169399,3854.7671232876714,1078.7123287671234,653.7972602739726,541.983606557377,533.9671232876713,548.7616438356164,536.9041095890411,593.3087431693989,544.0356164383562,2481.7068493150687,nan,586.6967213114754,556.613698630137,590.4191780821918,1145.0328767123287,790.3142076502733,1468.813698630137,987.2328767123288,1089.9123287671232,1390.207650273224
Std,5722.834690070825,nan,20.98678850609562,30.6208790871001,116.50448642639455,10.953548691452031,7551.257572587878,15.513423747904922,6270.5576989732845,6430.127267058159,3703.734528118369,12.554629433407056,nan,77.63150666575255,83.11715348638222,229.29836521219423,14.891457159753605,17.66234118444081,71.25406247766232,2577.22527294712,19.450403943067823,9666.32933695159,3103.3135455597626,13605.338876248148,1878.142291715458,845.0413769512219,20.70795507495094,28.832611173235627,95.1262213107377,37.734314307563125,243.87050957974125,46.7370533530608,7070.708014311701,nan,103.56816260893157,93.78349493347203,124.35050843189043,2465.8288665110404,655.4721046406758,631.608634093663,290.12789435610176,440.3945279620994,1106.746662728467
CV,3.231719246536497,nan,0.06566298189359503,0.09574680990303806,0.33753065853058284,0.03690037815887834,4.356927424329912,0.04975965260323649,3.1948295978956365,2.9520222734960675,3.8879556393122288,0.03897825646621054,nan,0.21803237883347681,0.16605373487855224,0.39414115379430126,0.027263197336119146,0.032770221182359706,0.1301203803316223,2.995046579149006,0.0352407866769573,3.3725243656938075,2.151629157249918,3.5294839976336534,1.7410965292869278,1.292512875623108,0.03820771481721689,0.05399697830778665,0.17334706676262002,0.07028129163780446,0.41103474773860266,0.0859080764951287,2.849131039092373,nan,0.17652759738868146,0.16848937632020086,0.21061393844930235,2.1535004947552614,0.8293816538987652,0.43001276110286935,0.29387989521001595,0.40406417685013324,0.7961016920824403
SP_Tim,97.0,nan,328.0,212.0,306.0,85.0,55.0,127.0,108.0,77.0,1.0,149.0,nan,216.0,273.0,172.0,24.0,242.0,188.0,85.0,138.0,71.0,52.0,3.0,35.0,50.0,235.0,197.0,226.0,214.0,58.0,184.0,365.0,nan,219.0,167.0,307.0,78.0,171.0,206.0,211.0,195.0,184.0
SP_Mag,37200.0,nan,332.0,366.0,713.0,309.0,40100.0,341.0,30400.0,43000.0,30400.0,356.0,nan,653.0,625.0,2420.0,575.0,624.0,933.0,23400.0,602.0,70000.0,21400.0,126000.0,10000.0,7970.0,601.0,628.0,782.0,653.0,2770.0,762.0,52800.0,nan,987.0,1380.0,2030.0,18000.0,5100.0,2580.0,1820.0,2200.0,4030.0
SP_Dur,22.0,nan,298.0,41.0,29.0,260.0,21.0,142.0,22.0,26.0,22.0,100.0,nan,18.0,1.0,27.0,221.0,19.0,29.0,26.0,38.0,76.0,112.0,56.0,76.0,37.0,40.0,58.0,36.0,35.0,28.0,54.0,132.0,nan,42.0,59.0,22.0,113.0,84.0,50.0,48.0,60.0,75.0
SP_ROC,0.006711409395973154,nan,0.006920415224913495,0.006993006993006993,0.013138686131386862,0.006921161030750071,0.015527950310559006,0.006329113924050633,0.00789708253628051,0.011904761904761904,0.006688963210702341,0.012084592145015106,nan,0.014285714285714285,nan,0.010830324909747292,0.009017315848359483,0.016340861393065034,0.0054466230936819175,0.014712839436086669,0.007834263956303298,0.13926940639269406,0.003875968992248062,0.20591920978917883,0.011456059980469646,0.022988505747126436,0.009345794392523364,0.006279434850863423,0.005758157389635317,0.0037105751391465678,0.10232558139534884,0.007632218240710659,0.009757050375772007,nan,0.009651150433072957,0.06436824368681343,0.06122063021766735,0.009992234732930278,0.03584834834834835,0.0061487401196558805,0.060927481661723175,0.01015228426395939,0.009148156084089233
SU_BFL_Tim,119.0,nan,261.0,253.0,335.0,345.0,76.0,269.0,130.0,103.0,23.0,249.0,nan,234.0,274.0,199.0,245.0,261.0,217.0,111.0,176.0,147.0,164.0,59.0,111.0,87.0,275.0,255.0,262.0,249.0,86.0,238.0,132.0,nan,261.0,226.0,329.0,191.0,255.0,256.0,259.0,255.0,259.0
SU_BFL_Mag_10,nan,nan,288.0,269.0,282.0,296.8,295.0,300.2,294.0,302.4,299.0,nan,nan,333.0,541.0,527.0,525.0,523.0,524.0,522.0,545.0,520.0,524.0,547.0,521.0,510.0,516.0,513.0,515.1,525.0,519.0,535.0,nan,nan,522.0,553.0,558.0,570.8000000000001,557.0,716.0,709.0,712.0,712.0
SU_BFL_Mag_50,nan,nan,296.0,279.0,309.0,311.0,303.0,326.0,304.0,314.0,313.0,nan,nan,347.0,558.0,536.0,534.0,540.0,528.0,528.0,554.0,562.0,551.0,566.0,538.0,523.0,524.0,519.0,523.0,530.0,527.0,568.0,nan,nan,525.0,559.0,580.0,592.0,1220.0,899.5,850.0,725.5,725.0
SU_BFL_Dur_Fl,nan,nan,22.0,27.0,nan,nan,200.0,61.0,228.0,227.0,254.0,nan,nan,107.0,nan,nan,47.0,14.0,nan,194.0,nan,257.0,nan,nan,nan,191.0,9.0,nan,71.0,nan,247.0,nan,nan,nan,14.0,nan,nan,nan,73.0,20.0,158.0,200.0,196.0
SU_BFL_Dur_Wet,nan,nan,226.0,39.0,354.0,99.0,365.0,193.0,271.0,245.0,401.0,nan,nan,114.0,257.0,100.0,338.0,287.0,226.0,284.0,255.0,260.0,195.0,337.0,299.0,412.0,273.0,292.0,302.0,143.0,456.0,121.0,nan,nan,264.0,76.0,475.0,339.0,270.0,266.0,231.0,254.0,250.0
SU_BFL_No_Flow,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,321.0,nan,276.0,283.0,278.0,nan,nan,276.0,328.0,357.0,329.0,277.0,nan,294.0,340.0,nan,nan,291.0,274.0,nan,303.0,nan,38.0,nan,nan,nan,277.0,284.0,nan,332.0,nan,333.0,nan,nan,44.0,275.0,nan,nan,nan,328.0,274.0,51.0,89.0
FAFL_Mag,8759.92240282804,nan,329.13671740498177,338.2794618368069,692.8288482675913,nan,nan,315.99764157529694,27399.827202526383,10499.879742532506,10399.724694361843,316.19549177910153,nan,344.9997968133589,464.9997870059281,nan,nan,536.0108634398906,594.0340111369181,nan,540.9816134833734,nan,10000.059804129207,nan,nan,nan,545.9964704711025,530.0075459739774,nan,534.9974452854465,nan,547.00476698477,nan,nan,601.7504618747603,821.999292476709,nan,nan,nan,2399.7592240062145,968.9994639821804,899.0106180141449,2219.8991426395705
FAFL_Tim_Wet,85.0,nan,58.0,122.0,290.0,323.0,8.0,76.0,95.0,35.0,347.0,59.0,nan,165.0,347.0,166.0,297.0,217.0,182.0,78.0,28.0,65.0,41.0,359.0,29.0,44.0,133.0,183.0,180.0,198.0,26.0,177.0,357.0,nan,175.0,160.0,300.0,73.0,164.0,160.0,155.0,124.0,143.0
FAFL_Dur,2.0,nan,0.0,4.0,3.0,nan,nan,1.0,2.0,8.0,3.0,2.0,nan,2.0,4.0,nan,nan,2.0,-1.0,nan,5.0,nan,6.0,nan,nan,nan,3.0,4.0,nan,4.0,nan,4.0,nan,nan,4.0,0.0,nan,nan,nan,5.0,-1.0,10.0,4.0
Wet_BFL_Mag,271.0,nan,324.0,288.3,668.7,295.0,291.6,295.0,321.0,310.0,293.6,306.6,nan,316.0,467.0,536.0,545.0,525.0,517.5,540.5999999999999,531.0,525.0,515.0,1518.0,889.0,527.5,516.0,516.0,614.5,515.0,520.0,517.0,10942.0,nan,530.4,518.8,560.5999999999999,917.5999999999999,593.0,884.6000000000001,942.5,688.0,728.0
WIN_Tim_2,16.0,nan,nan,nan,nan,nan,30.5,nan,364.0,43.0,345.0,nan,nan,nan,nan,nan,nan,nan,nan,83.0,nan,98.0,96.5,13.0,60.0,49.0,nan,nan,nan,nan,nan,nan,81.0,nan,nan,nan,nan,76.0,nan,nan,nan,nan,nan
WIN_Dur_2,11.0,nan,nan,nan,nan,nan,8.0,nan,6.0,6.5,3.0,nan,nan,nan,nan,nan,nan,nan,nan,6.0,nan,9.0,3.5,10.0,7.5,5.0,nan,nan,nan,nan,nan,nan,8.5,nan,nan,nan,nan,18.0,nan,nan,nan,nan,nan
WIN_Fre_2,3.0,nan,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WIN_Tim_5,15.0,nan,nan,nan,nan,nan,30.5,nan,45.5,42.5,344.0,nan,nan,nan,nan,171.0,nan,nan,nan,83.0,nan,98.0,48.0,362.0,59.0,56.0,nan,nan,nan,nan,43.0,nan,76.0,nan,nan,nan,307.0,123.5,167.0,58.0,199.5,147.0,143.0
WIN_Dur_5,13.0,nan,nan,nan,nan,nan,9.0,nan,5.5,8.0,4.0,nan,nan,nan,nan,6.0,nan,nan,nan,7.0,nan,9.0,7.0,6.0,9.5,5.0,nan,nan,nan,nan,3.5,nan,13.0,nan,nan,nan,2.0,12.0,12.0,52.0,2.5,31.5,5.0
WIN_Fre_5,3.0,nan,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,3.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,nan,0.0,0.0,1.0,2.0,1.0,3.0,4.0,2.0,5.0
WIN_Tim_10,15.0,nan,nan,nan,nan,nan,30.5,nan,45.5,42.5,343.5,nan,nan,nan,nan,171.0,nan,nan,187.0,80.5,nan,93.5,87.5,24.0,18.0,55.5,nan,nan,238.0,nan,42.0,nan,59.0,nan,241.0,194.5,305.0,123.0,184.0,60.0,82.5,92.0,106.0
WIN_Dur_10,13.0,nan,nan,nan,nan,nan,9.0,nan,6.0,8.5,3.5,nan,nan,nan,nan,7.0,nan,nan,11.0,4.0,nan,8.0,8.5,18.0,1.0,5.5,nan,nan,3.0,nan,8.5,nan,15.0,nan,4.0,1.5,5.0,13.0,17.0,143.5,8.5,6.0,65.5
WIN_Fre_10,3.0,nan,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,4.0,3.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,nan,3.0,4.0,1.0,2.0,3.0,2.0,10.0,3.0,2.0
WIN_Tim_20,15.0,nan,nan,nan,278.0,nan,30.5,nan,45.5,42.5,343.5,nan,nan,192.0,194.5,171.0,184.0,239.0,186.0,80.5,134.5,55.5,86.5,339.0,3.5,63.0,nan,206.0,177.5,205.0,185.0,211.0,177.0,nan,196.0,197.0,175.5,59.0,144.0,327.0,274.0,274.0,274.0
WIN_Dur_20,13.0,nan,nan,nan,36.0,nan,9.0,nan,6.0,8.5,3.5,nan,nan,2.0,1.0,7.0,1.0,2.0,13.0,4.0,1.0,4.0,9.5,58.0,73.5,5.0,nan,7.0,32.5,13.0,6.0,3.0,2.0,nan,4.0,3.0,1.5,1.0,21.0,313.0,365.0,365.0,365.0
WIN_Fre_20,3.0,nan,0.0,0.0,1.0,0.0,2.0,0.0,6.0,4.0,4.0,0.0,nan,7.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,6.0,4.0,2.0,2.0,3.0,0.0,3.0,2.0,3.0,9.0,7.0,13.0,nan,5.0,9.0,14.0,21.0,7.0,1.0,1.0,1.0,1.0
WIN_Tim_50,15.0,nan,nan,nan,278.0,nan,30.5,nan,45.5,42.5,343.5,nan,nan,192.0,69.0,207.0,163.0,96.0,223.5,90.5,363.5,135.0,85.0,56.0,209.0,76.0,82.0,56.0,49.5,197.0,76.0,41.0,80.0,nan,17.0,40.5,274.0,274.0,62.5,275.0,274.0,274.0,274.0
WIN_Dur_50,13.0,nan,nan,nan,37.0,nan,9.0,nan,6.0,8.5,3.5,nan,nan,4.0,6.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,7.0,62.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,7.0,nan,2.0,1.0,365.0,365.0,181.0,365.0,365.0,365.0,365.0
WIN_Fre_50,3.0,nan,0.0,0.0,1.0,0.0,2.0,0.0,6.0,4.0,4.0,0.0,nan,7.0,3.0,17.0,15.0,44.0,20.0,26.0,16.0,13.0,11.0,5.0,13.0,15.0,15.0,15.0,12.0,19.0,34.0,13.0,6.0,nan,17.0,22.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
