Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,1.1556164383561645,0.2819672131147541,0.00027397260273972606,11.038082191780822,0.9087671232876712,0.2762295081967213,1.5964383561643838,9.308767123287671,11.146301369863012,0.7571038251366119,29.815890410958904,1.8161643835616437,2.695150684931507,2.2414207650273226,12.274904109589041,2.6900821917808218,4.308164383561644,1.0916666666666668,0.2706027397260274,25.293890410958905,4.201780821917809,12.625355191256832,1.4154520547945204
Std,5.631477332705058,0.9435732914310734,0.005227064117353128,77.64354308391253,6.312299788270619,2.097294117188301,8.374639696991101,52.285432423242845,53.104349782030006,3.3892938679976647,158.66390417237585,9.440271186918682,10.802481084456188,19.24310676815769,53.56773473060895,15.753422319856883,20.359161208744897,10.552519172378906,0.9343374583200071,123.25798263599333,13.19017340154859,67.99092944775002,5.60930959305287
CV,4.873137094446054,3.3463936498427604,19.078784028338916,7.034151561376077,6.9460036862188,7.592578109702455,5.245827165611381,5.61679454763035,4.764302347468527,4.476656642681868,5.321454499110264,5.197916704216804,4.008117670322658,8.58522731135808,4.36400433374973,5.8561118942719705,4.725715965348931,9.666429776224952,3.452801177349424,4.8730337893213225,3.1391864451245293,5.385268645339525,3.9629103465939486
SP_Tim,56.0,33.0,nan,50.0,45.0,92.0,105.0,3.0,29.0,73.0,61.0,67.0,360.0,1.0,47.0,13.0,72.0,45.0,4.0,67.0,92.0,54.0,69.0
SP_Mag,23.0,12.0,nan,179.0,66.0,38.0,49.0,171.0,109.0,7.1,1570.0,43.0,38.0,53.0,753.0,21.0,60.0,82.0,12.0,1730.0,78.0,462.0,69.0
SP_Dur,109.0,130.0,nan,36.0,152.0,27.0,38.0,20.0,144.0,57.0,27.0,30.0,88.0,36.0,62.0,89.0,21.0,51.0,197.0,70.0,76.0,45.0,84.0
SP_ROC,0.13513513513513511,0.2,nan,0.08108108108108115,0.18518518518518517,0.4722222222222222,0.11507936507936506,0.06666666666666667,0.07142857142857142,0.11111111111111108,0.09090909090909091,0.1250000000000001,0.07953826691967104,0.10714285714285708,0.1,0.08714900075891732,0.07453703703703704,0.10416666666666664,0.1666666666666666,0.08333333333333333,0.06904761904761901,0.08695652173913043,0.10172413793103441
SU_Tim,165.0,163.0,nan,86.0,197.0,119.0,143.0,23.0,173.0,130.0,88.0,97.0,83.0,37.0,109.0,102.0,93.0,96.0,201.0,137.0,168.0,99.0,153.0
SU_Mag_10,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.0
SU_Mag_50,0.0,nan,nan,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.9,0.0,0.0,0.0,0.44,0.07,0.0,0.02,0.0,0.7,0.01,0.15,0.03
SU_Dur_Fl,211.0,nan,nan,nan,128.0,236.0,nan,nan,153.0,nan,nan,nan,nan,347.0,nan,237.0,313.0,179.0,nan,nan,nan,296.0,243.0
SU_Dur_Wet,220.0,nan,nan,313.0,253.0,338.0,177.0,310.0,248.0,252.0,330.0,235.0,271.0,350.0,258.0,303.0,540.0,268.0,180.0,257.0,238.0,304.0,251.0
SU_No_Flow,202.0,nan,nan,199.0,149.0,230.0,114.0,146.0,2.0,185.0,0.0,148.0,145.0,187.0,8.0,141.0,305.0,120.0,162.0,0.0,118.0,0.0,80.0
FA_Tim,6.0,10.0,nan,nan,nan,324.0,355.0,nan,nan,325.0,nan,nan,nan,nan,19.0,nan,338.0,40.0,275.0,nan,nan,nan,30.0
FA_Mag,25.775879680322113,2.709739960226077,nan,nan,nan,8.20871021147546,98.65549605285774,nan,nan,6.551944850610298,nan,nan,nan,nan,383.8239673126658,nan,177.75181837577642,87.68669588349545,2.4454299389236045,nan,nan,nan,20.947710504138946
FA_Tim_Wet,38.0,19.0,nan,34.0,33.0,84.0,92.0,318.0,332.0,55.0,17.0,51.0,331.0,353.0,22.0,365.0,39.0,267.0,364.0,14.0,28.0,40.0,38.0
FA_Dur,3.0,33.0,nan,nan,nan,16.0,3.0,nan,nan,10.0,nan,nan,nan,nan,7.0,nan,4.0,9.0,4.0,nan,nan,nan,3.0
Tim_2,47.0,nan,nan,44.5,40.0,nan,45.0,326.0,46.5,68.0,46.0,61.0,344.0,359.5,38.0,6.0,40.0,156.5,nan,60.0,52.0,46.0,63.0
Dur_2,1.0,nan,nan,6.5,2.0,nan,1.5,4.0,2.5,1.0,8.0,2.0,1.0,2.0,3.0,3.0,2.0,1.5,nan,1.5,1.0,7.0,1.0
Fre_2,1.0,0.0,nan,2.0,1.0,0.0,2.0,3.0,6.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,0.0,8.0,3.0,3.0,2.0
Tim_5,47.0,nan,nan,39.0,40.0,92.0,95.0,360.5,79.0,68.0,58.0,61.0,352.0,358.0,38.0,17.0,49.5,156.5,nan,23.5,65.5,29.0,61.0
Dur_5,1.0,nan,nan,1.0,2.0,1.0,1.0,6.5,3.0,1.0,32.0,2.5,4.0,9.0,13.0,2.0,2.5,1.5,nan,6.5,3.5,5.0,2.0
Fre_5,4.0,0.0,nan,3.0,1.0,1.0,3.0,4.0,9.0,1.0,2.0,2.0,3.0,1.0,4.0,5.0,4.0,2.0,0.0,6.0,4.0,3.0,3.0
Tim_10,46.5,32.0,nan,5.0,57.5,21.0,94.0,17.5,21.0,13.5,20.0,59.0,17.5,357.0,361.0,4.0,48.5,156.5,5.0,6.0,60.5,29.0,61.0
Dur_10,3.0,2.0,nan,21.5,2.0,1.0,3.0,11.0,20.5,2.0,95.0,16.0,7.5,14.0,6.5,3.0,2.5,2.0,1.5,3.0,4.0,9.0,2.0
Fre_10,4.0,1.0,nan,2.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,5.0,6.0,2.0,2.0,5.0,8.0,3.0,5.0
Tim_20,41.0,32.0,nan,117.0,82.0,21.0,44.5,320.0,323.5,352.0,20.0,16.0,350.0,27.0,321.0,15.0,29.5,63.0,66.5,4.0,132.0,80.5,61.0
Dur_20,3.0,2.0,nan,2.0,3.0,2.0,5.0,135.0,105.0,2.0,135.0,3.0,13.0,2.0,4.0,16.0,14.5,1.0,2.0,6.0,2.0,71.5,4.0
Fre_20,3.0,3.0,nan,6.0,5.0,3.0,4.0,1.0,2.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,9.0,2.0,7.0
Tim_50,365.5,87.0,nan,4.5,38.0,52.0,50.0,146.0,335.0,309.0,1.0,288.0,77.5,40.0,119.5,296.0,337.0,185.0,103.0,220.0,274.0,358.0,13.0
Dur_50,123.0,26.0,nan,6.5,2.0,7.0,26.0,13.0,2.0,8.0,17.0,234.0,107.0,48.5,28.0,11.0,208.0,4.0,8.0,26.5,284.0,213.0,36.0
Fre_50,2.0,3.0,nan,4.0,3.0,6.0,5.0,3.0,3.0,5.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0,6.0,4.0,1.0,1.0,3.0
