Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,13.385655737704917,5.972630136986301,19.65454794520548,2.124493150684932,0.32278688524590166,1.7746575342465754,0.824082191780822,3.331260273972603,6.058224043715847,15.102000000000002,0.8078082191780821,20.431835616438356,13.654426229508195,22.483506849315074,28.646136986301375,11.19895890410959,12.45860655737705,2.353013698630137,5.642246575342466,1.9793972602739724,2.8722131147540986,15.305561643835619,20.53172602739726,2.502794520547945,4.079453551912567,2.6269041095890415,6.673452054794522,17.495424657534247,2.456666666666666,3.217671232876713,0.1350958904109589,2.2877808219178086
Std,47.2313717751376,31.033234931966952,101.11420273191456,11.994761645605326,0.7545562104977208,10.26433272320126,1.9083810951179054,19.404356199255876,36.28427042368791,44.80083550590768,3.0012906112342956,67.26339545297567,48.274749410864025,83.07107243093287,95.73206533209424,44.95489240001517,53.35491722719296,8.691934394618974,20.719493472269537,6.730140642019478,13.159413002357057,50.02847594079324,65.55088860379284,12.019857172081133,17.107305320529292,16.96635348828484,21.504162352769672,53.1588863912132,13.215869779378915,17.842484601888398,0.4930478918743507,20.32035626254846
CV,3.5285063877816283,5.1959077023352815,5.144570254874791,5.645940370171701,2.337629702405331,5.783838585825488,2.315765483287461,5.824929487156446,5.989258594905436,2.9665498282285574,3.7153504259810686,3.292087735810637,3.5354652476380757,3.6947560266143937,3.341883946790922,4.014202818756522,4.282575020045094,3.6939582628350998,3.6722063092416217,3.4000959671369584,4.5816283390529975,3.2686468556312294,3.1926633209659343,4.802574511570206,4.19352864368535,6.458687786262246,3.2223446240720452,3.038445046735165,5.379594211416113,5.545154650848707,3.6496142878551616,8.882125450074472
SP_Tim,363.0,45.0,52.0,70.0,17.0,75.0,66.0,89.0,55.0,22.0,55.0,85.0,56.0,27.0,43.0,52.0,62.0,69.0,6.0,4.0,61.0,88.0,98.0,61.0,38.0,68.0,66.0,89.0,108.0,365.0,65.0,43.0
SP_Mag,430.0,104.0,1400.0,20.0,10.0,39.0,5.8,249.0,248.0,397.0,42.0,407.0,442.0,482.0,457.0,162.0,340.0,107.0,205.0,34.0,203.0,118.0,600.0,158.0,237.0,276.0,202.0,219.0,130.0,104.0,7.08,356.0
SP_Dur,124.0,89.0,54.0,60.0,165.0,63.0,115.0,34.0,51.0,104.0,29.0,82.0,69.0,42.0,122.0,92.0,33.0,26.0,127.0,163.0,56.0,59.0,53.0,30.0,62.0,31.0,103.0,40.0,32.0,41.0,91.0,24.0
SP_ROC,0.0634920634920634,0.09090909090909098,0.10263157894736842,0.09918032786885242,0.10256410256410266,0.09353146853146857,0.09491634491634486,0.0944940476190477,0.08722109533468558,0.10389610389610388,0.09384164222873909,0.09699820788530471,0.08712121212121213,0.09234892787524362,0.13333333333333333,0.0845238095238095,0.08812111801242231,0.0985991379310345,0.08893815915627995,0.09165916591659166,0.06770492270022495,0.09636699507389157,0.0677618069815196,0.09018567639257291,0.07912989131263247,0.08038801655234967,0.12499999999999993,0.05638813200121108,0.10327052968361178,0.07350999622783858,0.16219178082191782,0.10275229357798166
SU_BFL_Tim,122.0,134.0,106.0,130.0,182.0,138.0,181.0,123.0,106.0,126.0,84.0,167.0,125.0,69.0,165.0,144.0,95.0,95.0,133.0,167.0,117.0,147.0,151.0,91.0,100.0,99.0,169.0,129.0,140.0,41.0,156.0,67.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU_BFL_Mag_50,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.155,0.0,0.26,0.0,0.0,0.0,0.0,0.305,0.11,0.0,0.0,0.0,0.06,0.1,0.0,0.0,0.0,0.0
SU_BFL_Dur_Fl,207.0,266.0,304.0,nan,nan,161.0,248.0,177.0,261.0,265.0,287.0,215.0,215.0,nan,nan,247.0,nan,243.0,nan,193.0,226.0,215.0,257.0,280.0,nan,nan,184.0,260.0,nan,366.0,191.0,280.0
SU_BFL_Dur_Wet,274.0,269.0,305.0,230.0,237.0,260.0,254.0,281.0,265.0,275.0,287.0,216.0,217.0,306.0,220.0,249.0,311.0,262.0,213.0,240.0,246.0,284.0,258.0,285.0,315.0,283.0,245.0,307.0,194.0,366.0,241.0,330.0
SU_BFL_No_Flow,120.0,143.0,110.0,169.0,146.0,134.0,219.0,136.0,189.0,129.0,166.0,114.0,131.0,154.0,80.0,138.0,118.0,178.0,148.0,167.0,144.0,132.0,119.0,179.0,193.0,188.0,110.0,111.0,158.0,264.0,183.0,192.0
FAFL_Tim,nan,329.0,33.0,44.0,nan,nan,297.0,63.0,299.0,2.0,24.0,5.0,16.0,340.0,nan,nan,25.0,nan,336.0,nan,359.0,343.0,360.0,42.0,5.0,nan,nan,352.0,23.0,nan,40.0,346.0
FAFL_Mag,nan,65.9683151691056,149.98142581869845,81.55097801544883,nan,nan,2.6315524433148196,71.9418346098458,51.943198969993105,68.94294837946542,4.7239768614305655,197.9508028445459,170.8633421646447,224.8316385566485,nan,nan,402.7937259092568,nan,34.978863584445435,nan,40.19160337085991,71.76571315880959,137.96367108841514,54.89824767648658,68.29400316439553,nan,nan,378.94721447866107,33.84959304307702,nan,2.639874698019181,71.17869110778798
FAFL_Tim_Wet,317.0,31.0,36.0,45.0,359.0,54.0,31.0,69.0,38.0,6.0,34.0,5.0,17.0,342.0,8.0,19.0,27.0,41.0,355.0,345.0,41.0,363.0,64.0,43.0,10.0,50.0,15.0,48.0,70.0,334.0,40.0,31.0
FAFL_Dur,nan,4.0,5.0,4.0,nan,nan,8.0,2.0,9.0,6.0,4.0,3.0,4.0,5.0,nan,nan,3.0,nan,2.0,nan,3.0,2.0,2.0,8.0,3.0,nan,nan,2.0,24.0,nan,43.0,3.0
Wet_BFL_Mag,9.85,2.3,8.84,1.3,0.276,0.68,0.07,1.5,0.13,4.2,0.52,5.77,11.8,11.300000000000002,13.4,11.0,6.86,3.95,0.778,1.1680000000000006,1.544,1.258,4.668,2.2139999999999995,1.734,4.404999999999999,3.15,4.162000000000001,0.34800000000000003,1.99,0.13,0.41
WIN_Tim_2,328.0,3.5,56.5,64.0,nan,62.0,nan,81.5,56.0,18.0,nan,24.0,38.5,356.0,43.5,38.0,54.0,65.0,33.0,350.0,29.0,40.5,70.0,57.0,28.0,62.0,58.5,49.0,90.5,358.0,nan,39.0
WIN_Dur_2,1.0,2.0,1.5,2.0,nan,1.0,nan,1.5,1.5,2.0,nan,4.0,2.0,4.0,2.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.5,2.0,1.0,1.0,nan,2.0
WIN_Fre_2,5.0,2.0,6.0,1.0,0.0,1.0,0.0,2.0,4.0,7.0,0.0,5.0,6.0,5.0,8.0,5.0,5.0,1.0,4.0,1.0,2.0,8.0,11.0,1.0,3.0,1.0,4.0,9.0,2.0,3.0,0.0,1.0
WIN_Tim_5,12.0,350.0,48.5,54.0,nan,66.5,nan,78.0,54.0,40.0,51.0,94.5,40.5,354.0,65.0,39.5,50.5,56.0,57.0,357.5,28.5,55.0,62.0,48.5,30.5,62.0,61.0,48.0,77.0,347.0,nan,9.5
WIN_Dur_5,3.5,2.0,9.0,1.5,nan,1.0,nan,3.0,1.5,5.0,1.0,4.5,4.5,6.5,4.0,2.5,6.0,2.0,1.0,1.5,1.0,2.5,3.0,3.0,2.5,4.0,4.0,3.0,2.0,3.5,nan,2.0
WIN_Fre_5,6.0,7.0,4.0,2.0,0.0,2.0,0.0,3.0,4.0,7.0,1.0,8.0,8.0,6.0,9.0,6.0,4.0,3.0,6.0,2.0,4.0,12.0,8.0,2.0,6.0,1.0,5.0,9.0,3.0,2.0,0.0,2.0
WIN_Tim_10,356.0,350.0,30.0,64.0,nan,71.0,47.0,77.5,35.0,37.0,49.0,91.0,56.0,344.0,75.5,67.0,71.5,54.0,26.0,363.0,34.0,53.0,15.0,48.5,23.0,49.0,75.0,348.0,90.0,352.0,nan,9.5
WIN_Dur_10,3.0,3.0,3.0,1.5,nan,2.0,3.0,4.5,3.0,2.0,1.0,3.0,4.0,3.0,6.5,4.5,1.5,6.0,4.0,2.0,2.0,13.5,6.5,2.5,4.0,2.0,3.5,2.0,3.5,2.0,nan,2.5
WIN_Fre_10,11.0,9.0,7.0,4.0,0.0,3.0,1.0,4.0,4.0,7.0,3.0,10.0,6.0,5.0,8.0,6.0,6.0,3.0,7.0,5.0,5.0,6.0,6.0,4.0,3.0,5.0,8.0,5.0,4.0,5.0,0.0,2.0
WIN_Tim_20,29.5,21.0,341.0,54.0,39.0,34.0,47.0,72.0,20.0,3.0,39.0,85.0,16.0,326.0,341.0,18.0,104.0,51.0,37.0,81.5,41.0,68.0,359.0,41.0,38.5,54.0,73.5,47.0,76.0,337.0,65.0,12.0
