Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Avg,1.505095890410959,18.351726027397262,22.765561643835618,7.473797814207648,3.0616986301369864,11.750767123287671,1.6204109589041094,1.047295081967213,0.6967123287671233,0.7918082191780822,1.3832876712328765,3.1019125683060107,12.82435616438356,1.5204109589041097,0.26407407407407407,nan,nan,23.384356164383558,8.347095890410959
Std,3.654950675845,55.783183654795685,44.97552751934612,13.593944913410812,6.498345067900363,42.928964184881806,8.845790460564205,2.8177645007663594,1.6174534820390756,2.5206986455842464,6.763096651276362,11.433921354647682,44.30982130450913,4.192811277228591,0.7221124323008169,nan,nan,78.37858229210148,24.570204972447122
CV,2.428383931635767,3.039669596827953,1.9755949017635788,1.8188804743377989,2.1224639825538985,3.653290354108472,5.458979656954831,2.690516311289785,2.321551399702173,3.1834711796763084,4.889146915658293,3.6860875678684506,3.455130279956554,2.75768288348218,2.734507106889489,nan,nan,3.351752844556781,2.9435632817724153
SP_Tim,89.0,96.0,87.0,363.0,90.0,55.0,48.0,21.0,89.0,151.0,89.0,52.0,62.0,55.0,nan,nan,nan,42.0,52.0
SP_Mag,15.0,113.0,139.0,99.0,31.0,127.0,165.0,36.0,15.0,17.0,107.0,32.0,151.0,53.0,nan,nan,nan,363.0,119.0
SP_Dur,42.0,56.0,71.0,157.0,98.0,68.0,86.0,179.0,100.0,26.0,33.0,64.0,58.0,129.0,nan,nan,nan,75.0,91.0
SP_ROC,0.1333333333333333,0.08571428571428566,0.06742424242424241,0.07142857142857134,0.08695652173913032,0.08333333333333329,0.09999999999999998,0.19309262166405022,0.15124740124740121,0.19090909090909092,0.10473588342440796,0.1197991391678622,0.09090909090909091,0.1538461538461538,nan,nan,nan,0.1250000000000001,0.08012820512820512
SU_Tim,131.0,152.0,158.0,155.0,188.0,123.0,134.0,200.0,189.0,177.0,122.0,116.0,120.0,184.0,nan,nan,nan,117.0,143.0
SU_Mag_10,0.0,0.20900000000000002,0.21,0.22,0.03,0.376,0.06,0.0,0.020000000000000004,0.020000000000000004,0.03,0.02,0.10700000000000004,nan,nan,nan,nan,0.54,0.46
SU_Mag_50,0.12,0.895,0.79,0.55,0.44,0.62,0.14,0.015,0.3,0.07,0.08,0.07,0.8,nan,nan,nan,nan,1.5,1.1
SU_Dur_Fl,225.0,171.0,157.0,135.0,nan,nan,168.0,115.0,109.0,173.0,178.0,251.0,196.0,nan,nan,nan,nan,269.0,243.0
SU_Dur_Wet,226.0,230.0,163.0,161.0,219.0,277.0,174.0,206.0,293.0,253.0,282.0,254.0,278.0,nan,nan,nan,nan,278.0,252.0
SU_No_Flow,27.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,1.0,0.0,nan,nan,nan,nan,0.0,0.0
FA_Tim,339.0,354.0,322.0,314.0,290.0,nan,nan,301.0,315.0,296.0,349.0,299.0,2.0,314.0,nan,nan,nan,12.0,20.0
FA_Mag,8.389569474601311,138.9668389612919,86.93269982366648,16.987280773265557,12.97697833362383,nan,nan,5.8679096156567025,1.585722443153037,33.81451034101149,11.972319913043844,60.96432697568182,73.94218325286609,6.942348015541331,nan,nan,nan,335.94491842233873,35.996075760458204
