Year,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
Avg,0.006109589041095892,5.7563287671232874,2.7262739726027396,4.312349726775957,0.24367123287671233,1.3799178082191783,3.5571506849315067,0.006775956284153006,0.16397260273972605,1.2880821917808216,0.024821917808219185,0.08937158469945355,0.005589041095890411
Std,0.017725116954874786,22.184412093781226,11.232290283857049,22.87876853482374,1.2353887753087098,9.666040979243913,18.64385299092323,0.011941985035963738,0.28543329103829457,5.813478023779787,0.04477993143513856,0.15602608952779573,0.02056718733738072
CV,2.9011962728830922,3.853916791633817,4.120015228379165,5.305406561245811,5.069899966130865,7.004794721591574,5.2412322789418795,1.762405856114003,1.7407376980614453,4.51328188595049,1.804048010356023,1.745813169280747,3.679913420658805
SP_Tim,4.0,67.0,91.0,56.0,71.0,83.0,67.0,50.0,362.0,80.0,10.0,113.0,360.0
SP_Mag,0.2,226.0,99.0,130.0,6.3,15.0,83.0,0.08,3.3,58.0,0.24,1.8,0.34
SP_Dur,227.0,28.0,21.0,40.0,37.0,46.0,42.0,155.0,155.0,30.0,218.0,162.0,195.0
SP_ROC,0.75,0.21052631578947364,0.2727272727272727,0.18847006651884696,0.10261407933960098,0.07417582417582418,0.21739130434782614,0.5625,0.06666666666666654,0.11818181818181828,0.14285714285714296,0.1583333333333333,0.3333333333333333
SU_Tim,231.0,95.0,112.0,96.0,108.0,129.0,109.0,205.0,152.0,110.0,228.0,275.0,190.0
SU_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
SU_Mag_50,0.0,0.0,0.0,0.0,0.0,0.04,nan,nan,0.0,nan,nan,nan,nan
SU_Dur_Fl,nan,277.0,nan,nan,nan,276.0,nan,nan,nan,nan,nan,nan,nan
SU_Dur_Wet,147.0,279.0,279.0,327.0,328.0,286.0,nan,nan,258.0,nan,nan,nan,nan
SU_No_Flow,140.0,183.0,176.0,213.0,207.0,122.0,nan,nan,172.0,nan,nan,nan,nan
FA_Tim,nan,nan,6.0,nan,nan,nan,39.0,nan,nan,nan,nan,nan,nan
FA_Mag,nan,nan,53.80996463035646,nan,nan,nan,29.880119609480616,nan,nan,nan,nan,nan,nan
FA_Tim_Wet,nan,11.0,8.0,25.0,58.0,69.0,49.0,nan,nan,43.0,nan,nan,nan
FA_Dur,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan
Tim_2,nan,39.0,31.0,57.5,65.0,83.5,59.0,nan,nan,72.5,nan,nan,nan
Dur_2,nan,7.0,3.0,4.0,2.0,3.0,8.0,nan,nan,2.0,nan,nan,nan
Fre_2,0.0,5.0,5.0,4.0,1.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0
Tim_5,nan,30.0,52.0,62.0,63.0,76.0,54.5,nan,362.0,46.0,nan,nan,nan
Dur_5,nan,13.0,6.0,11.0,3.5,2.0,13.0,nan,1.0,6.0,nan,nan,nan
Fre_5,0.0,5.0,7.0,3.0,2.0,5.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0
Tim_10,nan,57.5,75.0,29.0,79.0,57.0,112.0,nan,353.0,3.0,nan,112.0,nan
Dur_10,nan,45.5,24.0,68.0,7.0,3.0,2.5,nan,1.0,1.0,nan,2.0,nan
Fre_10,0.0,2.0,5.0,1.0,3.0,4.0,6.0,0.0,3.0,9.0,0.0,1.0,0.0
Tim_20,nan,69.5,364.0,87.0,61.0,21.0,92.5,nan,346.0,47.5,13.0,69.0,360.0
Dur_20,nan,55.0,6.0,57.0,55.0,117.0,60.0,nan,2.0,44.0,2.5,3.0,1.0
Fre_20,0.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,3.0,4.0,2.0,5.0,1.0
Tim_50,275.0,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0
Dur_50,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
Fre_50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
