Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
Dur_5,4.0,2.0,3.0,3.0,2.0,5.5,6.0,nan,nan,nan,7.5,3.5,nan,4.0,nan,42.0,nan,16.0,2.0,4.0,nan,17.0,16.5,16.0,nan,nan,3.0,10.0,4.0,1.0,7.0,29.5,9.0,nan,3.5,nan,nan,nan,nan,1.0
Fre_5,5.0,1.0,2.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,7.0,2.0,4.0,1.0,5.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0
Tim_10,190.0,118.0,128.0,147.5,171.0,147.0,134.0,132.0,154.0,nan,113.0,156.5,140.0,148.0,127.0,138.0,148.0,120.0,153.5,161.5,198.0,153.5,147.5,143.0,nan,161.0,129.0,128.5,137.5,134.0,117.0,139.0,129.0,133.5,112.0,135.0,136.0,115.5,nan,145.0
Dur_10,2.0,1.0,9.5,5.0,3.0,3.0,30.0,2.0,1.0,nan,3.0,7.0,4.0,4.0,13.5,44.5,1.0,5.0,13.5,2.0,3.5,4.0,9.5,9.0,nan,1.0,3.0,17.5,3.5,5.0,4.0,4.0,30.0,2.5,2.0,2.0,1.0,6.5,nan,5.0
Fre_10,6.0,3.0,2.0,4.0,8.0,5.0,3.0,1.0,3.0,0.0,5.0,6.0,3.0,7.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,0.0,1.0,3.0,2.0,8.0,4.0,5.0,3.0,1.0,4.0,5.0,1.0,1.0,2.0,0.0,4.0
Tim_20,92.0,139.0,128.5,131.5,100.5,128.0,152.5,110.0,128.0,132.5,149.0,116.0,119.0,132.0,137.5,175.0,152.5,90.0,145.5,121.0,144.0,114.0,120.0,129.0,132.0,156.5,118.0,117.5,82.5,113.0,101.0,103.0,114.5,119.0,79.5,139.5,152.5,125.0,124.0,153.0
Dur_20,124.0,4.5,39.5,28.5,4.0,34.0,60.0,5.0,11.0,4.5,24.0,7.5,25.5,7.0,6.5,50.5,9.0,3.0,6.0,2.0,23.0,76.0,2.0,68.0,5.0,4.0,3.0,8.0,8.0,22.0,3.0,2.5,3.5,14.0,6.0,2.5,2.0,18.5,5.0,3.0
Fre_20,1.0,6.0,2.0,2.0,6.0,2.0,2.0,9.0,4.0,4.0,4.0,4.0,2.0,5.0,6.0,2.0,4.0,5.0,6.0,5.0,3.0,1.0,7.0,1.0,3.0,2.0,7.0,4.0,4.0,3.0,7.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0
Tim_50,61.0,31.5,32.0,60.0,167.5,33.0,67.0,47.0,73.0,82.0,61.0,68.0,23.5,343.5,68.0,121.0,158.5,12.5,14.0,42.0,57.5,71.0,361.0,155.0,105.0,104.0,4.5,44.0,365.0,127.0,127.5,284.5,315.0,58.0,8.0,91.0,131.5,231.0,69.0,88.0
Dur_50,4.0,94.0,179.0,2.0,41.0,188.0,4.0,6.0,2.0,3.0,84.0,1.0,3.0,131.5,22.0,31.0,13.0,4.0,7.0,12.0,4.0,2.0,17.0,3.0,2.0,5.0,6.5,9.0,2.0,4.0,30.5,178.0,10.0,5.0,4.5,3.0,9.0,3.0,2.0,4.0
Fre_50,3.0,2.0,1.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,6.0,2.0,3.0,5.0,4.0,10.0,7.0,7.0,6.0,13.0,7.0,6.0,12.0,5.0,8.0,3.0,5.0,4.0,4.0,2.0,7.0,5.0,8.0,3.0,4.0,6.0,6.0,3.0
