Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,117.59506849315068,97.86383561643837,78.34986301369862,192.86420765027324,113.20712328767122,156.94602739726028,76.11945205479452,69.09016393442623,56.22493150684931,125.36986301369863,138.31534246575342,83.12786885245902,181.79506849315067,83.3158904109589,193.3312328767123,86.0546174863388,219.24849315068494,138.59260273972603,127.9745205479452,101.74150273224043,131.24575342465755,173.48709589041093,128.26035616438355,48.456092896174866,25.316273972602737,153.2085205479452,119.1912602739726,184.54863387978142,73.62082191780821
Std,174.60615792874873,178.51803379705788,136.73502274540607,362.2068429119486,179.06466668041566,268.7818343642636,105.2299734878219,111.6187319584703,94.06225952044315,197.31446182473982,294.90572951174636,102.94629768444138,376.15014967293035,139.24838837596312,291.26733868759,125.88059079998882,329.4297807052933,191.12617284213206,158.53757303278707,142.25187076543628,238.54880771039035,243.2994645936693,260.152146756595,56.996400234160156,41.60118274571947,219.53696945199772,202.87639751606554,284.85951591900374,133.1251853095725
CV,1.484808505714835,1.8241471190310865,1.745185217764828,1.878040758961091,1.5817438115214135,1.7125749458055768,1.382432093863106,1.6155517023292654,1.6729635234679567,1.5738587973345723,2.13212593957004,1.2384089608643456,2.069088852578541,1.6713304951686283,1.506571568150769,1.4627987954274786,1.502540683273399,1.3790503177219564,1.2388213868978046,1.3981695467955644,1.8175735327492388,1.4024066939673585,2.028312991920697,1.1762483689364782,1.6432585139005944,1.4329292435357448,1.7021079989399774,1.5435471394741767,1.808254537801767
SP_Tim,173.0,142.0,162.0,159.0,158.0,147.0,136.0,158.0,162.0,165.0,147.0,144.0,154.0,128.0,173.0,153.0,148.0,146.0,163.0,153.0,144.0,151.0,156.0,139.0,157.0,154.0,145.0,174.0,151.0
SP_Mag,1280.0,592.0,494.0,890.0,690.0,1150.0,422.0,280.0,197.0,548.0,878.0,475.0,689.0,493.0,1010.0,399.0,1360.0,594.0,561.0,486.0,1320.0,965.0,1370.0,279.0,196.0,790.0,1030.0,645.0,380.0
SP_Dur,52.0,49.0,95.0,80.0,54.0,78.0,117.0,66.0,39.0,37.0,60.0,50.0,59.0,64.0,51.0,59.0,89.0,70.0,47.0,59.0,52.0,58.0,55.0,57.0,87.0,83.0,48.0,76.0,63.0
SP_ROC,0.08358283433133731,0.0855921855921856,0.06711409395973154,0.09882382382382382,0.09807692307692309,0.08838905382728798,0.06421703296703299,0.10195852534562211,0.11764705882352941,0.09566645807259073,0.08571428571428572,0.07304369918699187,0.09956819913639828,0.07462686567164178,0.09105612162380722,0.078125,0.07547169811320754,0.09090909090909091,0.08275862068965517,0.09375,0.08098151848151848,0.09614814814814815,0.08180628272251309,0.07482517482517483,0.075,0.08208955223880597,0.09889214727924406,0.07792207792207792,0.09574718045112782
SU_Tim,225.0,191.0,257.0,239.0,212.0,225.0,253.0,224.0,201.0,202.0,207.0,194.0,213.0,192.0,224.0,212.0,237.0,216.0,210.0,212.0,196.0,209.0,211.0,196.0,244.0,237.0,193.0,250.0,214.0
SU_Mag_10,5.8,0.4,0.8,2.2,2.5,2.2,1.7999999999999998,0.4,1.8,1.4700000000000002,4.8,0.0,6.5,3.32,1.1,2.0,3.6,2.0,6.4,3.99,9.6,1.6,2.0100000000000002,0.63,1.2,2.38,5.4,3.2,3.3
SU_Mag_50,12.0,2.5,2.1,6.7,4.7,5.3,2.5,0.7,8.45,12.0,42.0,19.0,19.5,35.0,2.4,42.5,44.0,21.0,8.8,25.0,49.0,13.0,33.0,2.8,3.2,26.0,22.0,5.2,5.7
SU_Dur_Fl,210.0,223.0,101.0,183.0,211.0,56.0,180.0,195.0,nan,196.0,107.0,nan,nan,146.0,193.0,174.0,120.0,115.0,nan,256.0,122.0,nan,75.0,273.0,184.0,199.0,186.0,186.0,223.0
SU_Dur_Wet,213.0,269.0,197.0,197.0,267.0,203.0,188.0,223.0,260.0,268.0,260.0,257.0,236.0,303.0,195.0,254.0,209.0,232.0,221.0,260.0,256.0,284.0,242.0,276.0,205.0,229.0,272.0,209.0,246.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
