Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,2.3945205479452056,3.8147945205479448,1.0745901639344262,7.961095890410959,1.4405479452054792,11.493698630136988,1.5065300546448086,10.768630136986301,2.659945205479452,3.7483561643835617,0.4742896174863388,14.267424657534246,7.745150684931506,7.189452054794521,0.3836065573770492,0.23317808219178082,7.429479452054795,2.245150684931507,7.849508196721313,2.5361369863013694,15.135671232876714,29.394301369863015,7.730382513661201,2.5504383561643835,9.609123287671235,0.8947945205479453
Std,9.690343879148621,12.60973967006533,4.338068143142528,28.795038935416898,3.7524274847787766,30.112582156440094,5.712044721408432,27.88303570838828,8.969499489541654,10.495544444582922,0.7451947434994411,33.37579890087608,21.12852014712415,18.88415737330517,0.31155716499677216,0.2000089958569846,21.75270012533452,6.300926506499481,36.459947967174315,9.830512752015334,42.93477197823949,55.638335171680865,15.452165139680474,5.349751019648245,37.722705873378935,2.292663647728077
CV,4.046882741292044,3.305483323451484,4.036951284999149,3.616969237878439,2.6048612246942824,2.6199209780464896,3.7915239087315444,2.5892834421548443,3.3720617518979727,2.800039266361705,1.5711808060417964,2.339300869078093,2.727967602777634,2.626647654004682,0.8121789343932949,0.8577521265162658,2.9278902062671843,2.806460407663775,4.644870360464544,3.87617577643228,2.8366612433401293,1.8928272685101124,1.9988875210732806,2.0975809929763454,3.925717752188505,2.562223611208659
SP_Tim,69.0,109.0,28.0,12.0,41.0,115.0,81.0,60.0,67.0,359.0,41.0,49.0,97.0,88.0,62.0,77.0,68.0,91.0,57.0,90.0,98.0,88.0,363.0,92.0,54.0,86.0
SP_Mag,91.0,81.0,19.0,218.0,13.0,76.0,20.0,219.0,38.0,60.0,3.2,213.0,68.0,199.0,1.9,1.6,205.0,29.0,136.0,40.0,171.0,185.0,102.0,50.0,310.0,12.0
SP_Dur,35.0,50.0,25.0,123.0,74.0,33.0,140.0,28.0,29.0,156.0,113.0,75.0,53.0,60.0,133.0,129.0,85.0,58.0,32.0,42.0,42.0,67.0,154.0,106.0,62.0,70.0
SP_ROC,0.1250000000000001,0.15,0.13888888888888884,0.11111111111111108,0.12121212121212119,0.07968253968253969,0.12500000000000006,0.13392857142857142,0.10977443609022554,0.09413067552602439,0.08333333333333323,0.12355072463768116,0.06666666666666662,0.08695652173913038,0.1143790849673203,0.14285714285714296,0.09259259259259259,0.10763888888888894,0.188235294117647,0.10263157894736841,0.07692307692307693,0.08333333333333333,0.057189542483660115,0.0701754385964911,0.11634199134199139,0.0869565217391305
SU_BFL_Tim,104.0,159.0,53.0,135.0,115.0,148.0,221.0,88.0,96.0,150.0,154.0,124.0,150.0,148.0,195.0,206.0,153.0,149.0,89.0,132.0,140.0,155.0,152.0,198.0,116.0,156.0
SU_BFL_Mag_10,0.0,0.1,0.1,0.1,0.1,0.4,0.17,0.23,0.17,0.248,0.0,0.08,0.18,nan,nan,0.01,0.09700000000000003,0.0,0.12,0.04200000000000003,0.34,0.79,0.266,0.11,0.34,0.08
SU_BFL_Mag_50,0.3,0.2,0.2,0.4,0.2,0.6,0.34,0.41,0.355,0.49,0.1,0.56,0.495,nan,nan,0.09,0.22,0.25,0.415,0.44,1.2,2.2,0.61,0.23,0.6,0.48
SU_BFL_Dur_Fl,294.0,nan,nan,196.0,nan,nan,164.0,nan,nan,nan,165.0,213.0,nan,nan,nan,166.0,228.0,230.0,306.0,234.0,195.0,167.0,166.0,nan,nan,nan
SU_BFL_Dur_Wet,348.0,222.0,302.0,222.0,268.0,238.0,165.0,291.0,234.0,209.0,225.0,232.0,248.0,nan,nan,167.0,258.0,255.0,342.0,283.0,244.0,167.0,247.0,209.0,281.0,241.0
SU_BFL_No_Flow,84.0,4.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,nan,nan,13.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,32.0,nan,nan,329.0,nan,nan,20.0,nan,nan,nan,319.0,335.0,nan,nan,nan,5.0,15.0,13.0,30.0,364.0,334.0,321.0,318.0,nan,nan
FAFL_Mag,nan,26.958868598708285,nan,nan,4.265449070827179,nan,nan,75.91444421902173,nan,nan,nan,22.981844425396556,34.951887557277814,nan,nan,nan,61.966705296491476,10.910984200392765,104.98351210000017,53.96503769341665,49.97617160763753,145.89718663074086,27.01665588509664,8.173298205023215,nan,nan
FAFL_Tim_Wet,39.0,86.0,15.0,355.0,355.0,17.0,20.0,21.0,12.0,329.0,358.0,14.0,354.0,32.0,nan,nan,6.0,45.0,38.0,66.0,48.0,18.0,321.0,34.0,40.0,31.0
FAFL_Dur,nan,4.0,nan,nan,5.0,nan,nan,2.0,nan,nan,nan,2.0,2.0,nan,nan,nan,4.0,2.0,5.0,4.0,2.0,3.0,5.0,3.0,nan,nan
Wet_BFL_Mag,5.1000000000000005,0.8,0.3,22.7,0.5,2.2,1.2,30.500000000000004,2.1,1.68,0.44000000000000006,0.984,1.8200000000000003,4.05,nan,nan,2.2600000000000002,0.6799999999999999,1.4899999999999998,1.39,4.26,1.9,8.53,1.4,1.83,0.874
WIN_Tim_2,55.5,103.5,nan,1.0,nan,72.0,30.0,44.0,40.5,336.0,nan,48.5,4.0,67.0,nan,nan,40.0,nan,49.0,73.0,77.0,44.0,343.5,nan,69.0,nan
WIN_Dur_2,1.5,1.0,nan,1.0,nan,2.0,1.0,2.0,1.0,1.0,nan,2.0,2.0,1.0,nan,nan,2.0,nan,2.0,1.0,3.0,5.0,1.5,nan,4.0,nan
WIN_Fre_2,2.0,4.0,0.0,5.0,0.0,7.0,1.0,9.0,2.0,1.0,0.0,8.0,3.0,5.0,0.0,0.0,3.0,0.0,3.0,1.0,5.0,9.0,4.0,0.0,3.0,0.0
WIN_Tim_5,45.0,96.0,21.0,25.0,363.0,71.0,30.0,34.5,42.0,353.0,nan,45.0,45.5,44.0,nan,nan,40.0,60.0,56.5,79.5,21.0,22.0,12.5,63.5,67.0,44.0
WIN_Dur_5,2.0,3.0,2.0,5.0,3.0,5.0,2.0,7.0,2.0,1.0,nan,6.0,3.5,2.0,nan,nan,6.0,1.0,4.0,2.0,5.0,9.0,2.5,1.5,10.0,1.0
WIN_Fre_5,3.0,5.0,1.0,3.0,1.0,5.0,1.0,4.0,4.0,5.0,0.0,6.0,6.0,9.0,0.0,0.0,5.0,3.0,4.0,4.0,7.0,5.0,6.0,2.0,3.0,1.0
WIN_Tim_10,54.0,87.0,21.0,25.0,17.0,55.0,73.0,81.0,38.0,351.0,nan,350.5,51.5,72.5,nan,nan,80.0,52.0,53.5,51.0,46.0,355.0,343.0,55.0,45.0,63.0
WIN_Dur_10,4.5,2.0,6.0,10.0,4.0,15.5,3.0,3.0,5.5,5.0,nan,4.0,9.5,6.5,nan,nan,7.0,6.0,6.5,10.5,8.0,5.0,4.0,2.5,14.0,1.0
WIN_Fre_10,4.0,5.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,0.0,4.0,6.0,6.0,0.0,0.0,9.0,3.0,4.0,2.0,7.0,5.0,9.0,6.0,3.0,2.0
WIN_Tim_20,81.0,82.0,20.0,82.0,30.0,45.5,80.0,20.0,52.5,78.5,27.0,342.0,17.0,6.0,nan,nan,21.0,78.5,46.0,65.0,17.5,355.0,319.0,10.0,85.0,73.0
