Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
Avg,223.76191780821918,230.35601092896175,218.44986301369863,209.28109589041094,90.11835616438356,274.6286885245902,147.10986301369863,302.7517808219178,112.71232876712328,151.93879781420767,161.0495890410959,107.0254794520548,183.93945205479451,120.6002732240437,268.4627397260274,148.40931506849313,171.71561643835616,115.84781420765026,209.12383561643838,201.23808219178082
Std,533.1363454606302,522.9119336823037,502.8152787875215,502.06825012105764,150.61834365001212,836.2978780902652,312.59072074718006,563.7488335895171,287.4142027287331,578.7534830332729,309.6709394163572,230.143188620923,370.43920149624984,320.85640579860933,1197.8268345281724,673.5474395600409,325.9110335826656,223.99254350179302,480.3751916724355,605.1443140395555
CV,2.382605363248487,2.2700164479040303,2.301742248087337,2.3990138621214183,1.6713392261091784,3.0451948868968337,2.1248794223815715,1.862082634358213,2.5499801651917253,3.8091224319214283,1.92282973995877,2.150358865937362,2.0139192400437187,2.6604948498130034,4.461799189528436,4.538444498912947,1.8979696800009085,1.9335068601320333,2.297084836151863,3.0071063461181775
SP_Tim,39.0,36.0,23.0,32.0,120.0,361.0,76.0,96.0,51.0,43.0,82.0,52.0,102.0,26.0,363.0,8.0,111.0,56.0,25.0,27.0
SP_Mag,5260.0,3390.0,4150.0,3120.0,486.0,3200.0,1840.0,2580.0,1710.0,8760.0,654.0,945.0,1040.0,1100.0,5160.0,11100.0,558.0,1150.0,3160.0,5920.0
SP_Dur,61.0,113.0,165.0,103.0,58.0,99.0,105.0,32.0,81.0,135.0,94.0,58.0,53.0,124.0,140.0,121.0,53.0,71.0,69.0,36.0
SP_ROC,0.07692307692307693,0.07692307692307693,0.06666666666666667,0.1005586592178771,0.05334281650071124,0.10837078651685393,0.07692307692307693,0.07142857142857142,0.07634032634032634,0.07291666666666667,0.09090909090909091,0.10031989287308436,0.05660377358490566,0.06879962143120039,0.08054054054054055,0.08549280177187155,0.06383701188455009,0.07407407407407407,0.12222577891591976,0.13476278448174206
SU_Tim,100.0,149.0,188.0,135.0,178.0,95.0,181.0,128.0,132.0,178.0,176.0,110.0,155.0,150.0,138.0,129.0,164.0,127.0,94.0,63.0
SU_Mag_10,2.3,2.0,6.3,5.3,3.0,3.4,5.2,2.7800000000000002,2.12,2.7,3.2,2.91,3.2,1.8000000000000003,2.9,1.9,2.0,2.5,2.0,1.3
SU_Mag_50,10.0,5.3,10.0,7.9,5.5,14.0,22.5,7.7,4.3,7.8,6.0,36.0,16.0,4.6,7.1,7.949999999999999,7.8,9.0,10.0,9.2
SU_Dur_Fl,nan,193.0,141.0,nan,163.0,209.0,107.0,234.0,nan,152.0,155.0,176.0,159.0,nan,nan,190.0,nan,218.0,254.0,284.0
SU_Dur_Wet,229.0,193.0,143.0,183.0,164.0,291.0,176.0,239.0,262.0,214.0,168.0,342.0,217.0,195.0,224.0,252.0,173.0,219.0,263.0,293.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,301.0,nan,342.0,327.0,nan,340.0,304.0,286.0,361.0,nan,330.0,329.0,285.0,313.0,nan,nan,318.0,nan,345.0,346.0
FA_Mag,2199.9418698830214,nan,2709.867347295156,2569.9411072790544,nan,2089.9431795354985,980.9939667146348,1089.938644886832,347.9936602148262,nan,959.9897369138131,363.9988148144902,2059.810737044308,1040.0048974595884,nan,nan,311.91918853814775,nan,1769.8132065311554,1089.96259685317
FA_Tim_Wet,306.0,328.0,342.0,329.0,317.0,341.0,21.0,355.0,1.0,28.0,27.0,342.0,86.0,6.0,345.0,360.0,15.0,336.0,346.0,355.0
FA_Dur,5.0,nan,3.0,2.0,nan,2.0,2.0,2.0,4.0,nan,3.0,8.0,6.0,2.0,nan,nan,4.0,nan,4.0,9.0
Tim_2,17.0,360.0,9.0,23.0,nan,7.0,102.0,39.0,12.0,65.0,32.0,31.5,33.5,19.0,355.0,3.0,21.0,15.0,7.0,2.0
Dur_2,2.0,1.0,2.0,2.0,nan,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.5,3.0,3.0,4.0,1.0,1.0,2.0,7.5
Fre_2,5.0,5.0,5.0,5.0,0.0,5.0,4.0,8.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0
Tim_5,358.5,19.0,8.0,45.0,365.0,14.5,63.5,22.5,27.0,64.0,32.0,19.0,60.0,350.5,363.0,3.0,20.0,14.0,12.0,18.5
Dur_5,2.0,2.5,4.0,3.0,2.0,2.0,2.0,4.0,6.0,5.0,2.0,2.0,2.5,2.0,1.5,1.0,3.0,2.0,4.0,2.5
Fre_5,8.0,8.0,7.0,6.0,1.0,8.0,6.0,10.0,3.0,3.0,7.0,3.0,8.0,4.0,6.0,3.0,5.0,5.0,7.0,4.0
Tim_10,10.0,20.0,39.0,29.0,365.0,18.5,42.5,13.0,58.0,55.0,51.0,40.0,349.0,327.0,354.0,3.0,69.0,29.0,12.0,10.0
Dur_10,4.0,5.0,6.0,3.5,2.0,7.5,3.0,6.5,6.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,6.0,3.0
Fre_10,9.0,10.0,6.0,10.0,7.0,6.0,6.0,8.0,4.0,8.0,8.0,5.0,7.0,5.0,5.0,3.0,7.0,9.0,7.0,5.0
Tim_20,18.0,358.0,76.0,25.0,361.0,12.0,62.5,4.5,24.0,77.0,30.0,19.0,347.0,349.5,13.0,30.0,19.5,29.0,358.0,44.0
Dur_20,10.0,14.0,2.0,8.0,8.0,15.5,7.0,16.0,5.0,7.0,6.0,6.0,14.0,3.5,8.0,4.0,17.5,11.0,13.0,11.0
