Year,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975
Avg,1.627397260273973,3.4224657534246576,7.974246575342465,1.4161202185792348,13.493205479452056,0.6363835616438356,0.6573424657534247,0.3182786885245901,3.3391506849315067,1.4398630136986301,1.9577260273972603,0.970054644808743
Std,4.5927536812277285,9.531714299206826,35.41553323466082,2.393544877048197,48.76392707138682,1.722471485181693,1.1126157285557026,1.6396134553572204,6.6113293042379055,3.594115012205478,3.9398709430927665,2.1866656247334646
CV,2.822146622303233,2.7850430028902426,4.441238792912527,1.6902130522856267,3.613961645040261,2.7066561567561473,1.6925967612338242,5.151502486571746,1.979943383229954,2.496150660175054,2.0124730876315264,2.2541674702919337
SP_Tim,112.0,42.0,120.0,78.0,62.0,69.0,132.0,364.0,86.0,96.0,113.0,112.0
SP_Mag,22.0,24.0,38.0,6.8,135.0,10.0,7.2,23.0,31.0,34.0,17.0,6.8
SP_Dur,51.0,89.0,82.0,99.0,91.0,37.0,42.0,136.0,78.0,44.0,64.0,44.0
SP_ROC,0.12698412698412698,0.08333333333333323,0.06250000000000003,0.1250000000000001,0.05555555555555555,0.14285714285714285,0.2608695652173913,0.20000000000000004,0.07692307692307698,0.11111111111111108,0.10717703349282301,0.20344827586206896
SU_BFL_Tim,163.0,131.0,202.0,177.0,153.0,106.0,174.0,135.0,164.0,140.0,177.0,156.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU_BFL_Mag_50,0.0,0.0,0.0,0.0,0.07,0.04,0.01,0.0,0.005,0.07,0.02,0.01
SU_BFL_Dur_Fl,nan,nan,122.0,nan,160.0,225.0,nan,205.0,nan,163.0,156.0,177.0
SU_BFL_Dur_Wet,159.0,203.0,124.0,210.0,262.0,228.0,178.0,269.0,204.0,287.0,220.0,241.0
SU_BFL_No_Flow,133.0,180.0,112.0,160.0,39.0,38.0,59.0,139.0,102.0,73.0,94.0,103.0
FAFL_Tim,363.0,nan,nan,323.0,nan,311.0,330.0,nan,340.0,nan,302.0,332.0
FAFL_Mag,7.60870711001402,nan,nan,11.88523742409475,nan,2.3529529520385277,0.9504870063560515,nan,5.338146423611807,nan,4.961624497766003,2.3086184054898484
FAFL_Tim_Wet,91.0,320.0,333.0,325.0,22.0,48.0,333.0,351.0,39.0,1.0,61.0,31.0
FAFL_Dur,5.0,nan,nan,16.0,nan,5.0,7.0,nan,3.0,nan,4.0,15.0
Wet_BFL_Mag,0.1,4.26,2.6100000000000003,1.19,15.9,0.04,0.09200000000000003,0.34,0.72,0.8300000000000001,0.06,0.11
WIN_Tim_2,96.0,1.0,72.0,68.0,48.0,nan,nan,nan,71.0,50.0,67.0,nan
WIN_Dur_2,1.0,1.0,2.0,1.0,2.0,nan,nan,nan,3.0,1.0,1.0,nan
WIN_Fre_2,3.0,4.0,5.0,1.0,7.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0
WIN_Tim_5,99.0,8.0,72.0,68.0,22.0,62.0,nan,359.0,55.0,67.0,106.0,40.0
WIN_Dur_5,5.0,3.0,4.0,2.0,2.0,1.0,nan,2.0,2.5,1.0,2.5,1.0
WIN_Fre_5,3.0,4.0,5.0,1.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0
WIN_Tim_10,45.0,354.0,22.0,68.0,18.0,60.5,128.0,358.0,53.5,67.0,81.0,61.0
WIN_Dur_10,13.5,10.0,14.0,2.0,57.5,3.5,1.0,2.0,1.5,3.0,2.0,3.0
WIN_Fre_10,2.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,6.0,5.0,7.0,3.0
WIN_Tim_20,38.0,326.0,362.0,47.5,20.0,50.5,1.5,356.0,18.0,42.0,50.5,158.0
WIN_Dur_20,3.0,6.0,96.5,5.0,3.0,8.5,2.5,8.0,6.0,10.5,1.5,12.0
WIN_Fre_20,3.0,3.0,2.0,8.0,5.0,2.0,6.0,1.0,5.0,6.0,6.0,4.0
WIN_Tim_50,34.5,320.0,324.5,58.5,110.5,10.0,350.0,43.0,65.0,166.0,352.0,356.0
WIN_Dur_50,25.0,185.0,118.5,101.5,108.5,18.0,10.0,9.0,9.5,6.0,12.0,17.0
WIN_Fre_50,4.0,1.0,2.0,2.0,2.0,5.0,7.0,4.0,4.0,3.0,6.0,5.0
