Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984
Avg,1.6889344262295085,14.972328767123287,13.018904109589041,6.8484931506849325,1.5557103825136611,0.961150684931507,11.613726027397261,4.682465753424657,13.386693989071038,2.778109589041096,26.848876712328767,31.57342465753425,9.53032786885246,3.8050136986301366
Std,1.8974485920926836,41.34918178516803,23.98479767158709,14.757234740338719,1.039553242236354,0.7625747961739916,31.096477954668966,8.572986625061578,45.24114632158492,8.109429991220763,108.19906496746687,54.52260740654933,20.059438545380328,9.34558853148438
CV,1.123459006237842,2.7617067744307,1.8423054252255493,2.1548148498714372,0.6682177183626435,0.7933977555541499,2.677562556694646,1.830870117692046,3.379560805567081,2.9190461107835013,4.029928928750409,1.726851236377958,2.1048004666177,2.45612480576586
SP_Tim,40.0,50.0,95.0,85.0,106.0,365.0,68.0,93.0,56.0,86.0,105.0,79.0,363.0,92.0
SP_Mag,16.0,305.0,170.0,83.0,2.6,8.5,176.0,21.0,240.0,30.0,510.0,187.0,213.0,43.0
SP_Dur,120.0,59.0,68.0,68.0,145.0,205.0,99.0,72.0,71.0,57.0,34.0,90.0,35.0,55.0
SP_ROC,0.10526315789473682,0.08012820512820512,0.06666666666666667,0.060661764705882346,0.10000000000000003,0.09090909090909098,0.06818181818181834,0.0555555555555556,0.04687500000000011,0.06250000000000006,0.07692307692307693,0.0625,0.06458333333333333,0.06060606060606053
SU_Tim,160.0,109.0,163.0,153.0,251.0,205.0,167.0,165.0,127.0,143.0,139.0,169.0,33.0,147.0
SU_Mag_10,0.52,1.0,1.9,1.5,0.7,0.47,0.8800000000000001,0.88,0.97,0.69,2.0,2.74,1.6,1.0
SU_Mag_50,0.74,1.7,2.7,1.8,0.78,0.7,1.2,1.4,1.9,0.97,3.6,4.2,3.0,1.6
SU_Dur_Fl,159.0,209.0,nan,131.0,24.0,nan,207.0,nan,266.0,nan,184.0,146.0,285.0,172.0
SU_Dur_Wet,223.0,254.0,237.0,266.0,109.0,166.0,208.0,205.0,305.0,219.0,250.0,148.0,364.0,251.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,317.0,319.0,316.0,nan,283.0,275.0,nan,8.0,nan,28.0,nan,322.0,314.0,318.0
FA_Mag,5.214083263343006,110.00620422257808,36.98472014140964,nan,10.851002575172673,1.782495571270663,nan,10.994197758516462,nan,33.96911572774888,nan,59.961451908433446,62.984340580817005,17.995877138983122
FA_Tim_Wet,349.0,18.0,361.0,34.0,53.0,360.0,4.0,9.0,4.0,67.0,360.0,23.0,316.0,32.0
FA_Dur,3.0,2.0,2.0,nan,4.0,10.0,nan,8.0,nan,7.0,nan,5.0,2.0,3.0
Tim_2,nan,19.0,74.5,55.5,nan,nan,43.0,nan,29.5,81.0,45.0,47.0,343.0,40.0
Dur_2,nan,1.0,1.0,1.0,nan,nan,1.0,nan,4.5,1.0,3.0,1.0,3.0,1.0
Fre_2,0.0,5.0,6.0,2.0,0.0,0.0,5.0,0.0,2.0,1.0,5.0,14.0,3.0,1.0
Tim_5,nan,34.5,10.0,67.0,nan,nan,38.0,44.0,59.0,55.5,42.5,37.0,335.5,40.0
Dur_5,nan,3.0,1.0,2.0,nan,nan,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0
Fre_5,0.0,8.0,10.0,5.0,0.0,0.0,7.0,5.0,5.0,2.0,10.0,9.0,6.0,3.0
Tim_10,nan,26.0,3.0,73.0,nan,nan,37.0,47.0,11.0,53.5,363.0,18.0,328.0,332.0
Dur_10,nan,3.5,2.0,4.5,nan,nan,2.5,2.0,2.0,4.0,12.0,4.0,3.0,2.0
Fre_10,0.0,8.0,11.0,6.0,0.0,0.0,10.0,7.0,5.0,2.0,7.0,7.0,7.0,5.0
Tim_20,27.0,361.5,27.5,49.5,354.0,365.0,360.5,48.5,52.0,28.0,345.5,357.5,44.0,3.5
Dur_20,3.0,5.0,4.0,3.0,1.0,1.0,1.5,11.5,9.5,4.0,1.5,4.5,7.0,2.0
Fre_20,3.0,6.0,10.0,6.0,2.0,1.0,6.0,4.0,6.0,3.0,6.0,6.0,3.0,8.0
Tim_50,59.5,312.0,305.0,95.0,25.5,53.0,118.5,352.0,327.5,28.0,317.0,348.0,274.0,328.0
Dur_50,2.0,4.0,3.0,12.0,1.5,1.0,4.0,4.0,2.0,6.0,3.0,35.0,273.0,2.0
Fre_50,10.0,7.0,4.0,4.0,10.0,7.0,4.0,5.0,4.0,5.0,3.0,4.0,1.0,15.0
