Year,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,214.16892655367232,292.28437158469944,398.69983561643835,491.95199999999994,683.930904109589,218.64415300546446,266.4087397260274,204.51232876712328,193.61317808219178
Std,294.1487834940867,443.9664380345747,524.5830285265195,770.3935207931785,816.1098173474961,330.5428013673237,329.938637320287,286.60190429693876,206.89037381231918
CV,1.3734428622649457,1.5189537354580047,1.3157342483360959,1.5659932692481757,1.193263548179609,1.511784316313561,1.238467768210582,1.4013918184037222,1.068575888592103
SP_Tim,141.0,143.0,143.0,183.0,179.0,139.0,138.0,150.0,166.0
SP_Mag,1210.0,2510.0,2550.0,2630.0,3870.0,1300.0,1510.0,1240.0,703.0
SP_Dur,85.0,87.0,88.0,52.0,71.0,73.0,87.0,64.0,79.0
SP_ROC,0.05619266055045872,0.06773543053034886,0.07377911112485694,0.0755566272807652,0.06535947712418301,0.061791012216404886,0.06805805075230179,0.07086614173228346,0.07080128205128203
SU_Tim,226.0,230.0,231.0,235.0,250.0,212.0,225.0,214.0,245.0
SU_Mag_10,11.08,10.149999999999999,15.420000000000003,21.5,12.719999999999999,8.075000000000001,17.44,12.2,8.212
SU_Mag_50,24.4,102.0,110.0,251.0,77.0,87.19999999999999,25.4,34.75,25.7
SU_Dur_Fl,213.0,77.0,58.0,64.0,35.0,123.0,182.0,124.0,93.0
SU_Dur_Wet,238.0,226.0,255.0,245.0,213.0,232.0,219.0,194.0,163.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,318.0,73.0,307.0,287.0,298.0,284.0,335.0,40.0,337.0
FA_Mag,153.74360395789762,379.8030297266338,390.9827252014703,746.7281030275935,2279.861160391926,330.91222115826565,260.96904170694427,185.9576892161793,239.8935812467336
FA_Tim_Wet,72.0,98.0,91.0,119.0,114.0,97.0,79.0,77.0,42.0
FA_Dur,3.0,6.0,4.0,2.0,3.0,4.0,3.0,5.0,5.0
Tim_2,nan,137.0,136.0,159.5,161.0,nan,nan,nan,nan
Dur_2,nan,5.0,6.0,12.5,9.0,nan,nan,nan,nan
Fre_2,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
Tim_5,nan,155.0,122.0,140.0,145.0,122.0,124.0,141.0,nan
Dur_5,nan,2.0,4.0,2.0,2.0,3.0,4.0,1.0,nan
Fre_5,0.0,5.0,3.0,3.0,7.0,3.0,3.0,2.0,0.0
Tim_10,123.5,138.5,145.5,135.0,139.5,112.0,131.0,133.5,nan
Dur_10,9.5,10.5,5.5,6.0,6.5,33.0,8.0,5.0,nan
Fre_10,2.0,4.0,4.0,5.0,6.0,1.0,3.0,4.0,0.0
Tim_20,105.0,110.5,92.0,108.0,38.5,149.0,98.5,100.0,117.0
Dur_20,24.5,37.0,2.0,5.0,2.5,8.0,1.0,63.0,22.0
Fre_20,2.0,2.0,7.0,3.0,6.0,3.0,6.0,1.0,3.0
Tim_50,51.5,48.5,351.0,13.0,297.0,361.0,4.5,122.5,120.5
Dur_50,2.0,3.5,4.5,15.0,6.0,6.5,18.5,2.0,2.0
Fre_50,4.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,6.0
