Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,1467.4575342465753,1981.0082191780823,1287.516393442623,2559.717808219178,1972.4084931506848,2162.6276712328768,1130.8497267759562,1775.4849315068493,3231.658356164384,1789.6986301369864,668.2459016393443,121.24136986301369,2015.1397260273973,872.9564383561643,1727.9584699453553,767.858904109589,2781.0328767123287,3351.441095890411,1759.6398907103824,960.3219178082192,1950.394794520548,857.0221917808218,843.4158469945355,1193.08301369863,568.2315068493151,354.4580821917809,588.4658469945355,1916.287397260274,523.3360547945206,2476.902821917808,1654.2349726775956,2077.67397260274,2958.7890410958903,1748.2438356164384,1295.9426229508197,500.6616438356164,1337.0810136986302,2174.6301369863013,1553.505737704918,1604.6968767123287,3035.689863013699,822.0867123287671,962.7327049180327,850.9619726027397,1650.502383561644,2001.277808219178,932.3935792349728,1045.7098904109591,523.6451780821917,691.1562465753425
Std,3370.7869633523633,3710.58769593814,2930.7082115618323,5047.323793238596,5872.431347824696,4496.793472312417,2074.32661187155,3312.613661287869,6604.061620566422,3472.6993483413917,1450.664590365407,152.50591819026232,3298.8294860051365,1624.4729468879673,3998.0264997497807,1630.7382006054397,4560.389939349388,4719.613314780232,2756.659501667826,1612.0036873106621,5919.403199046085,1674.6261431646583,1889.326144616773,2161.8759580542164,947.0454202523853,951.0716062646899,1002.9244810592118,2763.7868917716582,794.0200926344214,5289.398935606333,2513.5338325356797,6480.51303528937,4462.783012400482,2709.8265613501885,2249.9695272952154,824.0915045997393,2362.399684802945,3895.422797717712,3300.7422604844437,2193.088211925522,5793.322509123685,1423.0137104643318,1536.362961090216,1651.1205918558328,1988.8595416141536,2397.9282323341818,1829.9893403232577,2600.138046844898,1382.3340166077792,1799.266893615482
CV,2.2970252185750635,1.873080414314312,2.27624923961206,1.9718282136537821,2.9772896274869485,2.079319307770104,1.8343079215179536,1.8657514927352623,2.0435519144433023,1.9403821905342722,2.170854451642171,1.2578702992433468,1.6370227053725834,1.860886609584963,2.3137283501241863,2.1237472039169063,1.6398187801147368,1.4082340043414443,1.5666043468444775,1.6786076183596874,3.034976926556662,1.9540055779476637,2.240088505983471,1.8120079937709188,1.6666541873108858,2.6831708854930527,1.7043036332209183,1.4422611638124108,1.517227955842218,2.135489082898648,1.5194539313040858,3.119119323216584,1.508314026588234,1.5500278085606358,1.7361644624143213,1.646004871246569,1.766833617858413,1.7913036021454947,2.124705548471818,1.3666682123907898,1.9084039445888359,1.730977631828263,1.5958354309995342,1.9402989146574197,1.2050025261534998,1.1981985821688395,1.9626790457145367,2.486481260900244,2.639829553421013,2.6032708270102356
SP_Tim,95.0,33.0,55.0,25.0,27.0,89.0,67.0,21.0,93.0,88.0,64.0,103.0,71.0,70.0,63.0,90.0,108.0,76.0,362.0,100.0,53.0,75.0,19.0,89.0,155.0,75.0,80.0,82.0,68.0,83.0,69.0,6.0,85.0,113.0,58.0,89.0,6.0,123.0,61.0,144.0,4.0,76.0,59.0,66.0,122.0,88.0,92.0,360.0,92.0,44.0
SP_Mag,4600.0,30400.0,20600.0,46200.0,52700.0,32700.0,13400.0,34300.0,48400.0,26700.0,11700.0,659.0,14200.0,4960.0,9920.0,5440.0,13900.0,31400.0,15600.0,3440.0,49900.0,13800.0,6260.0,9920.0,5970.0,2030.0,4910.0,12200.0,3490.0,12800.0,8720.0,81200.0,28400.0,5170.0,5610.0,4310.0,21400.0,12500.0,11700.0,15600.0,63200.0,4460.0,5800.0,13800.0,9870.0,8370.0,11200.0,11500.0,13000.0,9370.0
SP_Dur,70.0,158.0,65.0,154.0,72.0,93.0,107.0,149.0,80.0,97.0,106.0,99.0,109.0,106.0,97.0,88.0,62.0,126.0,165.0,72.0,62.0,83.0,75.0,78.0,60.0,101.0,83.0,125.0,113.0,109.0,115.0,157.0,119.0,70.0,113.0,80.0,156.0,59.0,100.0,66.0,172.0,95.0,121.0,116.0,83.0,116.0,80.0,145.0,62.0,31.0
SP_ROC,0.06965679895901106,0.07735042735042735,0.09333333333333334,0.09090909090909091,0.11004784688995216,0.06985294117647059,0.06717320864607687,0.06476496924364714,0.061452513966480445,0.06753812636165578,0.051470588235294115,0.07390913180386864,0.05532504633802099,0.07514450867052024,0.045454545454545456,0.057275070290534205,0.042979766327946645,0.07336317598119008,0.07305194805194805,0.05357142857142857,0.059800664451827246,0.046948356807511735,0.04089548775315874,0.05555555555555555,0.058463752473466454,0.058823529411764705,0.05225510797687312,0.05847953216374269,0.06544746654968195,0.05912330719885959,0.06269592476489028,0.08127721335268505,0.0708445193100665,0.07614213197969544,0.07053941908713693,0.06612021857923497,0.07215153267784846,0.07166199813258636,0.055865921787709494,0.06989247311827956,0.09464746154530097,0.06306306306306306,0.08144553454882311,0.0890937019969278,0.06564109469148685,0.07758620689655173,0.06645178382197103,0.06521739130434782,0.06277909114788546,0.05561274913523308
SU_Tim,165.0,191.0,120.0,179.0,99.0,182.0,174.0,170.0,173.0,185.0,170.0,202.0,180.0,176.0,160.0,178.0,170.0,202.0,162.0,172.0,115.0,158.0,94.0,167.0,215.0,176.0,163.0,207.0,181.0,192.0,184.0,163.0,204.0,183.0,171.0,169.0,162.0,182.0,161.0,210.0,176.0,171.0,180.0,182.0,205.0,204.0,172.0,140.0,154.0,75.0
SU_Mag_10,17.0,22.0,16.900000000000002,15.0,7.9,18.0,14.600000000000001,13.0,11.100000000000001,23.0,18.0,3.5999999999999996,14.0,8.6,11.0,4.8,24.0,32.3,11.0,7.040000000000001,11.0,5.8,10.0,18.0,3.1700000000000004,4.44,4.9,32.0,0.706,16.0,15.0,15.0,27.0,12.3,12.0,4.54,4.09,9.708,5.135,22.1,11.96,10.950000000000001,7.782,5.61,16.200000000000003,17.87,7.715,12.17,1.98,4.253000000000001
SU_Mag_50,35.0,46.5,90.0,43.0,55.0,33.0,60.0,25.5,57.0,135.0,31.0,23.5,28.0,41.0,44.5,21.0,62.0,46.0,34.5,35.0,133.5,19.0,189.0,43.0,21.5,35.0,21.5,39.0,12.0,28.0,37.0,56.0,72.0,47.0,49.0,7.48,8.745000000000001,22.8,31.8,33.3,22.3,21.549999999999997,52.8,31.0,28.5,81.0,19.3,35.8,9.89,41.25
