Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,778.8219178082192,318.9506849315068,319.1530054644809,405.58082191780824,291.9068493150685,518.8958904109589,316.79480874316937,458.7917808219178,352.6246575342466,389.2849315068493,334.8196721311475,558.4356164383562,484.9808219178082,622.586301369863,454.2950819672131,366.0986301369863,900.6356164383561,487.37808219178083,265.879781420765,72.20547945205479,534.2191780821918,231.57534246575344,466.6502732240437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,310.0,nan,148.2807692307692,211.65621890547266,155.67033492822966,294.6352631578947,105.46785714285716,217.45714285714286,145.5,94.87658878504674,76.47238095238095
Std,1069.8461615496985,568.5291985666335,602.6705944724588,541.6516063355668,332.9658044595394,686.8600544264259,350.298465091102,1266.389290896298,395.2713982773299,409.73773224465833,734.6198453680894,604.4758620264048,1155.0014017257145,892.4797814854368,910.562442728098,405.7836877339948,1346.9132590848576,516.4482332255591,282.6883950870501,64.69535752311829,671.9752491889951,331.76561778676023,652.7145612411366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.71197313152254,nan,139.47011540726555,224.52927891077118,169.12629261011114,283.8463219655168,164.29129629492033,246.62456888341418,171.40706130001502,123.07336427691565,65.9090441011783
CV,1.3736723852873676,1.7824987542783375,1.888343785437205,1.3354961010590722,1.140657731193399,1.3236953059744634,1.10575822400895,2.760270222425482,1.120940892339446,1.0525394102942542,2.194076114740181,1.0824450379466992,2.3815403610360857,1.433503723936317,2.0043414046771786,1.1083999073751223,1.4955140952690127,1.059645995780211,1.0632188486708765,0.895989584364947,1.257864331268184,1.432646560096628,1.3987231952776795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8410063649403953,nan,0.9405812778743301,1.060820608399169,1.0864388047220763,0.963382043694491,1.5577380705894717,1.134129537632308,1.1780554041238145,1.297194237829859,0.861867294837068
SP_Tim,53.0,99.0,155.0,98.0,102.0,130.0,137.0,362.0,100.0,145.0,58.0,135.0,27.0,90.0,68.0,140.0,99.0,155.0,134.0,163.0,73.0,138.0,63.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,176.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,8180.0,1060.0,1210.0,1540.0,1100.0,1640.0,407.0,10000.0,1590.0,1450.0,7930.0,2060.0,10200.0,2330.0,3810.0,874.0,2660.0,1460.0,691.0,280.0,1480.0,806.0,2340.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,793.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Dur,171.0,112.0,63.0,116.0,102.0,88.0,93.0,200.0,110.0,81.0,58.0,89.0,171.0,134.0,137.0,77.0,123.0,70.0,77.0,57.0,153.0,73.0,163.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_ROC,0.07272727272727272,0.06496519721577726,0.05714285714285714,0.06590116470355992,0.06787469287469287,0.04819277108433735,0.04736842105263158,0.05519480519480519,0.07476635514018691,0.05943703775788244,0.0630841121495327,0.055050505050505044,0.05444664031620553,0.06097560975609756,0.07421700543945034,0.07317073170731707,0.04269439833349608,0.06341463414634146,0.0688836104513064,0.05263157894736842,0.061765639885677986,0.06728538283062645,0.06266167669253495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04435483870967742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_Tim,224.0,211.0,218.0,214.0,204.0,218.0,230.0,197.0,210.0,226.0,116.0,224.0,198.0,224.0,205.0,217.0,222.0,225.0,211.0,220.0,226.0,211.0,226.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,238.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_Mag_10,26.0,21.0,19.3,22.0,31.900000000000002,25.9,12.0,24.0,22.5,28.0,25.0,29.1,20.0,32.0,29.0,22.0,27.0,28.0,27.0,11.0,27.0,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_Mag_50,45.5,29.0,38.0,35.0,184.5,37.5,22.0,48.0,28.0,44.0,70.0,43.0,25.0,56.0,49.5,29.0,40.0,41.5,36.0,37.0,38.5,27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_Dur_Fl,nan,nan,112.0,116.0,82.0,nan,nan,121.0,111.0,nan,207.0,124.0,116.0,117.0,104.0,nan,117.0,75.0,65.0,110.0,nan,88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_Dur_Wet,144.0,184.0,174.0,126.0,250.0,90.0,113.0,172.0,116.0,153.0,225.0,132.0,123.0,159.0,138.0,93.0,151.0,80.0,201.0,114.0,148.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,317.0,nan,nan,330.0,328.0,285.0,nan,nan,316.0,320.0,nan,323.0,346.0,313.0,340.0,309.0,nan,338.0,299.0,276.0,328.0,nan,298.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,293.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Mag,4189.980423602527,nan,nan,1829.9691079061993,370.8320358479526,4269.856150734104,nan,nan,254.98823995660968,671.9277139587138,nan,705.96384221172,1319.946255211734,1839.9663104974122,1059.9531358110137,388.94385529120126,nan,339.9622243672665,905.9759557395455,89.99408716732358,1559.8635384106383,nan,2289.713054938398,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,161.976456188109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim_Wet,1.0,2.0,29.0,27.0,338.0,88.0,307.0,343.0,2.0,325.0,13.0,341.0,354.0,320.0,17.0,343.0,308.0,7.0,304.0,47.0,332.0,8.0,310.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,351.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
