Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968
Avg,560.4494382022472,2629.8524590163934,1451.3780821917808,1055.9315068493152,827.7835616438356,2457.915300546448,1151.4794520547946,2109.054794520548,631.2054794520548,923.4125683060109,581.3342465753425,1087.9397260273972,1883.0684931506848,787.1174863387978,1878.9945205479453,397.92328767123286,1832.9150684931508,760.879781420765,2015.3260273972603
Std,3011.8159403720974,2593.954381523105,1609.341080022621,1689.3313788707815,1013.4550559421527,5161.294543730569,1697.3124082565405,2453.1391289608214,777.983923468509,1830.7194595632227,683.1855385325781,1495.369479860598,4658.890296846279,834.9275187744121,5127.322144411517,327.24450183040864,1526.9550776709166,633.5161500099658,2332.142069148541
CV,5.373929805395282,0.9863497751099258,1.1088365600728203,1.5998493916631038,1.2242995668210728,2.0998667214379196,1.4740275262643348,1.1631462280326832,1.2325367076088625,1.9825585251905928,1.1752026352433984,1.3744966233753841,2.474094975191893,1.060740655957217,2.728758433481917,0.8223808758354963,0.8330746491850463,0.8326100462638429,1.1572033693031991
SP_Tim,nan,153.0,125.0,133.0,161.0,364.0,147.0,147.0,137.0,92.0,144.0,129.0,144.0,142.0,1.0,106.0,177.0,58.0,137.0
SP_Mag,nan,9000.0,4480.0,3690.0,2910.0,15500.0,4510.0,9970.0,2040.0,4590.0,2270.0,4780.0,6600.0,3120.0,15700.0,1350.0,4340.0,4180.0,3650.0
SP_Dur,nan,81.0,106.0,77.0,55.0,219.0,70.0,78.0,72.0,113.0,68.0,82.0,67.0,73.0,199.0,120.0,90.0,149.0,54.0
SP_ROC,nan,0.05503599542488058,0.0625,0.046023965141612194,0.04658564814814815,0.08044664382692551,0.04776119402985075,0.05947955390334572,0.045603089720736775,0.06585365853658537,0.05867970660146699,0.07504916860361166,0.06896551724137931,0.0497148288973384,0.05902848944455831,0.051615051615051616,0.061310388827845314,0.15384615384615385,0.03507157464212679
SU_BFL_Tim,nan,234.0,231.0,210.0,216.0,218.0,217.0,225.0,209.0,205.0,212.0,211.0,211.0,215.0,200.0,226.0,267.0,207.0,191.0
SU_BFL_Mag_10,nan,98.0,103.0,63.0,55.0,84.0,85.0,95.9,43.7,48.7,38.3,42.9,100.0,67.0,130.0,56.2,127.1,115.0,297.0
SU_BFL_Mag_50,nan,143.0,170.0,126.0,71.0,167.0,134.0,110.5,57.0,77.0,83.5,280.0,182.0,91.0,305.0,172.0,611.0,650.0,984.0
