Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,2422.6301369863013,2396.125683060109,2332.158904109589,2247.468493150685,995.2958904109589,2949.4535519125684,1371.0767123287671,3375.145205479452,1340.13698630137,1572.622950819672,1794.1260273972603,1169.978082191781,2173.06301369863,1264.139344262295,2488.158904109589,1678.2493150684932,1981.545205479452,1303.6147540983607,2869.6575342465753,2610.6328767123287,2721.3753424657534,1598.707650273224,1945.7671232876712,3929.391780821918,2346.386301369863,1112.9890710382513,155.54794520547946,2389.753424657534,1068.3808219178081,2146.844262295082,1061.3424657534247
Std,5335.686407440361,5014.756562151985,5181.86873542623,5330.546258699066,1683.2234193867885,8059.686925388248,2998.501963813252,6015.574602715286,3618.933012795037,5497.991626846313,3592.0768336211354,2438.874306816798,4447.812538411572,3362.9646423209997,10944.029183248305,5952.879837273727,3854.9055566506677,2717.6550255550083,7032.343832702391,7741.658266098815,6669.186234801102,3801.7852434721317,4105.131834502413,9659.495358635155,6491.73801675395,2971.533962918266,238.74703992116903,4707.426828102623,2412.7605209980943,4554.365034687974,2313.2658158482354
CV,2.2024354134708477,2.09286040277637,2.2219192381338404,2.3718002165299636,1.691178910315588,2.7326034411228335,2.186968779245263,1.782315792798832,2.7004202180725514,3.496064726755187,2.0021318339783316,2.084547004716471,2.0467940921976475,2.6602800218068534,4.39844463517684,3.5470771737099005,1.945403791945256,2.084707170589414,2.4505864371543287,2.9654335296076506,2.450667546931751,2.378036561482892,2.109775514947629,2.4582673088949814,2.7666961799785295,2.6698680519353815,1.5348774913470136,1.969837883495125,2.2583337996156123,2.12142311143666,2.1795658710462478
SP_Tim,39.0,36.0,23.0,32.0,120.0,60.0,76.0,96.0,52.0,43.0,83.0,51.0,101.0,26.0,363.0,9.0,112.0,55.0,26.0,28.0,89.0,64.0,21.0,95.0,88.0,64.0,80.0,20.0,58.0,63.0,50.0
SP_Mag,45200.0,35000.0,40300.0,42400.0,5160.0,13600.0,14900.0,30100.0,18800.0,85200.0,7640.0,15600.0,14400.0,13100.0,40400.0,58700.0,6460.0,11700.0,41900.0,58600.0,45200.0,21000.0,29000.0,41100.0,39400.0,20100.0,1240.0,39000.0,9360.0,12500.0,15100.0
SP_Dur,66.0,112.0,168.0,102.0,67.0,33.0,107.0,34.0,90.0,136.0,92.0,61.0,59.0,120.0,139.0,117.0,45.0,73.0,67.0,36.0,51.0,82.0,107.0,33.0,20.0,77.0,106.0,133.0,113.0,82.0,79.0
SP_ROC,0.0590711175616836,0.07375032375032375,0.056910569105691054,0.10946745562130178,0.04674457429048414,0.08488612836438923,0.06827894327894328,0.06504961411245866,0.055299539170506916,0.08182687709230033,0.05858637845256476,0.09193434104865375,0.05384615384615385,0.06060606060606061,0.07305952998739713,0.09375,0.05605381165919283,0.045779685264663805,0.12152777777777778,0.1450980392156863,0.06403940886699508,0.08,0.10046886836878852,0.07262140188969457,0.08108108108108109,0.06479874036093504,0.0546875,0.08855127509495388,0.07026476578411406,0.09032405502993737,0.07687167118882524
SU_BFL_Tim,105.0,148.0,191.0,134.0,187.0,93.0,183.0,130.0,142.0,179.0,175.0,112.0,160.0,146.0,137.0,126.0,157.0,128.0,93.0,64.0,140.0,146.0,128.0,128.0,108.0,141.0,186.0,153.0,171.0,145.0,129.0
SU_BFL_Mag_10,39.2,41.0,78.80000000000001,66.0,48.0,42.6,65.0,41.0,36.0,53.0,57.400000000000006,50.0,57.0,32.0,52.0,36.5,53.0,52.599999999999994,42.0,29.0,59.0,54.0,45.0,41.8,55.6,44.0,15.0,53.0,41.9,38.6,34.0
SU_BFL_Mag_50,98.0,64.5,156.0,100.0,63.0,142.0,214.5,85.0,60.0,111.5,76.0,400.0,178.0,79.0,102.0,89.0,101.0,110.0,128.0,113.0,100.0,118.0,96.0,139.0,308.0,81.0,38.0,87.0,67.5,103.0,95.0
SU_BFL_Dur_Fl,212.0,194.0,138.0,nan,154.0,211.0,105.0,232.0,nan,151.0,156.0,174.0,151.0,nan,nan,193.0,181.0,217.0,255.0,250.0,nan,nan,nan,244.0,192.0,179.0,142.0,nan,128.0,193.0,210.0
SU_BFL_Dur_Wet,225.0,194.0,185.0,185.0,156.0,294.0,178.0,237.0,252.0,214.0,169.0,340.0,214.0,199.0,225.0,256.0,182.0,219.0,260.0,260.0,207.0,204.0,183.0,249.0,307.0,273.0,157.0,223.0,140.0,237.0,254.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,301.0,316.0,342.0,327.0,nan,340.0,304.0,286.0,361.0,nan,330.0,329.0,285.0,310.0,nan,nan,318.0,337.0,345.0,346.0,313.0,nan,nan,nan,6.0,299.0,320.0,326.0,nan,298.0,338.0
FAFL_Mag,27799.747442090935,5209.9163863048425,33799.65330229771,18299.912178745377,nan,18499.870117326638,7699.785069217469,11199.84752066917,4219.976989589939,nan,12499.852828279816,3739.8802568053693,26999.942890864193,5679.906773228261,nan,nan,5199.930055909299,9299.85134919873,21499.7011641895,19899.861738261658,6699.952758677479,nan,nan,nan,11799.915661461142,4019.900168840555,340.99900562041677,10699.8890279545,nan,9489.820737539687,13999.863451668958
FAFL_Tim_Wet,302.0,329.0,342.0,9.0,318.0,342.0,22.0,359.0,1.0,28.0,28.0,342.0,86.0,8.0,345.0,360.0,16.0,338.0,347.0,351.0,323.0,346.0,350.0,309.0,11.0,49.0,49.0,341.0,10.0,310.0,17.0
FAFL_Dur,4.0,3.0,3.0,2.0,nan,2.0,10.0,5.0,3.0,nan,3.0,7.0,3.0,5.0,nan,nan,3.0,2.0,4.0,5.0,7.0,nan,nan,nan,3.0,2.0,6.0,2.0,nan,3.0,5.0
Wet_BFL_Mag,1132.0,926.6000000000001,2285.0,907.9,438.0,1558.0,118.80000000000001,536.8000000000001,978.5,3964.0,423.20000000000005,336.8,420.0,821.0,1278.0,2622.0,494.8,680.0,1830.0,1154.0,641.0,548.0,1215.0,1340.0,625.3,340.8,73.0,433.6,291.9,786.0,406.0
WIN_Tim_2,18.0,361.0,14.5,23.0,nan,7.0,56.0,42.0,12.0,38.0,32.0,nan,337.0,20.0,356.0,3.0,21.0,14.0,13.0,14.0,21.5,57.0,24.5,37.0,66.0,57.0,nan,15.0,11.0,30.5,29.0
WIN_Dur_2,2.0,2.0,1.5,1.0,nan,3.0,3.0,2.0,1.0,4.0,1.0,nan,1.0,2.0,7.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,1.5,3.0,2.0,4.0,nan,1.0,1.0,3.0,1.0
WIN_Fre_2,5.0,3.0,6.0,5.0,0.0,5.0,1.0,6.0,3.0,1.0,3.0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,7.0,5.0,6.0,3.0,4.0,6.0,6.0,1.0,0.0,5.0,1.0,2.0,1.0
