Year,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,2.8563835616438356,1.6246301369863014,5.0078688524590165,0.12035616438356164,0.4872602739726028,4.189095890410959,0.011065573770491803,0.0353972602739726,0.44895890410958905,0.010273972602739727
Std,9.967108733750962,2.8148560269119356,21.594336040038897,0.6234971052621011,3.023319531086978,14.010357186654964,0.058057923456121895,0.2371605282437983,2.380382842687954,0.060490520093686814
CV,3.489415380900364,1.7326134501810426,4.312080982199728,5.1804334946657615,6.204732239790536,3.3444823305967626,5.246716045664349,6.699968483667677,5.302006087637171,5.887743955785516
SP_Tim,68.0,91.0,56.0,61.0,84.0,70.0,329.0,362.0,79.0,4.0
SP_Mag,119.0,29.0,186.0,8.2,2.9,41.0,0.55,3.3,26.0,0.86
SP_Dur,58.0,65.0,45.0,39.0,45.0,39.0,219.0,111.0,28.0,178.0
SP_ROC,0.20000000000000004,0.17222222222222217,0.14545454545454542,0.3333333333333333,0.17647058823529416,0.16076555023923444,0.990909090909091,0.9375,0.20436507936507942,1.0
SU_BFL_Tim,126.0,156.0,101.0,100.0,129.0,109.0,183.0,108.0,107.0,182.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,nan
SU_BFL_Mag_50,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,nan
SU_BFL_Dur_Fl,227.0,239.0,240.0,nan,276.0,nan,nan,223.0,nan,nan
SU_BFL_Dur_Wet,242.0,239.0,304.0,337.0,290.0,nan,nan,309.0,nan,nan
SU_BFL_No_Flow,194.0,143.0,200.0,245.0,233.0,nan,nan,279.0,nan,nan
FAFL_Tim,15.0,352.0,29.0,341.0,nan,39.0,nan,nan,329.0,nan
FAFL_Mag,15.90715675642947,4.155410277092435,249.8330138857178,1.5906477819420022,nan,24.90008418535401,nan,nan,3.120337917291686,nan
FAFL_Tim_Wet,39.0,2.0,29.0,40.0,70.0,53.0,nan,nan,50.0,nan
FAFL_Dur,2.0,14.0,6.0,22.0,nan,3.0,nan,nan,18.0,nan
Wet_BFL_Mag,0.92,1.0,0.56,0.0,0.29000000000000004,0.77,nan,nan,0.0,nan
WIN_Tim_2,38.5,59.0,63.0,nan,76.0,58.0,nan,nan,60.5,nan
WIN_Dur_2,2.0,1.5,3.0,nan,2.0,12.0,nan,nan,1.5,nan
WIN_Fre_2,4.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0
WIN_Tim_5,58.0,60.0,45.0,63.0,83.5,39.0,nan,nan,70.0,nan
WIN_Dur_5,6.0,4.0,1.0,1.0,3.5,2.0,nan,nan,4.0,nan
WIN_Fre_5,5.0,9.0,7.0,2.0,2.0,5.0,0.0,0.0,3.0,0.0
WIN_Tim_10,31.0,6.0,75.5,62.5,76.0,29.0,nan,362.0,18.5,nan
WIN_Dur_10,1.0,6.0,1.5,2.0,1.0,1.0,nan,1.0,1.5,nan
WIN_Fre_10,5.0,3.0,10.0,2.0,5.0,7.0,0.0,1.0,4.0,0.0
WIN_Tim_20,10.0,63.0,311.0,51.0,57.0,9.0,329.0,353.0,38.0,341.0
WIN_Dur_20,2.0,3.5,2.0,4.0,6.5,2.0,1.0,1.0,1.5,1.0
WIN_Fre_20,5.0,8.0,5.0,6.0,4.0,10.0,3.0,7.0,12.0,3.0
WIN_Tim_50,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0,274.0
WIN_Dur_50,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
WIN_Fre_50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
