Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
Avg,2223.73698630137,2503.530054644809,2227.2356164383564,2203.413698630137,1014.9945205479452,2792.3688524590166,1496.1534246575343,3720.641095890411,1439.1123287671232,1412.0901639344263,307.9506849315068
Std,2430.6959501461038,2653.057464567796,2428.433283616835,2451.367131299408,1003.6908436162086,3691.1169623193514,2234.4741696464157,3939.0135987911767,1835.439613940852,1904.0283482361438,281.39135284943455
CV,1.0930680944372644,1.0597266286640212,1.09033515165325,1.1125314927575443,0.9888633123599186,1.321858664577525,1.4934793001980269,1.0586921708578574,1.2753970466733888,1.3483759018128545,0.9137545932460599
SP_Tim,142.0,153.0,144.0,142.0,145.0,148.0,154.0,143.0,138.0,158.0,365.0
SP_Mag,4480.0,8400.0,7320.0,6200.0,5570.0,9990.0,5000.0,12900.0,4620.0,5960.0,1190.0
SP_Dur,72.0,81.0,86.0,76.0,77.0,76.0,61.0,86.0,79.0,64.0,101.0
SP_ROC,0.03812316715542522,0.04741379310344827,0.04802450039624569,0.04822147895004726,0.042192058547198735,0.05123620486445944,0.04960835509138381,0.04669331395348837,0.05021008403361345,0.039705882352941174,0.05160425335182617
SU_Tim,214.0,234.0,230.0,218.0,222.0,224.0,215.0,229.0,217.0,222.0,101.0
SU_Mag_10,126.2,163.3,221.8,218.0,120.8,186.0,150.0,206.0,144.0,116.2,156.0
SU_Mag_50,211.0,226.5,380.0,610.0,154.0,282.0,810.0,265.0,167.0,156.0,182.0
SU_Dur_Fl,119.0,109.0,90.0,96.0,nan,nan,70.0,nan,175.0,60.0,182.0
SU_Dur_Wet,123.0,134.0,159.0,195.0,125.0,191.0,181.0,141.0,179.0,112.0,234.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,332.0,343.0,318.0,313.0,nan,nan,283.0,nan,26.0,282.0
FA_Mag,nan,2629.889533978013,2549.987882269921,6459.682476477592,2599.852022691957,nan,nan,8219.871816674797,nan,1919.8743901248379,383.0591177853171
FA_Tim_Wet,299.0,336.0,3.0,22.0,47.0,346.0,50.0,29.0,4.0,30.0,334.0
FA_Dur,nan,4.0,4.0,5.0,2.0,nan,nan,2.0,nan,8.0,4.0
Tim_2,343.0,32.0,65.5,67.0,nan,114.0,97.5,49.0,12.0,39.0,nan
Dur_2,3.0,1.0,1.5,2.0,nan,2.0,2.5,2.0,2.0,2.0,nan
Fre_2,3.0,5.0,4.0,3.0,0.0,5.0,2.0,10.0,1.0,1.0,0.0
Tim_5,348.0,105.5,68.0,67.0,nan,52.0,97.0,71.0,12.0,53.0,nan
Dur_5,3.0,3.0,2.5,3.0,nan,2.0,3.5,2.0,2.0,2.0,nan
Fre_5,5.0,10.0,6.0,5.0,0.0,9.0,2.0,10.0,1.0,2.0,0.0
Tim_10,69.0,85.0,126.0,67.0,57.5,52.0,105.5,80.0,48.0,108.0,nan
Dur_10,4.5,7.0,4.0,3.0,1.5,7.0,1.0,3.0,2.0,4.0,nan
Fre_10,6.0,7.0,7.0,11.0,2.0,9.0,6.0,13.0,3.0,4.0,0.0
Tim_20,56.5,58.5,95.0,40.0,57.0,52.0,97.0,352.0,86.5,88.0,nan
Dur_20,8.0,5.0,13.0,3.0,3.5,11.0,9.0,2.0,5.0,6.5,nan
Fre_20,10.0,6.0,7.0,9.0,4.0,7.0,5.0,9.0,8.0,8.0,0.0
Tim_50,299.0,357.0,363.0,352.0,22.5,335.0,143.5,323.0,8.0,44.5,344.5
Dur_50,242.0,24.0,8.0,12.0,8.0,109.0,2.5,14.0,168.0,76.0,17.5
Fre_50,1.0,5.0,3.0,5.0,8.0,2.0,4.0,4.0,1.0,2.0,2.0
