Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Avg,0.22775342465753423,1.0804383561643836,0.4370491803278689,4.999452054794521,0.5937534246575341,0.4095890410958904,0.5828142076502733,0.4895342465753425,0.9491506849315067,2.814246575342466,0.2783333333333333,0.17389041095890412,0.2844198895027624
Std,0.29956478846531964,4.166964444839457,2.7586192857481286,23.973068456219895,1.5138195887951043,0.29356961488548505,1.482161323717806,1.5990795475873312,3.569320812071371,24.99651472241616,0.6081021343728203,0.16129676228768092,1.002574211822817
CV,1.3153031130740007,3.8567350196936854,6.311919596047856,4.795139185949289,2.549576180833394,0.7167418691184083,2.543111173787994,3.2665325434820676,3.7605417861853443,8.882133833413063,2.184798087567019,0.9275770952419022,3.5249792606823984
SP_Tim,28.0,79.0,61.0,57.0,98.0,265.0,57.0,350.0,41.0,361.0,104.0,25.0,nan
SP_Mag,3.26,39.0,51.6,261.0,16.5,3.63,10.0,16.8,46.2,30.9,8.57,2.09,nan
SP_Dur,214.0,93.0,78.0,20.0,66.0,nan,49.0,92.0,85.0,110.0,114.0,182.0,nan
SP_ROC,0.12499999999999993,0.08497316636851521,0.17708333333333331,0.11789060974816164,0.08770806658130596,nan,0.04554865424430639,0.11813953488372092,0.12857142857142853,0.21498599439775912,0.06666666666666654,0.07142857142857148,nan
SU_BFL_Tim,242.0,172.0,139.0,77.0,164.0,191.0,106.0,77.0,126.0,106.0,218.0,207.0,nan
SU_BFL_Mag_10,0.08,0.1,0.06,0.22,nan,0.25,0.18,0.14,0.21000000000000002,0.15,nan,nan,nan
SU_BFL_Mag_50,0.21,0.14,0.16,0.29,nan,0.27,0.22,0.17,0.23,0.19,nan,nan,nan
SU_BFL_Dur_Fl,72.0,nan,155.0,290.0,nan,144.0,nan,266.0,nan,173.0,nan,nan,nan
SU_BFL_Dur_Wet,162.0,239.0,229.0,353.0,nan,147.0,223.0,304.0,224.0,330.0,nan,nan,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
FAFL_Tim,nan,313.0,nan,294.0,365.0,nan,334.0,nan,341.0,nan,278.0,nan,nan
FAFL_Mag,nan,8.130074668693524,nan,44.75018694701984,1.966018914264292,nan,8.637435365575577,nan,6.669124892546505,nan,2.02098467136147,nan,nan
FAFL_Tim_Wet,nan,38.0,45.0,3.0,63.0,nan,337.0,329.0,14.0,349.0,70.0,nan,nan
FAFL_Dur,nan,2.0,nan,4.0,6.0,nan,5.0,nan,1.0,nan,3.0,nan,nan
Wet_BFL_Mag,nan,0.21,0.315,0.2,0.31,nan,0.3,0.2,0.18,0.6770000000000002,0.16,nan,nan
WIN_Tim_2,nan,50.0,55.0,4.0,76.5,nan,29.0,11.5,37.0,29.5,104.0,nan,nan
WIN_Dur_2,nan,1.0,1.5,1.0,1.5,nan,1.0,1.0,1.0,1.5,1.0,nan,nan
WIN_Fre_2,0.0,8.0,2.0,11.0,4.0,0.0,4.0,4.0,5.0,8.0,1.0,0.0,nan
WIN_Tim_5,28.0,58.0,53.0,4.5,82.0,344.0,27.0,33.0,36.0,15.0,54.0,25.0,nan
WIN_Dur_5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,nan
WIN_Fre_5,3.0,8.0,7.0,14.0,12.0,3.0,9.0,6.0,9.0,9.0,8.0,1.0,nan
WIN_Tim_10,363.0,48.5,56.0,363.0,76.5,66.5,23.0,360.0,38.0,351.0,58.0,31.0,nan
WIN_Dur_10,1.0,1.5,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,nan
WIN_Fre_10,11.0,8.0,9.0,11.0,12.0,12.0,9.0,9.0,8.0,15.0,9.0,4.0,nan
WIN_Tim_20,9.0,363.0,33.0,363.0,85.5,38.0,8.0,4.0,46.5,38.5,33.5,46.5,nan
WIN_Dur_20,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,nan
WIN_Fre_20,14.0,9.0,9.0,13.0,10.0,16.0,16.0,9.0,8.0,20.0,14.0,6.0,nan
WIN_Tim_50,363.0,312.0,63.5,347.5,163.5,276.0,224.0,82.0,195.5,135.0,54.0,1.5,nan
WIN_Dur_50,2.0,1.0,2.0,5.5,3.0,57.0,2.0,2.0,2.5,2.0,2.0,1.0,nan
WIN_Fre_50,19.0,5.0,14.0,10.0,20.0,3.0,11.0,21.0,24.0,15.0,23.0,14.0,nan
