Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
Avg,162.66575342465754,179.45753424657534,180.77260273972604,167.5983606557377,160.57260273972602,196.0849315068493,179.75342465753425,149.29781420765028,126.53698630136986,145.1205479452055,125.56438356164384,133.21038251366122,124.55068493150685,169.35616438356163,193.2109589041096,192.12568306010928,166.63287671232877,178.586301369863,160.9753424657534,133.2431693989071
Std,49.27911063503781,49.93356111301205,34.492172073118795,16.864937519336667,30.479426073561346,70.11005765151972,33.741393959851635,12.535690931691006,4.875645565947535,36.67318440624261,18.577622198166587,27.138120736731988,15.255658041218506,60.134545461745915,55.638430499031614,23.612665547544708,13.798432060961293,42.727955351408006,16.937336408324203,11.479532501702446
CV,0.3029470530677042,0.2782472261343073,0.19080420124713346,0.10062710311336985,0.1898171017565543,0.35754944101388414,0.18770932472711244,0.08396432994160108,0.038531386817885295,0.25270842017554707,0.14795295983790022,0.2037237655552027,0.12248554112414498,0.3550773937318978,0.2879672603180077,0.12290218138174241,0.08280738071144625,0.23925662284094137,0.10521696148543697,0.08615475414979587
SP_Tim,161.0,183.0,181.0,156.0,150.0,194.0,170.0,140.0,182.0,166.0,159.0,175.0,150.0,184.0,173.0,175.0,163.0,157.0,140.0,157.0
SP_Mag,326.0,244.0,356.0,232.0,316.0,348.0,315.0,178.0,128.0,250.0,192.0,188.0,185.0,264.0,373.0,234.0,192.0,280.0,234.0,168.0
SP_Dur,61.0,44.0,46.0,51.0,61.0,47.0,57.0,86.0,nan,65.0,46.0,45.0,41.0,54.0,83.0,42.0,36.0,44.0,112.0,58.0
SP_ROC,0.01759545923632611,0.010752688172043012,0.0111731843575419,0.012619426751592357,0.021929824561403508,0.009478672985781991,0.017110822229444263,0.013300927971718956,nan,0.014285714285714285,0.016139486647653616,0.018362533692722373,0.014814814814814815,0.010869565217391304,0.013452914798206279,0.014502376292982946,0.012540294048274236,0.011566877277437902,0.008777840164701478,0.014084507042253521
SU_BFL_Tim,222.0,227.0,227.0,207.0,211.0,241.0,227.0,226.0,171.0,231.0,205.0,220.0,191.0,238.0,256.0,217.0,199.0,201.0,252.0,215.0
SU_BFL_Mag_10,141.0,153.0,156.2,143.2,143.0,164.0,147.0,125.0,117.0,119.0,105.0,118.0,106.0,150.0,171.0,161.0,143.0,155.0,131.0,115.0
SU_BFL_Mag_50,149.5,160.0,163.0,149.0,151.0,172.0,155.0,129.0,124.0,124.0,116.0,123.0,115.0,162.0,182.0,167.0,151.0,162.0,134.0,133.0
SU_BFL_Dur_Fl,135.0,83.0,48.0,79.0,106.0,61.0,57.0,51.0,180.0,90.0,88.0,67.0,131.0,59.0,41.0,58.0,nan,74.0,55.0,92.0
SU_BFL_Dur_Wet,158.0,262.0,207.0,283.0,253.0,268.0,267.0,271.0,321.0,261.0,270.0,251.0,220.0,270.0,234.0,253.0,212.0,275.0,211.0,248.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,317.0,355.0,309.0,274.0,286.0,315.0,301.0,283.0,277.0,349.0,320.0,292.0,287.0,320.0,296.0,296.0,275.0,nan,274.0,306.0
FAFL_Mag,164.8769108263961,379.89750817507445,182.96325726342002,168.00990530177603,163.97828790309035,949.8961729708245,181.98380852878336,164.90312850768828,130.0668735799502,283.9973290391393,128.98645405439564,134.94723436558846,127.02815971322389,875.8168206882013,282.6080875889073,187.9452251964031,174.04571494758565,nan,175.0062568474672,136.97009983470872
FAFL_Tim_Wet,118.0,13.0,123.0,68.0,125.0,97.0,143.0,128.0,132.0,125.0,126.0,109.0,106.0,44.0,142.0,124.0,105.0,44.0,110.0,97.0
FAFL_Dur,2.0,4.0,5.0,10.0,8.0,6.0,3.0,2.0,10.0,3.0,6.0,2.0,10.0,7.0,6.0,3.0,5.0,nan,3.0,3.0
Wet_BFL_Mag,131.0,153.0,155.0,168.0,143.8,150.3,164.0,149.0,125.0,120.0,120.0,114.0,120.0,131.0,153.0,178.0,174.0,183.2,173.79999999999998,131.0
WIN_Tim_2,144.0,5.5,148.0,nan,142.5,160.0,155.0,nan,nan,349.0,nan,13.0,nan,4.5,148.0,315.0,nan,57.5,nan,nan
WIN_Dur_2,2.0,3.5,1.0,nan,1.5,4.0,14.0,nan,nan,1.0,nan,2.0,nan,2.0,2.0,1.0,nan,2.5,nan,nan
WIN_Fre_2,3.0,2.0,3.0,0.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0
WIN_Tim_5,134.0,146.0,144.0,nan,135.0,88.0,149.0,nan,nan,135.0,nan,338.0,nan,95.0,68.5,364.0,nan,97.0,nan,nan
WIN_Dur_5,22.5,3.0,7.0,nan,20.0,5.0,27.0,nan,nan,1.0,nan,1.5,nan,2.5,1.0,2.0,nan,5.0,nan,nan
WIN_Fre_5,2.0,5.0,3.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,10.0,4.0,5.0,0.0,4.0,0.0,0.0
WIN_Tim_10,75.5,76.5,18.0,141.5,133.0,115.5,170.0,nan,nan,139.0,nan,13.0,nan,46.0,37.0,321.0,144.0,117.0,127.0,nan
WIN_Dur_10,26.0,8.0,1.0,9.5,32.0,7.0,2.0,nan,nan,3.0,nan,1.0,nan,3.0,1.5,2.0,3.0,3.0,12.0,nan
WIN_Fre_10,2.0,4.0,3.0,2.0,1.0,6.0,4.0,0.0,0.0,5.0,0.0,3.0,0.0,7.0,4.0,7.0,1.0,8.0,1.0,0.0
WIN_Tim_20,114.0,16.0,18.0,73.0,151.0,112.0,325.0,34.5,nan,163.5,146.0,147.5,142.5,50.0,72.0,99.0,105.0,45.0,108.0,340.0
