Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,12.46219178082192,15.344657534246574,25.21232876712329,19.493715846994537,35.70191780821918,10.92876712328767,23.894520547945206,10.454371584699453,25.356438356164386,22.819999999999997,41.450958904109584,31.42677595628415,19.661369863013697,28.236986301369864,22.1786301369863,17.16857923497268,6.154246575342467,28.72301369863014,15.906575342465752,25.080601092896174,12.216712328767125,30.170136986301372
Std,14.25628611617464,18.577918995349982,27.152848662106422,20.797346112380882,49.957278972632295,11.47271306428246,44.67977781187,8.864509578627295,36.883402265208105,31.22714590057648,51.804207058341476,35.24783827017334,25.88187525309219,34.709298848205776,33.22694043583031,20.197974297958435,6.094764408857374,34.83005813692722,22.905424626337243,31.494971073448784,13.189500603795402,30.321541892208593
CV,1.1439629855571356,1.2107092617666662,1.076967102599168,1.066874385346462,1.3992883867188584,1.0497719399506389,1.8698754688221693,0.8479237137123566,1.4545971223218503,1.3684113015151833,1.2497710168341953,1.1215862014991431,1.3163820951143541,1.2292139988934272,1.4981511585974483,1.1764499567218019,0.990334776847679,1.2126185121928323,1.4399972422213774,1.2557502492382215,1.0796276648618155,1.0050183698528106
SP_Tim,160.0,158.0,143.0,167.0,142.0,130.0,148.0,161.0,139.0,151.0,165.0,156.0,143.0,152.0,161.0,140.0,156.0,162.0,146.0,147.0,126.0,151.0
SP_Mag,55.0,53.0,154.0,87.0,130.0,48.0,232.0,29.0,175.0,142.0,164.0,161.0,145.0,141.0,178.0,105.0,35.0,131.0,112.0,109.0,81.0,126.0
SP_Dur,60.0,79.0,79.0,67.0,73.0,92.0,79.0,93.0,85.0,73.0,64.0,63.0,72.0,80.0,60.0,72.0,59.0,58.0,71.0,81.0,91.0,91.0
SP_ROC,0.07792207792207799,0.05555555555555555,0.047619047619047616,0.06976744186046512,0.067816091954023,0.05444444444444446,0.05718954248366013,0.06002400960384156,0.05555555555555555,0.046511627906976744,0.05714285714285714,0.0625,0.04688644688644687,0.06027596223674655,0.058823529411764705,0.061553030303030304,0.053812741312741316,0.05555555555555555,0.055183607222560355,0.05486978774650004,0.03999999999999999,0.05405405405405406
SU_Tim,220.0,237.0,222.0,234.0,215.0,222.0,227.0,254.0,224.0,224.0,229.0,219.0,215.0,232.0,221.0,212.0,215.0,220.0,217.0,228.0,217.0,242.0
SU_Mag_10,2.8,2.87,3.8200000000000003,3.7200000000000006,4.4,3.0,3.9,3.2,3.8,4.1,7.21,6.8,4.2,5.2,5.8,3.5,2.0,2.6100000000000003,3.3,4.07,3.5,5.5
SU_Mag_50,4.0,13.0,5.5,7.5,5.6,6.3,4.9,6.5,4.6,6.8,8.45,9.3,10.0,6.5,7.7,4.5,5.4,4.8,7.6,5.1,13.0,14.0
SU_Dur_Fl,135.0,47.0,92.0,125.0,105.0,273.0,154.0,203.0,165.0,90.0,159.0,138.0,228.0,nan,119.0,64.0,135.0,114.0,130.0,189.0,68.0,42.0
SU_Dur_Wet,236.0,228.0,227.0,233.0,235.0,273.0,186.0,206.0,226.0,232.0,202.0,253.0,236.0,263.0,250.0,274.0,231.0,252.0,256.0,198.0,255.0,229.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,323.0,353.0,283.0,313.0,359.0,318.0,129.0,15.0,92.0,22.0,313.0,22.0,357.0,76.0,nan,339.0,276.0,348.0,333.0,346.0,52.0,283.0
FA_Mag,10.88835987337502,14.950349404940816,25.911577077423303,23.78551155994412,461.92450554258784,9.356729248400445,147.7510171302377,13.952826970798164,77.02458474309519,195.67114883444728,29.82212438347061,61.746880266907134,28.925543628283425,52.76929024650858,nan,16.996680505348387,6.984686207001403,57.75699652324684,14.96989767502851,25.808371432772745,19.97402923391622,19.948572205262977
