Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,2.7714835164835163,0.7394535519125682,0.691890410958904,2.2583835616438352,0.42405479452054795,0.5157377049180327,0.4195068493150685,0.2556986301369863,0.6116438356164383,0.4540163934426229,4.103342465753425,1.2344657534246575,0.34747945205479447,0.8558196721311474,0.5175068493150685,1.1531232876712327,2.236821917808219,0.6912841530054644,0.3147123287671233,0.37271232876712335,0.2489041095890411,0.2426775956284153
Std,4.758848091903776,1.138192521085818,1.980408423087727,2.975901450304019,0.3541565279825137,0.40232911662783727,0.3153763189521791,0.13985263133482387,1.6233977674935667,0.652100841839647,13.251721162152089,3.546617613361006,0.23867947840859377,2.3060900034677485,0.4282869068867517,1.88315462481564,6.793292645564943,0.44974460405273997,0.4218072493466965,2.054350422145961,0.5727577164595281,0.25224118887861396
CV,1.7170760943012375,1.5392346390681695,2.8623151755247505,1.3177130319430397,0.8351668995581955,0.7801041358645288,0.751778712235798,0.5469432169421484,2.6541553645471527,1.4362936036186487,3.2294943141478463,2.872997977887983,0.6868880361045236,2.6945980310608695,0.8275965959747174,1.6330904465720466,3.0370288271412527,0.6505929610817867,1.340294646222201,5.511892855654776,2.3011179582578727,1.0394086369012916
SP_Tim,74.0,56.0,31.0,59.0,315.0,52.0,12.0,329.0,79.0,57.0,16.0,100.0,344.0,31.0,357.0,41.0,361.0,279.0,247.0,64.0,336.0,31.0
SP_Mag,40.0,16.0,12.0,26.0,1.6,5.0,2.8,0.98,16.3,7.86,210.0,5.87,1.26,22.8,2.37,10.9,29.3,3.0,6.64,14.9,9.18,2.6
SP_Dur,178.0,41.0,342.0,169.0,270.0,148.0,210.0,253.0,36.0,151.0,221.0,71.0,245.0,152.0,222.0,193.0,199.0,251.0,nan,176.0,258.0,225.0
SP_ROC,0.07692307692307698,0.13392857142857145,0.14285714285714288,0.07692307692307698,0.11428571428571424,0.1052631578947368,0.09090909090909098,0.05263157894736847,0.1129032258064517,0.11688311688311684,0.06601776523327245,0.0840909090909091,0.055555555555555455,0.10805860805860815,0.09401080019636718,0.1085350182051831,0.046296296296296335,0.052759740259740305,nan,0.15789473684210525,0.12499999999999993,0.12499999999999993
SU_Tim,252.0,97.0,373.0,228.0,220.0,200.0,222.0,217.0,115.0,208.0,237.0,171.0,224.0,183.0,214.0,234.0,195.0,165.0,nan,240.0,229.0,256.0
SU_Mag_10,0.57,0.153,0.23700000000000002,nan,0.29,nan,nan,0.11,0.11,0.14,0.33,nan,0.14,nan,0.12,0.11,nan,0.278,nan,0.138,nan,nan
SU_Mag_50,0.83,0.41,0.54,nan,0.35,nan,nan,0.19,0.27,0.19,0.53,nan,0.18,nan,0.21,0.52,nan,0.36,nan,0.19,nan,nan
SU_Dur_Fl,nan,nan,128.0,nan,nan,nan,nan,135.0,202.0,86.0,56.0,nan,111.0,nan,135.0,nan,nan,nan,nan,nan,nan,nan
SU_Dur_Wet,145.0,224.0,128.0,nan,115.0,nan,nan,182.0,295.0,159.0,183.0,nan,112.0,nan,165.0,116.0,nan,160.0,nan,89.0,nan,nan
SU_No_Flow,0.0,0.0,5.0,nan,0.0,nan,nan,0.0,1.0,0.0,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,nan,nan
FA_Tim,nan,nan,nan,37.0,nan,nan,nan,nan,351.0,316.0,294.0,291.0,nan,334.0,nan,347.0,nan,nan,nan,nan,nan,nan
FA_Mag,nan,nan,nan,8.852934163370827,nan,nan,nan,nan,3.2317533908496747,2.827636634648381,29.947632434770018,11.811957082061129,nan,12.138103454778204,nan,10.567094109485108,nan,nan,nan,nan,nan,nan
FA_Tim_Wet,7.0,31.0,321.0,37.0,nan,334.0,nan,nan,33.0,44.0,2.0,53.0,nan,335.0,nan,12.0,349.0,nan,325.0,52.0,328.0,nan
FA_Dur,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,5.0,7.0,3.0,nan,4.0,nan,3.0,nan,nan,nan,nan,nan,nan
Tim_2,57.5,51.0,124.0,53.0,nan,52.0,nan,nan,58.5,25.5,23.0,76.5,nan,27.0,nan,20.0,19.5,nan,247.0,136.5,336.0,nan
Dur_2,4.0,3.0,1.5,4.0,nan,1.0,nan,nan,3.0,1.0,2.0,1.5,nan,2.0,nan,3.0,6.0,nan,1.0,2.0,2.0,nan
Fre_2,6.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,9.0,4.0,0.0,5.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0
Tim_5,107.5,41.5,124.0,87.0,nan,52.0,nan,nan,42.0,25.5,91.5,83.0,nan,29.0,nan,37.0,71.0,279.0,247.0,136.5,336.0,nan
Dur_5,4.5,2.0,3.0,3.0,nan,1.0,nan,nan,4.0,2.0,3.0,3.0,nan,4.5,nan,2.0,2.5,1.0,1.0,2.0,2.0,nan
Fre_5,14.0,2.0,4.0,9.0,0.0,1.0,0.0,0.0,3.0,2.0,8.0,8.0,0.0,4.0,0.0,5.0,8.0,1.0,1.0,2.0,1.0,0.0
Tim_10,185.0,51.0,14.0,82.0,nan,54.0,35.5,nan,73.5,359.0,127.0,72.0,nan,29.0,86.0,117.0,80.0,112.0,137.0,136.5,336.0,31.0
Dur_10,8.0,3.0,4.0,5.0,nan,1.0,1.0,nan,3.5,2.0,6.0,4.0,nan,6.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0
Fre_10,7.0,3.0,5.0,11.0,0.0,3.0,2.0,0.0,4.0,3.0,8.0,9.0,0.0,4.0,4.0,11.0,9.0,3.0,2.0,2.0,1.0,1.0
Tim_20,44.0,41.0,3.5,5.0,332.0,51.0,66.0,nan,56.0,68.0,363.0,15.0,344.0,51.5,48.0,134.5,48.0,46.0,204.0,136.5,336.0,31.0
Dur_20,9.0,2.5,3.5,5.5,5.0,2.0,1.0,nan,4.0,2.5,11.0,10.0,1.0,4.0,4.0,7.0,2.0,6.0,3.0,4.5,3.0,2.0
Fre_20,5.0,12.0,8.0,6.0,5.0,7.0,5.0,0.0,5.0,6.0,7.0,7.0,1.0,8.0,9.0,10.0,7.0,9.0,3.0,2.0,1.0,3.0
Tim_50,321.0,113.0,49.0,355.0,99.0,141.0,122.0,355.0,104.0,34.0,294.0,114.0,344.0,82.0,11.0,175.0,343.0,170.0,15.0,59.0,8.5,69.5
Dur_50,27.0,10.5,5.0,14.0,4.0,5.5,3.5,5.0,4.0,10.0,346.0,6.5,7.0,5.5,8.5,3.0,175.5,4.5,5.0,3.0,5.5,4.5
Fre_50,4.0,12.0,17.0,7.0,18.0,10.0,6.0,5.0,9.0,9.0,1.0,10.0,15.0,6.0,6.0,11.0,2.0,14.0,7.0,7.0,8.0,12.0
