Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991
Avg,1.355245901639344,10.808054794520547,2.046986301369863,1.5379178082191782,0.8390163934426229,2.296931506849315,2.4723287671232876,1.435260273972603,1.0740983606557377,0.7932602739726027,6.69904109589041,1.9183287671232878,5.003306010928962,2.472821917808219,3.2628219178082194,7.209287671232876,2.409672131147541,1.1219999999999999,6.338712328767124,1.2076164383561645,0.9257650273224043,0.831972602739726,0.5018630136986302,0.7066027397260273,1.8152732240437157
Std,0.7026544671373842,33.31513529580541,0.9328602134803152,0.942194491067495,0.5504505007987691,1.91776851152631,1.6133668705646174,0.6292058492660488,0.6237272340184682,0.49211932029553984,23.625053613877473,2.0040482867804847,12.76375262792234,5.370066195205555,8.088004104409459,11.150839051272431,2.147258870637012,0.8073552968442491,22.03563270598014,1.2525308366328078,0.7350007170591458,0.4981862437843556,0.2581054958503943,0.9295198162275065,5.77272906705596
CV,0.5184700918758974,3.0824358248716015,0.45572372069907663,0.6126429423159505,0.6560664429215498,0.8349262944095794,0.6525697116091371,0.43839146158800424,0.5806984321600512,0.620375602361926,3.526632136705429,1.0446844780343576,2.5510637566524736,2.1716348259988343,2.478837125699623,1.5467324318000895,0.8911000143469471,0.7195680007524503,3.4763579041085872,1.0371926025930733,0.7939387375487631,0.598801261175914,0.5142947155005673,1.3154772320694812,3.1800882592189548
SP_Tim,77.0,62.0,69.0,6.0,361.0,87.0,98.0,88.0,62.0,76.0,67.0,93.0,57.0,85.0,105.0,69.0,363.0,44.0,79.0,78.0,60.0,359.0,13.0,88.0,50.0
SP_Mag,5.5,140.0,3.1,3.5,4.1,7.3,5.5,2.1,4.9,4.2,260.0,12.0,41.0,61.0,89.0,24.0,34.0,12.0,215.0,3.0,8.5,5.0,2.2,6.8,60.0
SP_Dur,115.0,173.0,189.0,209.0,160.0,123.0,100.0,124.0,141.0,137.0,78.0,98.0,44.0,75.0,80.0,107.0,205.0,139.0,27.0,122.0,115.0,220.0,218.0,134.0,20.0
SP_ROC,0.061737804878048766,0.05263157894736839,0.15000000000000002,0.06250000000000006,0.11764705882352938,0.06155303030303029,0.052631578947368356,0.09090909090909098,0.32732780612244905,0.08012820512820511,0.06060606060606053,0.05882352941176463,0.06125000000000001,0.060661764705882346,0.0430157261794634,0.0567404426559356,0.0555555555555556,0.06904761904761902,0.05882352941176468,0.04800307219662062,0.05681818181818187,0.06061224489795918,0.0454545454545455,0.02222222222222224,0.0834782608695652
SU_Tim,192.0,235.0,258.0,215.0,156.0,210.0,198.0,212.0,203.0,213.0,145.0,191.0,101.0,160.0,185.0,176.0,203.0,183.0,106.0,200.0,175.0,214.0,231.0,222.0,70.0
SU_Mag_10,0.6,0.908,0.61,nan,0.24,0.726,1.2,nan,nan,0.21400000000000002,0.53,0.6,1.1,0.62,0.9,1.2,0.79,0.42300000000000004,0.849,0.48,0.39,nan,0.24,0.32,0.37
SU_Mag_50,0.87,1.5,1.3,nan,0.46,1.2,1.4,nan,nan,0.35,1.4,0.84,1.4,0.99,1.1,2.1,0.915,0.82,1.2,0.57,0.45,nan,0.4,0.48,0.68
SU_Dur_Fl,nan,nan,18.0,nan,160.0,104.0,104.0,nan,nan,nan,230.0,nan,238.0,nan,150.0,nan,115.0,nan,nan,nan,nan,nan,195.0,149.0,301.0
SU_Dur_Wet,191.0,85.0,71.0,nan,225.0,134.0,201.0,nan,nan,166.0,240.0,183.0,292.0,281.0,155.0,148.0,116.0,224.0,260.0,113.0,137.0,nan,196.0,179.0,331.0
SU_No_Flow,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
FA_Tim,nan,nan,nan,275.0,nan,316.0,312.0,301.0,nan,nan,nan,9.0,nan,339.0,nan,334.0,nan,318.0,nan,nan,nan,nan,nan,60.0,5.0
FA_Mag,nan,nan,nan,2.196649895384252,nan,1.8872702419250929,3.321829457316897,3.1395314631674758,nan,nan,nan,2.900411275500253,nan,9.753012063871497,nan,58.78594030738984,nan,2.374075652601015,nan,nan,nan,nan,nan,1.6461938450722537,9.897477430386436
FA_Tim_Wet,319.0,18.0,318.0,328.0,nan,16.0,342.0,33.0,nan,nan,12.0,19.0,8.0,28.0,74.0,339.0,323.0,319.0,40.0,365.0,312.0,312.0,nan,61.0,35.0
FA_Dur,nan,nan,nan,0.0,nan,2.0,4.0,3.0,nan,nan,nan,2.0,nan,2.0,nan,5.0,nan,3.0,nan,nan,nan,nan,nan,6.0,2.0
Tim_2,nan,50.5,nan,nan,nan,nan,7.0,nan,nan,nan,63.0,86.0,47.0,54.5,90.0,37.0,359.0,nan,69.0,64.0,nan,nan,nan,nan,41.0
Dur_2,nan,3.5,nan,nan,nan,nan,1.0,nan,nan,nan,5.0,2.0,6.0,1.0,2.0,2.0,1.0,nan,5.5,1.0,nan,nan,nan,nan,8.0
