1.961000000000000000e+03,1.962000000000000000e+03,1.963000000000000000e+03,1.964000000000000000e+03,1.965000000000000000e+03,1.966000000000000000e+03,1.967000000000000000e+03,1.968000000000000000e+03,1.969000000000000000e+03
5.000000000000000000e-01,5.999999999999999778e-01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,2.999999999999999889e-01,4.199999999999999845e-01,7.199999999999999734e-01,5.000000000000000000e+01
4.000000000000000222e-01,4.000000000000000222e-01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,4.599999999999999645e+00,6.800000000000000488e-01,nan
4.000000000000000222e-01,2.999999999999999889e-01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,5.799999999999999822e+00,6.500000000000000222e-01,nan
4.000000000000000222e-01,2.999999999999999889e-01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,3.500000000000000000e+00,6.400000000000000133e-01,nan
4.000000000000000222e-01,2.000000000000000111e-01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,2.999999999999999889e-01,3.600000000000000089e+00,6.400000000000000133e-01,nan
4.000000000000000222e-01,2.000000000000000111e-01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,2.999999999999999889e-01,2.799999999999999822e+00,6.800000000000000488e-01,nan
4.000000000000000222e-01,2.000000000000000111e-01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,2.999999999999999889e-01,2.200000000000000178e+00,7.099999999999999645e-01,nan
4.000000000000000222e-01,2.000000000000000111e-01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.600000000000000089e+00,6.999999999999999556e-01,nan
4.000000000000000222e-01,5.600000000000000000e+01,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.399999999999999911e+00,6.899999999999999467e-01,nan
4.000000000000000222e-01,4.760000000000000000e+02,1.399999999999999911e+00,1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.399999999999999911e+00,6.800000000000000488e-01,nan
4.000000000000000222e-01,1.180000000000000000e+03,4.599999999999999645e+00,1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.300000000000000044e+00,2.700000000000000178e+00,nan
4.000000000000000222e-01,1.780000000000000000e+03,3.299999999999999822e+00,2.000000000000000111e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.199999999999999956e+00,1.400000000000000000e+01,nan
4.000000000000000222e-01,6.450000000000000000e+02,3.299999999999999822e+00,2.000000000000000111e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.199999999999999956e+00,1.400000000000000000e+01,nan
4.000000000000000222e-01,4.290000000000000000e+02,3.200000000000000178e+00,2.000000000000000111e-01,5.999999999999999778e-01,4.000000000000000222e-01,1.100000000000000089e+00,7.799999999999999822e+00,nan
5.000000000000000000e-01,1.390000000000000000e+02,1.300000000000000000e+01,2.000000000000000111e-01,5.000000000000000000e-01,4.000000000000000222e-01,1.000000000000000000e+00,7.799999999999999822e+00,nan
5.000000000000000000e-01,1.060000000000000000e+02,8.000000000000000000e+00,2.000000000000000111e-01,5.000000000000000000e-01,4.000000000000000222e-01,9.000000000000000222e-01,6.000000000000000000e+00,nan
5.000000000000000000e-01,7.100000000000000000e+01,3.399999999999999911e+00,2.000000000000000111e-01,5.000000000000000000e-01,4.000000000000000222e-01,9.000000000000000222e-01,5.500000000000000000e+00,nan
5.999999999999999778e-01,5.200000000000000000e+01,3.100000000000000089e+00,2.000000000000000111e-01,5.000000000000000000e-01,4.000000000000000222e-01,8.000000000000000444e-01,5.099999999999999645e+00,nan
5.999999999999999778e-01,4.000000000000000000e+01,3.100000000000000089e+00,2.000000000000000111e-01,4.000000000000000222e-01,5.000000000000000000e-01,8.000000000000000444e-01,4.799999999999999822e+00,nan
5.999999999999999778e-01,3.300000000000000000e+01,3.100000000000000089e+00,2.000000000000000111e-01,4.000000000000000222e-01,5.000000000000000000e-01,8.000000000000000444e-01,4.599999999999999645e+00,nan
5.999999999999999778e-01,2.800000000000000000e+01,3.100000000000000089e+00,2.000000000000000111e-01,4.000000000000000222e-01,5.000000000000000000e-01,1.199999999999999956e+00,4.400000000000000355e+00,nan
5.999999999999999778e-01,2.400000000000000000e+01,4.200000000000000178e+00,2.000000000000000111e-01,4.000000000000000222e-01,5.000000000000000000e-01,1.899999999999999911e+00,4.299999999999999822e+00,nan
6.999999999999999556e-01,2.100000000000000000e+01,1.100000000000000000e+01,2.000000000000000111e-01,4.000000000000000222e-01,5.000000000000000000e-01,1.600000000000000089e+00,4.299999999999999822e+00,nan
6.999999999999999556e-01,1.800000000000000000e+01,3.500000000000000000e+00,2.999999999999999889e-01,4.000000000000000222e-01,5.000000000000000000e-01,1.500000000000000000e+00,3.500000000000000000e+00,nan
6.999999999999999556e-01,1.700000000000000000e+01,3.000000000000000000e+00,2.999999999999999889e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.300000000000000044e+00,3.299999999999999822e+00,nan
6.999999999999999556e-01,1.500000000000000000e+01,2.799999999999999822e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.199999999999999956e+00,3.200000000000000178e+00,nan
8.000000000000000444e-01,1.300000000000000000e+01,2.799999999999999822e+00,4.000000000000000222e-01,5.999999999999999778e-01,5.000000000000000000e-01,1.199999999999999956e+00,3.000000000000000000e+00,nan
